UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Phuong,@phkim34,2021-01-01T21:05:20.000Z,"@peacockTV
 

“Sometimes I’ll start a sentence and I don’t even know where it’s going. I just hope I find it along the way.”

#TheOfficeSweepstakes + #PeacockTV",,,,,,[],https://twitter.com/phkim34/status/1345113906545532928
Phuong,@phkim34,2021-01-01T17:17:36.000Z,"@peacockTV
 

""No, Rose, they are not breathing. And they have no arms or legs...what quality of life do we have there?”

#TheOfficeSweepstakes + #PeacockTV",,,1,,,[],https://twitter.com/phkim34/status/1345056592362762240
Phuong,@phkim34,2021-01-27T16:04:26.000Z,#KLetsWinThis and #Giveaway,,,,,,[],https://twitter.com/phkim34/status/1354460264695910400
Phuong,@phkim34,2021-01-27T16:03:00.000Z,#KLetsWinThis #Giveaway,,,1,,,[],https://twitter.com/phkim34/status/1354459903654412290
Phuong,@phkim34,2021-01-15T18:08:48.000Z,"Replying to 
@CashApp",$phuuongl,,,,,[],https://twitter.com/phkim34/status/1350142909253779458
Phuong,@phkim34,2021-02-22T22:08:03.000Z,"@TMobile
 and using #5Gsfor5G & #contest",,,,,,[],https://twitter.com/phkim34/status/1363973858135449601
Phuong,@phkim34,2021-02-22T20:02:48.000Z,"@TMobile
 with #5Gsfor5G + #contest ",,🥰 🥰,,,,[],https://twitter.com/phkim34/status/1363942336024113153
MOD Pizza,@MODPizza,2021-02-26T20:30:25.000Z,"We all deserve a pizza party, don’t ya think? 

DM us your MOD Rewards® email address until 2 p.m. PT and we’ll randomly give away as many pizzas as we can! Put on a fancy outfit, crank up the tunes, and let’s party",,🌱 🎉,230,143,509,[],https://twitter.com/MODPizza/status/1365398839981531137
Phuong,@phkim34,2021-02-26T21:13:51.000Z, Me please!!,,,,,,[],https://twitter.com/phkim34/status/1365409767515021312
Phuong,@phkim34,2021-02-26T21:06:11.000Z,"@MODPizza
 I'm hungry!!",,,,,,[],https://twitter.com/phkim34/status/1365407837975760896
Phuong,@phkim34,2021-02-26T21:32:45.000Z,"Replying to 
@MODPizza",Still waiting ,😭 😭 😭,,,,[],https://twitter.com/phkim34/status/1365414524916879360
Phuong,@phkim34,2021-02-26T20:54:06.000Z,"Replying to 
@MODPizza",Yassss!!! I would love some pizza pleaseee!!!,,,,,[],https://twitter.com/phkim34/status/1365404799550693376
MOD Pizza,@MODPizza,2021-02-22T21:34:07.000Z,"Surprise! It's another #MODPizzaMonday 

1, 2, 5, 10 free pizzas - how many will show up in your account? Retweet this & DM us your MOD Rewards® email address for a chance to win",,🌱 ✌ ⛷,151,627,342,['https://pbs.twimg.com/ext_tw_video_thumb/1363965284240007175/pu/img/_2bsz2VIVmFyWWRG.jpg'],https://twitter.com/MODPizza/status/1363965315382718472
Phuong,@phkim34,2021-02-22T23:34:00.000Z,I'm so hungryyyy. Come through Mod Pizza!!! And thank you!! ,,🙏 🙏,,,,[],https://twitter.com/phkim34/status/1363995486223405056
