UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-28T19:27:23.000Z,Some of the others,,,,,1,['https://pbs.twimg.com/media/E95rhIEX0AYA8fU?format=jpg&name=900x900'],https://twitter.com/prek_polkadots/status/1431699953294905344
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-28T03:56:53.000Z,"I’ve always loved her! So amazing of you 
@ReeseW
 ","Reese Witherspoon
@ReeseW
 · Aug 27
Can’t say thank you enough to all the incredible teachers who dedicate their time and resources to educating, celebrating, and encouraging kids heading back to school this year. Every day next week I’ll be fulfilling a teacher’s wish list… please send me your lists! 
Show this thread",❤ 📝,,,5,['https://pbs.twimg.com/profile_images/839882618682290176/tja4NBb5_mini.jpg'],https://twitter.com/prek_polkadots/status/1431465785445191687
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-27T21:38:29.000Z,Insanity ,"Duty To Warn
@duty2warn
 · Aug 27
36% of the students in Waukesha County, WI qualify for federally funded lunch, but the GOP school board has opted to refuse those funds and discontinue free meals, callously saying it makes the students “spoiled.” They’re literally starving children",😤 🔉,,,1,['https://pbs.twimg.com/profile_images/894345116243996672/A--vTnYo_mini.jpg'],https://twitter.com/prek_polkadots/status/1431370557040250886
Cher,@cher,2021-08-28T01:48:00.000Z,"have to go…I HAVE
IMPORTANT WORK TO DO
I U",,❤ 🐥 🐣,454,883,10.6K,[],https://twitter.com/cher/status/1431433349965307907
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-28T01:49:01.000Z,Love you  #teacher,,❤,,,1,[],https://twitter.com/prek_polkadots/status/1431433606786920451
Gary Goodridge,@garyhgoodridge,2021-08-28T04:00:14.000Z,"Take it one day at a time. You’re almost there. 

Keep Pushing.",,,12,209,488,[],https://twitter.com/garyhgoodridge/status/1431466629670621196
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-28T04:00:53.000Z,I’m still going!,,,,1,1,[],https://twitter.com/prek_polkadots/status/1431466794909380609
Angela Rockstar (She/Her/Your Majesty),@Mrs_ARockstar,2021-08-28T22:14:07.000Z,"Dear Christina Ricci,

I'd like to see Wednesday Addams grown please. Addams Family 3 

With Love
A Fan",,,11,6,105,[],https://twitter.com/Mrs_ARockstar/status/1431741912273367046
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-28T22:15:43.000Z,This would be amazing!!!!,,,,1,3,[],https://twitter.com/prek_polkadots/status/1431742318252527616
Heather #sped #prek #clearthelist #gradstudent,@prek_polkadots,2021-08-28T21:46:33.000Z,#teachertwitter #pln only the second week of #BacktoSchool2021 and I am already in bed not feeling well  I guess this is what you get when you work with 16 three and four-year-olds and you’re in the middle of the world pandemic  #clearthelist #SaturdayThoughts,,😭,1,,2,[],https://twitter.com/prek_polkadots/status/1431734974835838979
