UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-01-27T12:59:54.000Z,Amen!,"Gianno Caldwell
@GiannoCaldwell
 · Jan 27
As we turn the page on 2020, let us not turn the page on the elected officials that held us captive, bankrupted businesses, and created policies not based on science but politics. Vote them out.",👜,,,,['https://pbs.twimg.com/profile_images/1137003489740017667/toCzU0cN_mini.jpg'],https://twitter.com/pstephenson1960/status/1354413826561757186
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-01-27T12:24:41.000Z,Right?!?,"Dean Cain
@RealDeanCain
 · Jan 27
Why do we need Congress at all if he’s just going to keep issuing executive orders? twitter.com/AP_Politics/st…",👜,,,,['https://pbs.twimg.com/profile_images/1365199569013911552/I9wycwUs_mini.jpg'],https://twitter.com/pstephenson1960/status/1354404961837264896
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-01-27T12:43:56.000Z,Rats will turn on one another for power. I believe the liberal Dems will eventually implode on one another.,"robert james chiarizia
@ChiariziaJames
 · Jan 26
Replying to @rob_canary and @KamVTV
I am just concerned they will take us down with them. It is so obvious the current administration is compromised by the Chinese and Russians. So sad",👜,,,,['https://pbs.twimg.com/profile_images/1171427088919748610/PH2p-Hpy_mini.jpg'],https://twitter.com/pstephenson1960/status/1354409809504849920
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-01-27T12:27:41.000Z,,"Anna Brees
@BreesAnna
 · Jan 27
I’m aware of huge gatherings on @telegram re this campaign twitter.com/newironweed/st…",👜 👍 👏,,,,['https://pbs.twimg.com/profile_images/1181268166732910592/G7p79X-Q_mini.jpg'],https://twitter.com/pstephenson1960/status/1354405716673646593
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-01-27T13:15:00.000Z,,"Tulsi Gabbard
@TulsiGabbard
 · Jan 24
.@joebiden Your leadership is needed now to denounce those like John Brennan & Rep Schiff who are advocating for targeting half the country as potential domestic terrorists. Truly unite the American people around our Constitution & the rights that are endowed to us by our Creator",👜 👍 🌺,,,,"['https://pbs.twimg.com/profile_images/1353480080358432768/3Jv41kfd_mini.jpg', 'https://pbs.twimg.com/amplify_video_thumb/1353401346641121280/img/lNb8YIJO21TVNVbp.jpg']",https://twitter.com/pstephenson1960/status/1354417626383003651
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-01-27T13:15:00.000Z,,"Tulsi Gabbard
@TulsiGabbard
 · Jan 24
.@joebiden Your leadership is needed now to denounce those like John Brennan & Rep Schiff who are advocating for targeting half the country as potential domestic terrorists. Truly unite the American people around our Constitution & the rights that are endowed to us by our Creator
3:52
1.3M views",👜 👍 🌺,,,,['https://pbs.twimg.com/profile_images/1353480080358432768/3Jv41kfd_mini.jpg'],https://twitter.com/pstephenson1960/status/1354417626383003651
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-02-25T16:32:14.000Z,You will destroy small businesses in the process! Employee hours will have to be cut because of wage increases!  What will you have accomplished NANCY?,"The Recount
@therecount
 · Feb 25
""We will pass a minimum wage bill. We must pass a minimum wage bill."" — House Speaker Nancy Pelosi
0:08
3.3K views",👜,1,,1,['https://pbs.twimg.com/profile_images/1155905677094731777/19WoFsvO_mini.jpg'],https://twitter.com/pstephenson1960/status/1364976509111386117
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-02-25T16:32:14.000Z,You will destroy small businesses in the process! Employee hours will have to be cut because of wage increases!  What will you have accomplished NANCY?,"The Recount
@therecount
 · Feb 25
""We will pass a minimum wage bill. We must pass a minimum wage bill."" — House Speaker Nancy Pelosi
0:06
3.3K views",👜,1,,1,['https://pbs.twimg.com/profile_images/1155905677094731777/19WoFsvO_mini.jpg'],https://twitter.com/pstephenson1960/status/1364976509111386117
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-03-29T01:51:17.000Z,"Replying to 
@TrevDon",,👜 😢,,,,[],https://twitter.com/pstephenson1960/status/1376351223725617152
Blake Ford,@VikingKicker,2021-06-12T01:11:43.000Z,"Had a Great time visiting UT on Tuesday! Thank you for letting me come out 
@CoachJeffBanks
 and 
@CoachJCros
 ! 
@CoachSkinz
 #WTD #VFND",,,3,21,283,"['https://pbs.twimg.com/media/E3pOUI_XMAETzTq?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E3pOUKvX0AAWgpJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E3pOUJDXEAANIBj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E3pOUOeX0AQh9ml?format=jpg&name=360x360']",https://twitter.com/VikingKicker/status/1403520354182742017
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-06-12T14:05:01.000Z,Congratulations Blake!,,👜,,,,[],https://twitter.com/pstephenson1960/status/1403714961927454723
Diamond and Silk®,@DiamondandSilk,2021-06-28T19:10:27.000Z,"On this morning, we lost the best mother ever. She was our best friend & we love her so much. She was the matriarch of our family and this morning we lost our queen but heaven gained a beautiful Angel. She will truly be missed. Please keep the Hardaway family lifted up in prayer.",,,6.3K,3.8K,33.8K,['https://pbs.twimg.com/media/E4_eqM-XIAIF3iN?format=jpg&name=small'],https://twitter.com/DiamondandSilk/status/1409590031388274693
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-07-07T18:02:32.000Z,I’m so sorry to hear this newsMy thoughts and prayers are with you both and well as all your family members.  ,,👜 😢 ❤ ❤,,,,[],https://twitter.com/pstephenson1960/status/1412834431769919490
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-08-20T19:52:27.000Z,"Larry, if I lived in California, you dear Sir would most certainly have my VOTE! ","Larry Elder
@larryelder
 · Aug 20
Air Force Academy Cadets Forced to Watch BLM Video
https://pjmedia.com/vodkapundit/2021/08/19/air-force-academy-cadets-forced-to-watch-blm-video-n1471023…

#WeveGotACountryToSave",👜,,,,['https://pbs.twimg.com/profile_images/1432945762283888642/5Kt71_Mt_mini.jpg'],https://twitter.com/pstephenson1960/status/1428807161073831936
Wildcat,@Wildcat08533721,2021-08-20T19:52:14.000Z,"Replying to 
@DiamondandSilk",Impeached? Lol he was never elected!,,5,3,21,[],https://twitter.com/Wildcat08533721/status/1428807104694034436
TX Mom For Trump(Formally Texasbaglady),@pstephenson1960,2021-08-20T20:00:40.000Z,Good point #Wildcat!,,👜 🤔,,,,[],https://twitter.com/pstephenson1960/status/1428809225569017858
Southpaw Nothin,@PatO_215,2021-08-14T16:48:14.000Z,"Replying to 
@ComfortablySmug","Odd that nothing about Afghanistan or the Taliban seems to be trending on 
@Twitter",,1,1,1,[],https://twitter.com/PatO_215/status/1426586471109218307
