UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:22:34.000Z,"Replying to 
@PrevostQuentin3",Ah mince ,😂,1,,,[],https://twitter.com/racontagedevie2/status/1427395387816620038
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:00:11.000Z,"Replying to 
@PrevostQuentin3",Haha ,😂,,,,[],https://twitter.com/racontagedevie2/status/1427389754291675140
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:18:34.000Z,"Replying to 
@cocoleMaxmyzer",Haha ,😂 😂,,,1,[],https://twitter.com/racontagedevie2/status/1427394381321998340
Racontagedevie2.0,@racontagedevie2,2021-08-18T15:53:38.000Z,Pire qu'une cour de récrée ici ,,🤣 🤣,,,,[],https://twitter.com/racontagedevie2/status/1428022285638713349
Racontagedevie2.0,@racontagedevie2,2021-08-10T01:35:05.000Z,Bon ici yaura des choses futiles parfois,,,,,,[],https://twitter.com/racontagedevie2/status/1424907121540440067
Racontagedevie2.0,@racontagedevie2,2021-08-18T15:55:19.000Z,(2) mais qu'est ce que vous avez fait de grand dites moi?,,,,,,[],https://twitter.com/racontagedevie2/status/1428022705966751751
Racontagedevie2.0,@racontagedevie2,2021-08-16T21:45:41.000Z,J'aime la purée mousseline car je sais ce qu'il y a dedansss  ,,🎶 😅,2,,1,[],https://twitter.com/racontagedevie2/status/1427386102701338632
Racontagedevie2.0,@racontagedevie2,2021-08-16T21:55:43.000Z,Désolée mais j'ai rigolé,"POURQUOI LES HUMAINS VIVENT MOINS LONGTEMPS
@PLHVML_
 · Aug 16
https://twitter.com/wastedsvids/status/1395004366646484998/video/1…",😂,1,,,['https://pbs.twimg.com/profile_images/1430874913590632449/WL2AHlZB_mini.jpg'],https://twitter.com/racontagedevie2/status/1427388630079836167
Racontagedevie2.0,@racontagedevie2,2021-08-16T21:52:47.000Z,Pourquoi on est si émotive un peu avant cette période où pendant bordel je connais la réponse mais c'est relou,,😂,,,,[],https://twitter.com/racontagedevie2/status/1427387889575399431
Racontagedevie2.0,@racontagedevie2,2021-08-10T22:24:34.000Z,Qui met les dessins animés à 22 ans pour avoir un bruit de fond dans le but de dormir ?  Moiii,,😂,1,,1,[],https://twitter.com/racontagedevie2/status/1425221562601512960
Racontagedevie2.0,@racontagedevie2,2021-08-18T16:10:29.000Z,enfait c'est rempli d'ados pourri gâter ici j'ai pas votre temps prenez d'la maturité bisous,,,,,,[],https://twitter.com/racontagedevie2/status/1428026525962604544
Racontagedevie2.0,@racontagedevie2,2021-08-17T15:43:13.000Z,Bon on a plus le droit d'admirer une personne ici comme quoi les mentalités sont très basse sur tweeter ça y est vous n'aimez pas une personne on doit tous faire pareil ?,,,,,1,[],https://twitter.com/racontagedevie2/status/1427657274017951749
Racontagedevie2.0,@racontagedevie2,2021-08-16T21:38:54.000Z,J'ai un réel besoin d'être entourée de parler de tout et rien et d'être occupée me vider la tête etc en ce moment... Si ya des gens qui aiment parler tous les jours et tout j'ai besoin de vous dans ma vie,,❣ 🥺,1,,3,[],https://twitter.com/racontagedevie2/status/1427384397469306881
Racontagedevie2.0,@racontagedevie2,2021-08-10T01:27:44.000Z,Quelqu'un punaiiise faut apprendre à écrire meuf  bref tout va bien je vais dormir  ou pas mais j'arrête de m'afficher il est tard bye,,😂 😂 😂 😂,,,,[],https://twitter.com/racontagedevie2/status/1424905268123557888
Racontagedevie2.0,@racontagedevie2,2021-08-18T15:54:56.000Z,Vous écoutez chacune de ses story vous ne vous rendez pas compte de tous les combats qu'elle a vécu et gagner combien de fois elle a relevé la tête et elle s'en est sortie vous n'auriez pas fais la moitié  et après ça te sort admire ceux qu'on fait des grandes choses mais (1),,🤣,,,,[],https://twitter.com/racontagedevie2/status/1428022610856718337
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:11:29.000Z,C'est bon les gars j'ai pris le 1er train/avion même si j'ai peur de l'avion  jsuis partie là,"Sky
@skyQY
 · Aug 16
want",😭,1,,1,"['https://pbs.twimg.com/profile_images/1390450466258096131/gZpB4BmX_mini.jpg', 'https://pbs.twimg.com/media/E84QaODXoAIkd6_?format=jpg&name=small']",https://twitter.com/racontagedevie2/status/1427392598990368768
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:24:27.000Z,"Replying to 
@PrevostQuentin3",Jsais pas si ya encore des places ,😂,1,,1,[],https://twitter.com/racontagedevie2/status/1427395858484633612
Lobo,@LoboSol59086978,2021-08-17T15:26:59.000Z,Vous demandez le pourquoi du comment des insultes après ??   #justineolv https://twitter.com/racontagedevie2/status/1427641202275409943…,This Tweet is unavailable.,,1,,1,[],https://twitter.com/LoboSol59086978/status/1427653189805953025
Racontagedevie2.0,@racontagedevie2,2021-08-17T15:40:34.000Z,On est plus libre d'admirer une personne ?,,,1,,1,[],https://twitter.com/racontagedevie2/status/1427656606205071361
Prevost Quentin,@PrevostQuentin3,2021-08-16T21:47:28.000Z,"Replying to 
@racontagedevie2",J'aime pas la purée tout court moi ,🤣 🤣,1,,1,[],https://twitter.com/PrevostQuentin3/status/1427386554461392899
Racontagedevie2.0,@racontagedevie2,2021-08-16T21:48:22.000Z,Oh mais noon mais c'est normal ça faut goûter celle du Flunch ,,😭 😝 😋 😂,1,,,[],https://twitter.com/racontagedevie2/status/1427386777699069955
Prevost Quentin,@PrevostQuentin3,2021-08-16T22:13:07.000Z,"Replying to 
@racontagedevie2",Tas mon billet aussi? ,🤣,1,,1,[],https://twitter.com/PrevostQuentin3/status/1427393008161406981
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:15:30.000Z,Haha ouais ,,😂,1,,,[],https://twitter.com/racontagedevie2/status/1427393609607831557
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:15:46.000Z,"Replying to 
@cocoleMaxmyzer",Et alors ? ,😂,1,,1,[],https://twitter.com/racontagedevie2/status/1427393673688461312
Prevost Quentin,@PrevostQuentin3,2021-08-16T22:20:32.000Z,"Replying to 
@racontagedevie2",Parfait on part quand? Mdfr,,1,,1,[],https://twitter.com/PrevostQuentin3/status/1427394875381755905
Racontagedevie2.0,@racontagedevie2,2021-08-16T22:21:55.000Z,La semaine prochaine ,,😂,1,,,[],https://twitter.com/racontagedevie2/status/1427395220853899267
