UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Raphafg08,@raphafg08,2021-07-25T17:24:59.000Z,Love you muito amiga ,"Twiggy
@acatarinafp
 · Jul 25
Replying to @raphafg08
ja amo ahahaha temos de marcar sessão",💋 💋 😗 😗 💋 💋 💋 ❤,1,,1,['https://pbs.twimg.com/profile_images/1434150383446810628/UMGdqYFu_mini.jpg'],https://twitter.com/raphafg08/status/1419347965223841794
Raphafg08,@raphafg08,2021-07-25T17:21:40.000Z,"Tenho saudades da amiga 
@acatarinafp",,,1,1,1,[],https://twitter.com/raphafg08/status/1419347129110310915
Raphafg08,@raphafg08,2021-07-25T17:22:32.000Z,Amigaaaaa pede ao pai pra eu ir aí ,"Twiggy
@acatarinafp
 · Jul 25
Replying to @raphafg08
tambem rafaaaaaa",🤣 🤣 😭 😭,1,,1,['https://pbs.twimg.com/profile_images/1434150383446810628/UMGdqYFu_mini.jpg'],https://twitter.com/raphafg08/status/1419347348430413827
Alaska,@sofswannabe97,2021-07-22T16:43:45.000Z,"César o Rapha está a fazer-te fat shaming, morde-lhe o cu",,,1,,3,[],https://twitter.com/sofswannabe97/status/1418250424046477312
Raphafg08,@raphafg08,2021-07-22T16:46:58.000Z,"Eu podia morder-te o teu 
@sofswannabe97",,,,1,1,[],https://twitter.com/raphafg08/status/1418251234851569669
Raphafg08,@raphafg08,2021-07-25T17:23:41.000Z,Pra informar que azamigas vão fazer sessão fotográfica prazinimigas chorar ,"Twiggy
@acatarinafp
 · Jul 25
Replying to @raphafg08
ahahahhahaha temos de ver isso!!",💋,1,,1,['https://pbs.twimg.com/profile_images/1434150383446810628/UMGdqYFu_mini.jpg'],https://twitter.com/raphafg08/status/1419347638697213956
Raphafg08,@raphafg08,2021-08-07T01:16:56.000Z,Me no handsome                                             Me no good                                                       Me gonna give ass to professor hook,"Twiggy
@acatarinafp
 · Aug 6
Me no study 
Me no care
Me go marry millionaire",,1,1,1,['https://pbs.twimg.com/profile_images/1434150383446810628/UMGdqYFu_mini.jpg'],https://twitter.com/raphafg08/status/1423815386894581764
Raphafg08,@raphafg08,2021-08-07T01:17:54.000Z,"Replying to 
@acatarinafp",Always! Love you ,🥰,,,,[],https://twitter.com/raphafg08/status/1423815632538284034
Raphafg08,@raphafg08,2021-07-30T13:41:15.000Z,Once upon a time my heart deeply told me that the only love we got is our true self love.,"Twiggy
@acatarinafp
 · Jul 30
i got a love that keeps me waiting",,1,,1,['https://pbs.twimg.com/profile_images/1434150383446810628/UMGdqYFu_mini.jpg'],https://twitter.com/raphafg08/status/1421103600349089793
Twiggy,@acatarinafp,2021-07-30T13:41:53.000Z,"Replying to 
@raphafg08",i don’t have that ,🥺,1,,,[],https://twitter.com/acatarinafp/status/1421103759749435392
Raphafg08,@raphafg08,2021-07-30T13:44:07.000Z,You’re a lovely human being ! Never forget that ,,💋,1,,1,[],https://twitter.com/raphafg08/status/1421104320712482822
Twiggy,@acatarinafp,2021-07-30T21:09:02.000Z,fiz madeixas loiras well ,,🥰,2,,1,[],https://twitter.com/acatarinafp/status/1421216287909425156
Raphafg08,@raphafg08,2021-07-31T19:36:01.000Z,Mostra agora !,,,,,,[],https://twitter.com/raphafg08/status/1421555268073267204
Twiggy,@acatarinafp,2021-08-18T00:34:08.000Z,Gajos são uma merda,,,2,,4,[],https://twitter.com/acatarinafp/status/1427790882447691781
Raphafg08,@raphafg08,2021-08-18T01:44:10.000Z,Gajos são uma merda. Gajas são uma merda  são todos uma merda,,😅 😅,,,,[],https://twitter.com/raphafg08/status/1427808507974365195
Raphafg08,@raphafg08,2021-08-10T15:10:58.000Z,"Replying to 
@donewithisshit
 and 
@acatarinafp",Viramos todas pras gajas ,😅 😅,1,,2,[],https://twitter.com/raphafg08/status/1425112444649811970
Raphafg08,@raphafg08,2021-08-10T15:13:30.000Z,"Replying to 
@acatarinafp
 and 
@donewithisshit",Também estou farto deles ,🙄,1,,1,[],https://twitter.com/raphafg08/status/1425113079084429315
