UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Derick P. Tv,@rashedpags,2021-07-13T10:23:18.000Z,thanks for watching,,,,,,[],https://twitter.com/rashedpags/status/1414893191547920384
Derick P. Tv,@rashedpags,2021-07-13T10:15:29.000Z,cooking dance,"0:14
1 view",,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1414891121319170048/pu/img/eiRuxsdvjAhLJhOA.jpg'],https://twitter.com/rashedpags/status/1414891222888378368
Derick P. Tv,@rashedpags,2021-07-13T08:07:32.000Z,,,,,,,['https://pbs.twimg.com/media/E6KWyAgVcAce6_D?format=jpg&name=900x900'],https://twitter.com/rashedpags/status/1414859024118419462
Derick P. Tv,@rashedpags,2021-07-13T08:36:10.000Z,,,,,,,['https://pbs.twimg.com/media/E6KdVFoVUAAVy72?format=jpg&name=small'],https://twitter.com/rashedpags/status/1414866227193778177
Derick P. Tv,@rashedpags,2021-07-13T23:27:03.000Z,,,,,,,['https://pbs.twimg.com/media/E6NpPeiUcAA9md5?format=jpg&name=small'],https://twitter.com/rashedpags/status/1415090425430372353
Derick P. Tv,@rashedpags,2021-07-13T10:06:59.000Z,,,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1414888577859690496/pu/img/DDw7m87wrwBwKr2V.jpg'],https://twitter.com/rashedpags/status/1414889083797606402
Derick P. Tv,@rashedpags,2021-07-09T08:18:44.000Z,,,,,,,['https://pbs.twimg.com/media/E51y_HXUcAAOry1?format=jpg&name=360x360'],https://twitter.com/rashedpags/status/1413412289508560902
Derick P. Tv,@rashedpags,2021-07-09T10:31:55.000Z,,,,,,3,['https://pbs.twimg.com/media/E52Rd9YVUAM41Y9?format=jpg&name=900x900'],https://twitter.com/rashedpags/status/1413445805587853314
Derick P. Tv,@rashedpags,2021-07-12T08:31:38.000Z,tropa,"0:36
8 views",,,,,[],https://twitter.com/rashedpags/status/1414502700222279682
Derick P. Tv,@rashedpags,2021-07-09T08:28:26.000Z,inihaw na bangus,,,,,1,['https://pbs.twimg.com/media/E511NVGUYAcyio-?format=jpg&name=900x900'],https://twitter.com/rashedpags/status/1413414732963323908
Derick P. Tv,@rashedpags,2021-07-12T08:31:38.000Z,tropa,"8 views
0:02 / 0:37",,,,,[],https://twitter.com/rashedpags/status/1414502700222279682
