UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Richiommy,@richiommy,2021-08-12T17:40:27.000Z,"Replying to 
@Mpalestina11",Hatal,,,,,[],https://twitter.com/richiommy/status/1425874836694478850
Richiommy,@richiommy,2021-08-12T17:41:50.000Z,"Replying to 
@JustKijo",Zanin,,,,3,[],https://twitter.com/richiommy/status/1425875187988316160
Richiommy,@richiommy,2021-08-12T15:27:23.000Z,"Replying to 
@john__himself",Kuhusu nin,,,,1,[],https://twitter.com/richiommy/status/1425841350549938183
Richiommy,@richiommy,2021-08-12T17:49:14.000Z,"Replying to 
@mafolebaraka",Haswa,,,,1,[],https://twitter.com/richiommy/status/1425877048808116230
Richiommy,@richiommy,2021-08-12T17:39:51.000Z,"Replying to 
@Mangiwakwanza",Jera itamuhusu mbona,,,,1,[],https://twitter.com/richiommy/status/1425874686542483461
Ajira chap Tz,@ajirachap,2021-08-12T16:51:41.000Z,Kigogo anachofanya ni kumkera martin...anasubiria martine aandike maneno mengiii afu yeye anajibu kidogo tu,,😂 😂 ✋,27,11,382,[],https://twitter.com/ajirachap/status/1425862564731400203
Richiommy,@richiommy,2021-08-12T19:43:58.000Z,Yaaan ana sifa mwenzake ana andika insha yeye anajibu inshort  na yanaeleweka,,,,,,[],https://twitter.com/richiommy/status/1425905920043855876
Richiommy,@richiommy,2021-08-12T17:41:39.000Z,"Replying to 
@samuelmway",Haaaaa hatali,,,,,[],https://twitter.com/richiommy/status/1425875138105462787
David Gonads,@DavidEliya4,2021-08-12T06:39:04.000Z,Mbna maandish humu kwngu yame badilika,,🍒 🤔 😂 🙌,2,,1,[],https://twitter.com/DavidEliya4/status/1425708393650655236
Richiommy,@richiommy,2021-08-12T17:45:22.000Z,Yamekuwaje,,,,,,[],https://twitter.com/richiommy/status/1425876076237107207
Richiommy,@richiommy,2021-08-12T19:41:29.000Z,"Replying to 
@HeisRas",Tumeisha,,,,,[],https://twitter.com/richiommy/status/1425905298695507968
Richiommy,@richiommy,2021-08-12T19:41:59.000Z,"Replying to 
@Coco__og",@richiommy,,,,11,[],https://twitter.com/richiommy/status/1425905423312474118
Richiommy,@richiommy,2021-08-12T17:50:55.000Z,"Replying to 
@jeremiahkarume1",Pole,,,,,[],https://twitter.com/richiommy/status/1425877471245787139
Msela Maarufu,@msela255,2021-08-12T13:26:01.000Z,Siku nikifa naomba nizikwe na iphone yangu,,💊 💉 😂,36,22,271,[],https://twitter.com/msela255/status/1425810809330946053
Richiommy,@richiommy,2021-08-12T15:26:08.000Z,Labuda Kama nayenywe itakuwa imekufa,,,,,,[],https://twitter.com/richiommy/status/1425841034903306240
Dady,@ProfessorDady,2021-08-12T17:13:51.000Z,Unatumia neno gani kuomba TENDO (kwichikwichi) kwa mpenzi wako?.,,🤔,181,48,1K,[],https://twitter.com/ProfessorDady/status/1425868144925683720
Richiommy,@richiommy,2021-08-12T17:37:24.000Z,Mwenzako nikumic tuuuu,,,1,,3,[],https://twitter.com/richiommy/status/1425874071753998341
Richiommy,@richiommy,2021-08-12T17:39:03.000Z,"Replying to 
@fayet_kamami",Wempende tuuuu,,,,,[],https://twitter.com/richiommy/status/1425874485555646471
Richiommy,@richiommy,2021-08-12T17:50:04.000Z,"Replying to 
@drygha1",Yaaan acha tuuu,,,,,[],https://twitter.com/richiommy/status/1425877259915874304
Richiommy,@richiommy,2021-08-12T15:26:19.000Z,"Replying to 
@HeisRas
 and 
@mtaorichard",@richiommy,,,,1,[],https://twitter.com/richiommy/status/1425841080700911616
Richiommy,@richiommy,2021-08-12T17:44:54.000Z,"Replying to 
@Iamsospete1
 @kapange_jr
 and 9 others",@richiommy,,,,,[],https://twitter.com/richiommy/status/1425875958792392709
Richiommy,@richiommy,2021-08-12T17:45:44.000Z,"Replying to 
@ModestaZ7
 @obeidthomas
 and 
@DavidEliya4",@richiommy,,,,,[],https://twitter.com/richiommy/status/1425876165483499543
Richiommy,@richiommy,2021-08-12T17:37:50.000Z,"Replying to 
@Aellyangel",Apambane sana,,1,,1,[],https://twitter.com/richiommy/status/1425874180562685953
Richiommy,@richiommy,2021-08-12T19:41:44.000Z,"Replying to 
@BensonRusizi_",Umeuona ee,,1,,1,[],https://twitter.com/richiommy/status/1425905360204873732
Richiommy,@richiommy,2021-08-12T17:36:15.000Z,"Replying to 
@broke_jk",Haaaa,,1,,,[],https://twitter.com/richiommy/status/1425873783034949636
Richiommy,@richiommy,2021-08-12T15:22:49.000Z,"Replying to 
@rafikiwawote
 and 
@Mabokee1",Saw,,,,,[],https://twitter.com/richiommy/status/1425840202988281856
