UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Redllne,@Redllne1,2021-03-15T07:11:05.000Z,Panic selling support? quick and easy -10% and when everything pumps 15-20% by tomorrow you lose another 15-20%? Most people really try too hard to sabotage themself.,,,1,,5,[],https://twitter.com/Redllne1/status/1371358274050789378
riya,@riya20807702,2021-03-15T19:13:07.000Z,Can u buy fio right now ?,,,,,,[],https://twitter.com/riya20807702/status/1371539979520774145
DogeCoin Movement (Potentially Promising),@ItsDogeCoin,2021-03-21T00:03:09.000Z,"If you love #dogecoin, then tweet #DogeToTheMoon  ",,🚀 🚀 🌕,13,142,344,[],https://twitter.com/ItsDogeCoin/status/1373424908022263812
riya,@riya20807702,2021-03-21T10:39:52.000Z,Moon doge,,,,,,[],https://twitter.com/riya20807702/status/1373585142741098498
Redllne,@Redllne1,2021-04-01T17:25:23.000Z,"Replying to 
@Redllne1",Anyone bought $SXP?,,2,1,3,[],https://twitter.com/Redllne1/status/1377673458239352834
riya,@riya20807702,2021-04-02T03:32:27.000Z,Bro now can buy),,,,,,[],https://twitter.com/riya20807702/status/1377826235603017730
Tim Cook,@DreamBigBeBig20,2021-04-16T20:03:08.000Z,my birthday is on the 19th of this month ... i only have one wish and it’s pertaining to #dogecoin ,,😂 🚀 🚀 🚀 🌖 🌖 🌖,39,254,1.3K,[],https://twitter.com/DreamBigBeBig20/status/1383148975688085512
riya,@riya20807702,2021-04-17T08:47:23.000Z,Good,,,,,,[],https://twitter.com/riya20807702/status/1383341305514774528
Geometric Energy Corporation (GEC),@GeometricEnergy,2021-05-09T16:19:56.000Z,Geometric Energy Corporation proudly announces the DOGE-1 Mission to the Moon — the first-ever commercial lunar payload in history paid entirely with DOGE — will launch aboard a SpaceX Falcon 9 rocket.,"SpaceX to Launch DOGE-1 to the Moon!
/CNW/ - Geometric Energy Corporation (GEC) announced today the DOGE-1 Mission to the Moon—the first-ever commercial lunar payload in history paid entirely with...
newswire.ca",,1.6K,13K,26K,[],https://twitter.com/GeometricEnergy/status/1391427729791365136
riya,@riya20807702,2021-05-09T17:51:33.000Z,Doge moon?,,,,,,[],https://twitter.com/riya20807702/status/1391450785024815105
riya,@riya20807702,2021-05-11T11:35:35.000Z,"Replying to 
@elonmusk",Please look cspr coin,,,,,[],https://twitter.com/riya20807702/status/1392080942961942533
Elon Musk,@elonmusk,2021-05-07T06:14:14.000Z,"Replying to 
@hiromichimizuno",I’m looking for a shiba pup!,,7.4K,13.1K,51K,[],https://twitter.com/elonmusk/status/1390550521077977089
riya,@riya20807702,2021-05-08T09:15:23.000Z,"@elonmusk
 is crypto father ..thanu for looking shiba",,,,,,[],https://twitter.com/riya20807702/status/1390958500176670722
riya,@riya20807702,2021-05-01T08:47:25.000Z,"@narendramodi
 sir delhi ki halat bhut Kharab ho chukhi ...har banda har cheej ko black me sell kar ra h. Gareeb banda use afford nhi kar pa ra...I hope ap kuch acha kadam utakar hmari delhi ko bachae ..",,,,,,[],https://twitter.com/riya20807702/status/1388414743610855425
Elon Musk,@elonmusk,2021-05-11T08:13:35.000Z,Do you want Tesla to accept Doge?,"Yes
78.2%
No
21.8%
3,922,516 votes
·
Final results",,98.3K,113.5K,398.2K,[],https://twitter.com/elonmusk/status/1392030108274159619
riya,@riya20807702,2021-05-11T11:37:14.000Z,Please buy cspr coin,,,,,,[],https://twitter.com/riya20807702/status/1392081359473160194
riya,@riya20807702,2021-05-09T17:44:56.000Z,"Replying to 
@GeometricEnergy
 and 
@SpaceX",Doge moon?,,,,,[],https://twitter.com/riya20807702/status/1391449117340098560
Elon Musk,@elonmusk,2021-05-20T10:41:00.000Z,How much is that Doge in the window?,,,72.7K,62.3K,309.6K,['https://pbs.twimg.com/media/E100DerVEAAfKpp?format=jpg&name=small'],https://twitter.com/elonmusk/status/1395328697436033032
riya,@riya20807702,2021-05-20T13:16:27.000Z,Great,,,,,,[],https://twitter.com/riya20807702/status/1395367819064139778
Elon Musk,@elonmusk,2021-06-25T23:17:55.000Z,"Replying to 
@flcnhvy","Schedule driver there is regulatory approval. Has to be certified for each aircraft type. Focusing on 737 & A320, as those serve most number of people, with development testing on Gulfstream.",,677,626,11.2K,[],https://twitter.com/elonmusk/status/1408565146218283014
riya,@riya20807702,2021-06-27T18:45:37.000Z,Happy birthday dogefather .....Elon Musk sir I really love u ....pls tell something about doge,,,,,,[],https://twitter.com/riya20807702/status/1409221396043993091
riya,@riya20807702,2021-08-23T09:52:41.000Z,Bitcoin ,,🚀,,,2,[],https://twitter.com/riya20807702/status/1429743387213590531
