UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
┃ 𝚁𝚘 ┃®,@ro0,2021-02-23T11:16:44.000Z,Just saying!!,"The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ro0/status/1364172333309587460
┃ 𝚁𝚘 ┃®,@ro0,2021-02-24T00:46:52.000Z,Jajajajaajajajajaajaja,"The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ro0/status/1364376211456024583
┃ 𝚁𝚘 ┃®,@ro0,2021-02-03T04:11:09.000Z,"Replying to 
@latinus_us",Que oso!,,,,,[],https://twitter.com/ro0/status/1356817475405377538
┃ 𝚁𝚘 ┃®,@ro0,2021-03-06T15:10:06.000Z,Scheduling time for rejuvenation isn’t a luxury – it’s necessary.,,,,,,[],https://twitter.com/ro0/status/1368217329432031232
┃ 𝚁𝚘 ┃®,@ro0,2021-03-15T00:10:21.000Z,Cuando los #GRAMMYs  se transformaron en Siempre en Domingo! #Covid_19,,,,,1,[],https://twitter.com/ro0/status/1371252391799050240
┃ 𝚁𝚘 ┃®,@ro0,2021-04-30T00:46:31.000Z,"Gracias semana haz pasado rapidísimo, por favor finde  pasa muuuuuuy lento",,,,,,[],https://twitter.com/ro0/status/1387931333402546183
┃ 𝚁𝚘 ┃®,@ro0,2021-04-19T23:24:52.000Z,No llegó el cambio a tiempo,"The following media includes potentially sensitive content. Change settings
View
The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ro0/status/1384286909480853510
CAPUFE,@CAPUFE,2021-04-25T01:23:44.000Z," AVISO IMPORTANTE 
Libramiento Noreste de Querétaro, dirección CDMX, km 11. Continúa el cierre a la circulación por atención a incidente. Tome sus precauciones.",,⚠ ⚠,17,11,42,[],https://twitter.com/CAPUFE/status/1386128762165555203
┃ 𝚁𝚘 ┃®,@ro0,2021-04-25T02:02:16.000Z,Van  abrir en algún momento o saco la cobija?,,,1,,1,[],https://twitter.com/ro0/status/1386138460390531076
CAPUFE,@CAPUFE,2021-04-24T23:21:13.000Z," AVISO IMPORTANTE 
Libramiento Noreste de Querétaro, dirección CDMX, km 11. Cierre a la circulación por atención a incidente. Tome sus precauciones.",,⚠ ⚠,6,5,19,[],https://twitter.com/CAPUFE/status/1386097928285032450
┃ 𝚁𝚘 ┃®,@ro0,2021-04-25T01:22:50.000Z,Alguna actualización?!,,,1,,,[],https://twitter.com/ro0/status/1386128536461725696
┃ 𝚁𝚘 ┃®,@ro0,2021-05-04T16:29:44.000Z,A GUI GUI,"The following media includes potentially sensitive content. Change settings
View",,,,,[],https://twitter.com/ro0/status/1389618254776344576
┃ 𝚁𝚘 ┃®,@ro0,2021-08-13T16:30:56.000Z,Proud Lefty #LeftHandersDay,,,,,,['https://pbs.twimg.com/media/E8rzSV1UcAAb0Dg?format=jpg&name=small'],https://twitter.com/ro0/status/1426219730893873155
┃ 𝚁𝚘 ┃®,@ro0,2021-08-06T09:29:21.000Z,Goooooooool!!!!,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/E8GPqdyVUAAMuw-.jpg'],https://twitter.com/ro0/status/1423576922760663042
CAPUFE,@CAPUFE,2021-08-20T20:55:10.000Z," AVISO IMPORTANTE 
#AutMéxicoQuerétaro, dirección Querétaro. Continúa cierre a la circulación en la plaza de cobro Palmillas por atención a incidente en el km 161, fuera de la cobertura de CAPUFE. Tome sus precauciones.",,⚠ ⚠,9,4,14,[],https://twitter.com/CAPUFE/status/1428822942394327043
┃ 𝚁𝚘 ┃®,@ro0,2021-08-20T21:14:27.000Z,A qué hora abre?,,,1,,,[],https://twitter.com/ro0/status/1428827794079981585
