UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
موصیو خروص,@roostercrown,2021-01-15T19:44:06.000Z,"Replying to 
@zhizhiiiiiii",محشر بود ,😂 😂 😂,,,2,[],https://twitter.com/roostercrown/status/1350166892598747142
⁦⁩⁦Marie⁦,@enseignantepas,2021-01-15T11:35:33.000Z,"Replying to 
@roostercrown","مادر تنها مخلوقی که تو رو بدون هیچ شرطی دوست داره و تمام زندگیشو به پات میریزه...چند روز به مامانم سر نزدم دیروز همسرم یه سر بهش زد شش هفت مدل غذای مختلف توی بسته بندی برام فرستاده بود....مادر بی‌همتاست....مرسی یادمون انداختی تا هستند قدر بدونیم.  
Je vous remercie infiniment",,1,,3,[],https://twitter.com/enseignantepas/status/1350043945376624641
موصیو خروص,@roostercrown,2021-01-15T11:36:50.000Z,"جان جان جان عاشق اینکاراشووونم 
سایه والدینت مستدام ",,🤱 🤱 🤱 😍 😊,,,1,[],https://twitter.com/roostercrown/status/1350044268455452675
یه معلم,@Mrym45651784,2021-01-15T11:32:42.000Z,"Replying to 
@roostercrown",⚘⚘,😊 😊,1,,1,[],https://twitter.com/Mrym45651784/status/1350043227802525701
موصیو خروص,@roostercrown,2021-01-15T11:37:33.000Z,,,😊 😊 😊 🙏 🙏 🙏,,,1,[],https://twitter.com/roostercrown/status/1350044447413776386
موصیو خروص,@roostercrown,2021-01-15T19:02:38.000Z,"Replying to 
@HelmaBahri",,🌺 🪴 🌸,,,1,[],https://twitter.com/roostercrown/status/1350156457203937280
موصیو خروص,@roostercrown,2021-01-15T19:02:51.000Z,"Replying to 
@Mrym45651784",,🪴 🪴 🪴 🙏 🙏 🙏 🌺 🌺 🌺,,,1,[],https://twitter.com/roostercrown/status/1350156510106689537
موصیو خروص,@roostercrown,2021-01-15T19:04:09.000Z,"Replying to 
@HelmaBahri",,🪴 🪴 🪴,,,1,[],https://twitter.com/roostercrown/status/1350156837262389248
نَ هال,@nall60sh,2021-01-15T19:27:08.000Z,"Replying to 
@roostercrown",,🌱 😍 😍 🥺 🥺,1,,1,[],https://twitter.com/nall60sh/status/1350162623380086784
موصیو خروص,@roostercrown,2021-01-15T19:34:57.000Z,,,🌸 🌺 🪴,,,1,[],https://twitter.com/roostercrown/status/1350164588319412237
موصیو خروص,@roostercrown,2021-01-15T19:46:26.000Z,"Replying to 
@zhizhiiiiiii",,😂 😂 😂 👌 👌 👌,,,1,[],https://twitter.com/roostercrown/status/1350167478152921088
amo sadegh,@SadeghTourey,2021-01-15T17:44:53.000Z,"Replying to 
@roostercrown","مخلصیم عمو 
غصه نخور تو ",🙃 🙃,1,,1,[],https://twitter.com/SadeghTourey/status/1350136889366482946
موصیو خروص,@roostercrown,2021-01-15T17:50:05.000Z,عزیزی ,,🙏 🌺 🪴 🙏,,,1,[],https://twitter.com/roostercrown/status/1350138200350744578
موصیو خروص,@roostercrown,2021-01-15T17:39:38.000Z,"Replying to 
@zohre_gha",ارررره ,😍 😍 😍 👌 👌 👌,,,1,[],https://twitter.com/roostercrown/status/1350135568781475840
موصیو خروص,@roostercrown,2021-01-15T11:35:36.000Z,"Replying to 
@Mahrokh45381605",ماهرخ مهربون ,🙏 🤗 🪴 🌺 🌱,,,1,[],https://twitter.com/roostercrown/status/1350043956294406150
