UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
SULEMAN ALSALAMAH,@salama747,2021-01-17T10:08:05.000Z,حكم يخاف الله,"0:58
35 views",,,1,1,[],https://twitter.com/salama747/status/1350746706137255936
SULEMAN ALSALAMAH,@salama747,2021-01-25T06:10:54.000Z,كلام جميل,,,,,,['https://pbs.twimg.com/media/EsjnZucXEAI9SMX?format=jpg&name=medium'],https://twitter.com/salama747/status/1353586123826724864
SULEMAN ALSALAMAH,@salama747,2021-01-25T18:27:48.000Z,ابيات من ذهب,,,,,1,['https://pbs.twimg.com/media/EsmQDz_XMAEg-sJ?format=jpg&name=900x900'],https://twitter.com/salama747/status/1353771567797428226
SULEMAN ALSALAMAH,@salama747,2021-01-23T13:06:32.000Z,,,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1352965908042571778/pu/img/wyqlQinXNSVQ81d7.jpg'],https://twitter.com/salama747/status/1352965945145360384
SULEMAN ALSALAMAH,@salama747,2021-01-16T16:00:00.000Z,لا يوجد جواب,,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1350472786549026817/pu/img/zC5ZbAFK3wciU2PJ.jpg'],https://twitter.com/salama747/status/1350472881180991491
أبوعبدالرحمن الحربش الصخَري,@Shabib1,2021-01-24T14:28:17.000Z,دعواتكم بالشفاء العاجل لوالدتي وأن يجعل نقلها إلى الرياض سببا في شفائها التام وأن يفرحني بسلامتها وعودة النور والسعادة إلى بيتنا ...,,,796,271,354,['https://pbs.twimg.com/ext_tw_video_thumb/1353348864556859393/pu/img/jYDKohL5KNGKxXbt.jpg'],https://twitter.com/Shabib1/status/1353348904780242945
SULEMAN ALSALAMAH,@salama747,2021-01-24T14:54:17.000Z,الله يشفيها وترجع لكم بالسلامه,,,,,,[],https://twitter.com/salama747/status/1353355447479238657
#مباني_بريكاست,@sultanprojects,2020-12-02T16:27:32.000Z,#ثريد تغطية فنية لمبنى سكني باستخدام #البريكاست بنظام الاعمدة والجسور واسقف #الهولوكور و واجهات الحوائط المعزولة,"1:06
9.7K views",,5,16,63,[],https://twitter.com/sultanprojects/status/1334172356881895428
SULEMAN ALSALAMAH,@salama747,2021-01-16T10:58:32.000Z,السلام عليكم عندكم فرع في الرياض,,,,,,[],https://twitter.com/salama747/status/1350397018154397702
#مباني_بريكاست,@sultanprojects,2020-12-02T16:27:32.000Z,#ثريد تغطية فنية لمبنى سكني باستخدام #البريكاست بنظام الاعمدة والجسور واسقف #الهولوكور و واجهات الحوائط المعزولة,"9.7K views
0:03 / 1:08",,5,16,63,[],https://twitter.com/sultanprojects/status/1334172356881895428
SULEMAN ALSALAMAH,@salama747,2021-02-28T07:51:09.000Z,الخزامى في الحيرا,,,1,1,1,"['https://pbs.twimg.com/media/EvTEWfMXYAAWs-T?format=jpg&name=small', 'https://pbs.twimg.com/media/EvTEYNhWQAEOb0o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvTEZHsWQAAVy7x?format=jpg&name=360x360']",https://twitter.com/salama747/status/1365932537743302656
عبدالعزيز الهشبول,@azizalhashbool,2021-02-06T17:51:26.000Z,"الكبير الشباب في القمه 
#الشباب",,,36,199,306,[],https://twitter.com/azizalhashbool/status/1358111070615965697
SULEMAN ALSALAMAH,@salama747,2021-02-06T17:52:19.000Z,الله يكفيه شر الفار المباراة القادمه,,,,,,[],https://twitter.com/salama747/status/1358111292180090887
SULEMAN ALSALAMAH,@salama747,2021-02-07T07:05:20.000Z,"Replying to 
@sultanprojects",السلام عليكم عندكم فرع في الرياض,,,,,[],https://twitter.com/salama747/status/1358310861513887744
خالد القحطاني,@khaled_q28,2021-02-06T18:33:53.000Z,اتمنى ان اشاهد عبدالله الحمدان في اقرب وقت مهاجم الهلال الاساسي، اذا ناسب لياقيا واعلن الطرفان تمام الصفقة .. خصوصا مع اصابة صالح اليوم، فلا الوقت ولا الموقف ولا التجارب السابقة يسمحان بمنح جوميز التائه وقت اطول .. اما ان يثبت عكس ذلك في وقته كبديل او يستمر على الدكة.,,,289,824,1.5K,[],https://twitter.com/khaled_q28/status/1358121754640678913
SULEMAN ALSALAMAH,@salama747,2021-02-06T20:04:31.000Z,خلوه ينتبه للعضلة الضامه اللي متخصصه في الهلال وبالتمارين فقط,,,,,,[],https://twitter.com/salama747/status/1358144562968080386
SULEMAN ALSALAMAH,@salama747,2021-02-13T19:17:08.000Z,"@TARIQALNOFAL
 مبروك الفوز ومبروك عودة الحكم المحلي بهذه الشخصيه اللي فاقدينها من زمان",,,,,,[],https://twitter.com/salama747/status/1360669352564035588
فهد الروقي,@fahdalruqi,2021-02-28T16:12:17.000Z,"أهداف الهلال رغم وضوحها يجب أن تمر بولادة قيصرية من ( الفار ) 

 #الفتح_الهلال",,,96,451,539,['https://pbs.twimg.com/media/EvU3GBgXMAc6tZI?format=jpg&name=small'],https://twitter.com/fahdalruqi/status/1366058651732090884
SULEMAN ALSALAMAH,@salama747,2021-02-28T16:18:10.000Z,اذا اردت ان تعرف  مافي ايطاليا عليك ان تعرف مافي البرازيل     حسني البرازاني عليك انت تعرف من يوجد في غرفة الفار,,🗝,,,,[],https://twitter.com/salama747/status/1366060133327994884
هــﻼ̍ۙڵــۑْۧــۃ ا̍ڷــﮪــۄۍۧ,@3s4qLwKdXtTxuek,2021-02-09T15:14:46.000Z,المباراة القادمة مع مين يازعماء؟؟؟؟؟,,💙 💙,3,2,1,[],https://twitter.com/3s4qLwKdXtTxuek/status/1359158809172787207
SULEMAN ALSALAMAH,@salama747,2021-02-11T03:31:16.000Z,مع خالد الطريس في ابها,,,,,,[],https://twitter.com/salama747/status/1359706543722270721
فواز الشريف,@FawazAlshreef,2021-01-31T23:10:44.000Z,أحببت التوضيح إلى المحبين والمتابعين والمهتمين بالسؤال عني انني أمر بظرف صعب يتمثل في تعرض إبنتي وفلذة كبدي الى حالة صحية تحتاج منكم الدعاء في ظهر الغيب لها بالشفاء العاجل فالدعاء بالغيب اصدق صفات المحبين سائلا الله ان يحفظ لكم احبابكم,,,4.4K,3.2K,4.7K,[],https://twitter.com/FawazAlshreef/status/1356017098737250308
SULEMAN ALSALAMAH,@salama747,2021-02-01T09:11:08.000Z,اللهم ارفع عنها وعن جميع مرضى المسلمين وتقوم بالسلامه,,,,,,[],https://twitter.com/salama747/status/1356168195481227267
SULEMAN ALSALAMAH,@salama747,2021-03-15T22:07:59.000Z,مكشاتنا اليوم شمال الرياض,,,,5,7,"['https://pbs.twimg.com/media/EwjYV9YW8AEw2Mp?format=jpg&name=small', 'https://pbs.twimg.com/media/EwjYWcJXMAES4xA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EwjYW_qWEAMjPwe?format=jpg&name=360x360']",https://twitter.com/salama747/status/1371583985818730499
SULEMAN ALSALAMAH,@salama747,2021-03-04T14:30:49.000Z,خزامى الحيرا -أم رجوم,,,1,1,7,"['https://pbs.twimg.com/media/EvpGO1NXUAoE2Qv?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvpGO1GXUAMbRyG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvpGO1MXcAEXwYg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvpGO16WYAMlYvW?format=jpg&name=360x360']",https://twitter.com/salama747/status/1367482669261606918
SULEMAN ALSALAMAH,@salama747,2021-03-07T15:53:43.000Z,,,,,,,['https://pbs.twimg.com/media/Ev41-lUWYAAyN8M?format=jpg&name=medium'],https://twitter.com/salama747/status/1368590693430624257
SULEMAN ALSALAMAH,@salama747,2021-03-07T18:24:01.000Z,,,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1368628307722440710/pu/img/X9YHWoul0_yFGFXe.jpg'],https://twitter.com/salama747/status/1368628520839168002
SULEMAN ALSALAMAH,@salama747,2021-03-07T13:51:05.000Z,مهازل التحكيم ولايفوتكم الحكم الرابع,,,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1368559681527033861/pu/img/ZXeaWaW2XxSWw3fW.jpg'],https://twitter.com/salama747/status/1368559832060596226
SULEMAN ALSALAMAH,@salama747,2021-03-05T14:35:39.000Z,في ضلع ابواب,,,,,,[],https://twitter.com/salama747/status/1367846274326757376
SULEMAN ALSALAMAH,@salama747,2021-03-05T14:36:07.000Z,الموقع ضلع ابواب,,,,,,[],https://twitter.com/salama747/status/1367846390672613377
