UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dreamonix,@Dreamonix_72,2021-01-22T05:07:36.000Z,"Replying to 
@mathew_fish
 and 
@hottoysofficial","Over here in the DC comics corner, we""re saving so much money not having anything to pre order. I don't know how disney collectors can afford to keep up with the releases.",,1,,2,[],https://twitter.com/Dreamonix_72/status/1352483029101408256
S N Nikki,@soapninjaNicky,2021-01-23T15:18:53.000Z,Please re release Justice league Deluxe Batman,,,,,,[],https://twitter.com/soapninjaNicky/status/1352999252541239299
Xbox,@Xbox,2021-01-28T23:00:00.000Z,"A big game deserves a big showing.

Play The Medium now with 
@XboxGamePass
 on Xbox Series X|S and PC","VG247
@VG247
 · Jan 25
The Medium is the next big console exclusive on Xbox Series X & S. We spoke to its developer about that, the power level of the Series S, Game Pass, and more:
https://vg247.com/2021/01/25/medium-interview-bloober-team-xbox/…",,147,177,3.2K,"['https://pbs.twimg.com/profile_images/1428030281081135108/lzZ5QRai_mini.jpg', 'https://pbs.twimg.com/media/EskBLnxW8AA6b-T?format=jpg&name=small']",https://twitter.com/Xbox/status/1354927233316491264
S N Nikki,@soapninjaNicky,2021-01-29T19:01:01.000Z,Game made me jump and make a yulp noise .. Love it !!! Interesting story so far  the monster gives off a pans labyrinth look to me fantastic ,,👌,1,,1,[],https://twitter.com/soapninjaNicky/status/1355229481514971143
S N Nikki,@soapninjaNicky,2021-02-08T01:41:37.000Z,#HalfTimeShow  sucked so much,,,,,1,[],https://twitter.com/soapninjaNicky/status/1358591783261904902
S N Nikki,@soapninjaNicky,2021-02-27T23:41:19.000Z,"#TomAndJerryMovie

Tom &Jerry was a funny Beautifully  done Movie  #HBOMax",,👏,,,,[],https://twitter.com/soapninjaNicky/status/1365809267597602817
S N Nikki,@soapninjaNicky,2021-02-16T00:22:18.000Z,"I'm entered in this #SideshowGiveaway, are you?","Sideshow's 200k YouTube Subscribers Giveaway
ABOUT THIS CONTEST We recently reached 200k YouTube subscribers and we are holding a massive giveaway to celebrate! There are a lot of ways to enter for a chance to win one of the many prizes! ABOUT...
gleam.io",,,,,[],https://twitter.com/soapninjaNicky/status/1361470926789959684
S N Nikki,@soapninjaNicky,2021-02-26T10:20:33.000Z,"So are the infinity stone alive in a way why did it seem like it chose her? 
WestV after the blip people came back Ppl in twn seem depressed and in the Sitcom she made em have a better life like but, in pain again in reality kinda msd up 5ysgone come back to that
Mindless Ultron?",,,1,,,[],https://twitter.com/soapninjaNicky/status/1365245360168394753
S N Nikki,@soapninjaNicky,2021-02-08T00:45:24.000Z,"Replying to 
@MountainDew",#MTNDEWMAJORMELON  #MyPromotionEntry    227 Bottles,,1,,,[],https://twitter.com/soapninjaNicky/status/1358577638563065858
S N Nikki,@soapninjaNicky,2021-02-25T08:39:25.000Z,"Replying to 
@soapninjaNicky
 and 
@Variety",Relationship ever in a Show I don’t want to find out or just to make a story that it didn’t work out and they split anyways..  no thanks,,,,1,[],https://twitter.com/soapninjaNicky/status/1364857521714905093
