UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
prof. dr. vatandaş,@strek4504,2021-06-28T08:52:36.000Z,Unutmayın,,,,,1,['https://pbs.twimg.com/media/E49RP-cXwAMTmfP?format=jpg&name=small'],https://twitter.com/strek4504/status/1409434545435328518
prof. dr. vatandaş,@strek4504,2021-06-29T20:15:34.000Z,#gavat dayı gavaaaaaattttt,,,,,,[],https://twitter.com/strek4504/status/1409968807108661248
prof. dr. vatandaş,@strek4504,2021-06-27T09:47:54.000Z,Yorumsuz,"Who?
@who98408150
 · Jun 26
(+18)Şanlıurfa’da iki aile arasında çıkan kavga… Nasıl bir toplum olduk biz? Kanun korkunuz yok Allah korkunuz yok… Bu ne vahşet?  https://twitter.com/Sharemania1/status/1408766298176245762/video/1…",,,,,['https://pbs.twimg.com/profile_images/1339996157435469826/xjs5mxtZ_mini.jpg'],https://twitter.com/strek4504/status/1409086074622709764
prof. dr. vatandaş,@strek4504,2021-06-29T16:11:29.000Z,Neler unutuldu neler bu ülkede bunlarda unutulur.,,,,,,[],https://twitter.com/strek4504/status/1409907381555838976
prof. dr. vatandaş,@strek4504,2021-06-29T16:00:43.000Z,"Replying to 
@strek4504
 and 
@Baris_2910",,,,,,['https://pbs.twimg.com/media/E5D802aWEAAuhft?format=jpg&name=medium'],https://twitter.com/strek4504/status/1409904671595155457
Con Sinov,@lordsinov,2021-06-29T17:57:06.000Z,"Replying to 
@lordsinov","Burada en tehlikeli güruh da gavatı sakinleştirmeye çalışıp kadına ""tamam hadi git"" diyerek mevzuyu örtmeye çabalayan gönüllü kuryeler...

Kadının haklı tepkisini önemsizleştirip gericiliği cesaretlendiriyorlar. Onlara da tepki şart.",,39,220,4.7K,[],https://twitter.com/lordsinov/status/1409933961237827587
prof. dr. vatandaş,@strek4504,2021-06-29T21:34:07.000Z,Kendiside şort takılıyor dayı,,,1,,,['https://pbs.twimg.com/media/E5FJItvWQAYpMEN?format=jpg&name=900x900'],https://twitter.com/strek4504/status/1409988574578159617
prof. dr. vatandaş,@strek4504,2021-06-29T14:47:06.000Z,Bak şikayet etmeyin ulen gevşek troller ben biiliiyorum niye yaptığınız yapmayın eşşek oğlu eşekler bu hesapta gidecek yapmayın fikriniz aklınız birazcık varsa buyrun yazın seviyeli bir şekilde tartışalım,,,,1,1,[],https://twitter.com/strek4504/status/1409886148760068102
prof. dr. vatandaş,@strek4504,2021-06-29T15:32:59.000Z,Benim eve girse hırsız heralde biraz para bırakıp çıkar ,,😂,,,,[],https://twitter.com/strek4504/status/1409897695750283266
prof. dr. vatandaş,@strek4504,2021-06-29T21:34:53.000Z,"Replying to 
@strek4504
 and 
@lordsinov",E şimdi ne olacak dayı senin adına gavat diye tag açılmış bilgin olsun ,🤣 🤣,,,,[],https://twitter.com/strek4504/status/1409988769697120258
Özgür Demirtaş,@ProfDemirtas,2021-06-29T11:49:39.000Z,"Türkiye'de Üniversite sınavı kaldırılırsa:

1) Siyasetçilerin eşinin dostunun çocukları okullara doldurulur.

2) Mafyanın, nüfuzlu insanların tanıdıklarının çocukları okullara doldurulur.

3) Paramparça olmuş fırsat eşitliği iyice yok olur.

Sizce?",,,2.9K,6.2K,68.1K,[],https://twitter.com/ProfDemirtas/status/1409841491577651200
prof. dr. vatandaş,@strek4504,2021-06-29T14:29:47.000Z,Olmayan birseyin yok olması parçalanması bilimsel olarak mümkün değildir saygılar hocam,,,,,,[],https://twitter.com/strek4504/status/1409881786985889805
Şengül,@gul_fid,2021-06-28T20:25:09.000Z,"Mansur Yavaş Cumhurbaşkanı 
Adayı Olursa
ÜLKEDEN Gözü Kapalı
%70 Oy Alır Diyorlar
Sizler Ne Diyorsunuz.?  Alırmı.!",,,1K,531,10.6K,[],https://twitter.com/gul_fid/status/1409608830934306816
prof. dr. vatandaş,@strek4504,2021-06-29T18:31:24.000Z,10 yıl boyunca oy kullanmadım son üç yıl içinde kullandım 2 kere hdp bir kerede boş şimdi gene kullanmicam,,,,,,[],https://twitter.com/strek4504/status/1409942592549183494
Barbaros Sansal,@barbarosansalfn,2021-06-29T08:57:28.000Z,Tır Şöförü !,"T24
@t24comtr
 · Jun 29
Bahçeli: 2023 yılındaki seçimlerine ortak adayla gireceklerse bu gizemli ve gizli tutulan Cumhurbaşkanı adayı kimdir?
https://t24.com.tr/haber/bahceli-gelin-bu-universite-sinavlarini-kaldiralim-genclerimizi-daha-fazla-yormayalim,962397…",,227,187,3.3K,"['https://pbs.twimg.com/profile_images/1235942547526123520/tW9IcZ0V_mini.jpg', 'https://pbs.twimg.com/media/E5CVes_WQAE-1gg?format=jpg&name=small']",https://twitter.com/barbarosansalfn/status/1409798157844848644
prof. dr. vatandaş,@strek4504,2021-06-29T08:58:28.000Z,Src 3 de var işin içinde ,,🤣 🤣,,,,[],https://twitter.com/strek4504/status/1409798410421612545
prof. dr. vatandaş,@strek4504,2021-06-27T11:16:00.000Z,"Replying to 
@tugbaaozerr",Olaylar çok vahim,,,,,[],https://twitter.com/strek4504/status/1409108245839499264
Uğur Arıcı,@ugursus,2021-06-26T20:20:50.000Z,Bu video benim kalbimi kırdı.,"From 
Fatoş Erdoğan",💭,445,12.5K,62.8K,['https://pbs.twimg.com/ext_tw_video_thumb/1408841528592801793/pu/img/3zVYcVQ0zQ7LYkvf.jpg'],https://twitter.com/ugursus/status/1408882969188700163
prof. dr. vatandaş,@strek4504,2021-06-27T12:32:51.000Z,Yazık be gerçekten,,,,,,[],https://twitter.com/strek4504/status/1409127587276890113
