UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Donna,@therooksfamily,2021-01-20T14:48:41.000Z,"Replying to 
@IvankaTrump",Thank you and your family for the sacrifices you all made to make America Great again. So many forces trying to fight you along the way. I'm ashamed of the way people spew hatred. I hope you know that there are so many that love appreciate and pray for you and the Trump Family.,,1,,,[],https://twitter.com/therooksfamily/status/1351904486210613256
Donna,@therooksfamily,2021-01-27T15:26:19.000Z,"Replying to 
@RealSaltLife
 and 
@jdunne2",@rooks729,,,,,[],https://twitter.com/therooksfamily/status/1354450673618837509
Donna,@therooksfamily,2021-02-05T22:48:41.000Z,"#CutOutWithCutwater#sweepstakes 
@CutwaterSpirits",,,,,,['https://pbs.twimg.com/media/Etf1Q2zWYAQJ4K0?format=jpg&name=medium'],https://twitter.com/therooksfamily/status/1357823490238402561
Donna,@therooksfamily,2021-02-08T12:42:39.000Z,@gretahannah,"Raymour & Flanigan
@raymourflanigan
 · Feb 8
What a game.  Congratulations to Tampa Bay!

Let's end the night with our biggest #giveaway! RT, LIKE and tag a football fan to be entered to #win a $500 Raymour & Flanigan gift card. Good luck!
Show this thread",🏈,,,,"['https://pbs.twimg.com/profile_images/1410626235290591232/loSEPMb8_mini.jpg', 'https://pbs.twimg.com/media/EtrFFBOWQAA852k?format=jpg&name=small']",https://twitter.com/therooksfamily/status/1358758140758667265
Disney Cruise Line,@DisneyCruise,2021-07-06T16:25:23.000Z,"Replying to 
@DisneyCruise","NO PURCH. NEC. Ends 3/31/22. 18+ age of maj., US & CA (excl. QC) only. Official Rules: https://yearofwishes.com/en-us/Rules",,9,9,60,[],https://twitter.com/DisneyCruise/status/1412447597336293383
Donna,@therooksfamily,2021-07-09T00:46:31.000Z,wishing for a week of bliss with these people #YearOfWishes  #Sweepstakes @DisneyCruiseLine,,,,,,['https://pbs.twimg.com/media/E50LMDkWEAM6B5q?format=jpg&name=small'],https://twitter.com/therooksfamily/status/1413298486896992260
Truly,@trulyseltzer,2021-06-18T17:47:05.000Z,"The hunt is on… How far would you go?  #SWEEPSTAKES Tell us what you'd do for a Truly Freeze Pop, and 50 lucky winners will get gas money for a Truly Freeze Pops road trip.  GO",,👇,1.7K,321,1.1K,['https://pbs.twimg.com/media/E4LrrsGXMA4jbxH?format=jpg&name=small'],https://twitter.com/trulyseltzer/status/1405945174308556801
Donna,@therooksfamily,2021-07-08T22:40:07.000Z,#sweepstakes I would smoosh a pie in my boss's face!,,,,,,[],https://twitter.com/therooksfamily/status/1413266677266010114
Disney Cruise Line,@DisneyCruise,2021-07-06T16:24:52.000Z,"Enter for a chance to win a 6/4-8/22 cruise vacation on #DisneyWish. Share a photo of your ideal adult Disney cruise escape and include #YearOfWishes and #Sweepstakes and follow & tag 
@DisneyCruise
.",,,531,97,374,['https://pbs.twimg.com/media/E5oFe3kXMAARgEX?format=jpg&name=small'],https://twitter.com/DisneyCruise/status/1412447464653737988
Donna,@therooksfamily,2021-07-09T00:44:13.000Z,"Wishing for a carefree funfilled week with family #YearOfWishes #Sweepstakes 
@DisneyCruise",,,,,,[],https://twitter.com/therooksfamily/status/1413297908082950145
Truly,@trulyseltzer,2021-06-29T12:39:22.000Z,"Replying to 
@trulyseltzer","We aren't giving away $100,000 like 
@venmo
, but we are giving 50 people $100 if you reply to this pinned tweet before July 9th ",👀,194,27,254,[],https://twitter.com/trulyseltzer/status/1409854000049098755
Donna,@therooksfamily,2021-07-08T22:40:42.000Z,I'm in!,,,,,,[],https://twitter.com/therooksfamily/status/1413266821210378240
Donna,@therooksfamily,2021-08-07T00:23:52.000Z,Enter for a Chance to Win!,"Make it Pop | Daily's Cocktails
Celebrate new Daily’s Poptails™ with a chance to win weekly mega prizes (plus some pretty cool instant win swag). What are you waiting for? Enter
dailyscocktails.com",,,,,['https://pbs.twimg.com/card_img/1430308046220242948/FQERzMrv?format=jpg&name=240x240'],https://twitter.com/therooksfamily/status/1423802034067750912
Donna,@therooksfamily,2021-08-07T00:23:20.000Z,I just entered the Daily's Cocktails #MAKEITPOP Summer Giveaway,"Make it Pop | Daily's Cocktails
Celebrate new Daily’s Poptails™ with a chance to win weekly mega prizes (plus some pretty cool instant win swag). What are you waiting for? Enter
dailyscocktails.com",,,,,['https://pbs.twimg.com/card_img/1430308046220242948/FQERzMrv?format=jpg&name=240x240'],https://twitter.com/therooksfamily/status/1423801898512101378
Bourbon On A Budget,@BourbonBudget,2021-08-20T18:23:19.000Z,HAPPY FRYEDAY! What is your rye flex bottle? Which one of these are you grabbing off the shelf? #fryeday,,,6,2,14,['https://pbs.twimg.com/media/E9QQFVxVUAA93kf?format=jpg&name=small'],https://twitter.com/BourbonBudget/status/1428784728686088192
Donna,@therooksfamily,2021-08-20T21:51:42.000Z,Toasted Barrell!,,,,,1,[],https://twitter.com/therooksfamily/status/1428837171700580352
Donna,@therooksfamily,2021-08-06T22:48:13.000Z,#LiptonTogetherSweepstakes,,,,,,[],https://twitter.com/therooksfamily/status/1423777960692224003
Donna,@therooksfamily,2021-08-10T23:11:25.000Z,ENTER FOR A CHANCE TO&nbsp;WIN FREE SHOES,"Shoe Giveaway - GECKOMAN
enter for free shoes
geckoman.com",,,,,[],https://twitter.com/therooksfamily/status/1425233354396520449
