UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Velveeta,@EatLiquidGold,2021-01-26T15:53:24.000Z,we no longer have a tv in the home office plz respond with your fav gif from your fav show so it feels like we're watching tv,,,67,11,110,[],https://twitter.com/EatLiquidGold/status/1354095099739844608
Tlm28144,@tlm28144,2021-01-27T16:28:16.000Z,Huggs...,GIF,,,,1,[],https://twitter.com/tlm28144/status/1354466261636435968
Tlm28144,@tlm28144,2021-01-29T15:10:43.000Z,"The next level is: From my plate with ketchup, to My mouth!!","Green Giant™ Fresh Potatoes
@KlondikePotato
 · Jan 29
Happy Fry-Day, friends! Ketchup, mayo, hot sauce, or cheese...tell us in the comments how you take your french fries to the next level!   #GreenGiantFreshPotatoes",🍽 🍟 👄 🥔 🍟,,,,"['https://pbs.twimg.com/profile_images/1366375561984155648/QCmFCLoQ_mini.jpg', 'https://pbs.twimg.com/media/Es55QQ-XIAISu65?format=jpg&name=small']",https://twitter.com/tlm28144/status/1355171522600706050
Tlm28144,@tlm28144,2021-01-29T15:00:05.000Z,I need a handful of roasted!! Better add to my Wally grocery order today!! ,"Mr. Peanut
@MrPeanut
 · Jan 27
Found my monocle. See you soon. ",😁 😋 😉,,,,"['https://pbs.twimg.com/profile_images/1420420387523936260/fO-Dbu-d_mini.png', 'https://pbs.twimg.com/amplify_video_thumb/1354546355411279875/img/y6Lx-NLkBTMqQLJq.jpg']",https://twitter.com/tlm28144/status/1355168846571823106
Tlm28144,@tlm28144,2021-01-29T16:28:10.000Z,SHELLS ARE YIN & CHEESE IS YANG,"Velveeta
@EatLiquidGold
 · Jan 28
SHELLS ARE CATS CHEESE IS DOGS
Show this thread",,1,,1,['https://pbs.twimg.com/profile_images/815988459320078336/24XVEUMz_mini.jpg'],https://twitter.com/tlm28144/status/1355191011442634757
Tlm28144,@tlm28144,2021-01-29T15:04:14.000Z,"Love pizza any time of day. Regular is good, but how about a Sausage, egg & Cheese!! A side dip/cup of white gravy..","Little Caesars Pizza
@littlecaesars
 · Jan 29
 Normalize pizza for breakfast ",😋 🗣 🗣,,,,['https://pbs.twimg.com/profile_images/925726655523385344/fDCkJQ72_mini.jpg'],https://twitter.com/tlm28144/status/1355169892786462725
Kraft Macaroni & Cheese,@kraftmacncheese,2021-01-27T14:00:33.000Z,"This Valentine’s Day, we’re giving 1,000 lucky lovebirds the chance to turn their mac and cheese into sweet, pink #CandyKraftMacAndCheese. To enter and see official rules, visit: https://bit.ly/3pe1ZBd. NO PURCHASE NECESSARY. Ends 2/8/2021",,,671,2K,1.7K,['https://pbs.twimg.com/media/EsvmEecXIAElMJ7?format=jpg&name=small'],https://twitter.com/kraftmacncheese/status/1354429088061157376
Tlm28144,@tlm28144,2021-01-27T22:23:46.000Z,"Well, not sounding to promising, but, won't know till I try, will I??",,😁,,,1,[],https://twitter.com/tlm28144/status/1354555725566124032
Utz Snacks,@UtzSnacks,2021-01-29T15:00:01.000Z,What’s the perfect snack to make the DMV more fun?,,,184,68,227,[],https://twitter.com/UtzSnacks/status/1355168830822121472
Tlm28144,@tlm28144,2021-01-29T16:35:59.000Z,"The only,  Honey BBQ & Vodka Martini",,😂 😂,,,1,[],https://twitter.com/tlm28144/status/1355192978776723459
Tlm28144,@tlm28144,2021-01-29T14:56:48.000Z,#BetterWithMMS,"M&M'S
@mmschocolate
 · Jan 28
Hey hey just letting you know if you tweet #BetterWithMMS something really fun happens ",😉,,,,['https://pbs.twimg.com/profile_images/1407425928943357956/1_3pOnze_mini.jpg'],https://twitter.com/tlm28144/status/1355168020809834503
