UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sweeps,@Sweepsgg,2021-01-09T03:00:22.000Z,"I am giving an #iPhone12 or $800 to someone who retweets this and tags a friend. Ends 1/15 at 7 pm pst.

Follow 
@BuyMeACoffee
 + 
@VastGG
 and me to win.

Bonus $100 to the most liked reply. Those liking your reply must follow us to count.

Also, REPLY and RT with #iPhone12Giveaway.",,🍌,11.3K,12.4K,7.7K,['https://pbs.twimg.com/media/ErQiVEaUYAE5VRY?format=jpg&name=small'],https://twitter.com/Sweepsgg/status/1347739968169340931
Victor,@yee_tus,2021-01-09T05:35:47.000Z,Please pick me bro  #iPhone12Giveaway,,,1,,,[],https://twitter.com/yee_tus/status/1347779080381476865
Victor,@yee_tus,2021-01-29T03:57:33.000Z,"My cat big boy gives me Little Lift every day!  
@TurboTax
 #LittleLifts",,,,,,[],https://twitter.com/yee_tus/status/1355002116381831168
Victor,@yee_tus,2021-01-27T02:17:32.000Z,"I built a Volvo for #VolvoSafety Sunday and am rooting for safety during the big game for a chance to win. To enter, visit","Celebrating 1 million lives saved by Volvo safety innovations
NO PURCH. NEC. Open to legal res of 50 US/DC, 18+ only. Valid United States driver’s license required to claim a prize. Begins 1/20/20 and ends 2/2/20. For Rules, visit [PROMOTION RULES URL]. Void...
volvosafetysunday.com",,,,,['https://pbs.twimg.com/card_img/1419244869994827776/phxMQfUv?format=jpg&name=small'],https://twitter.com/yee_tus/status/1354252168786808832
Victor,@yee_tus,2021-01-26T03:39:56.000Z,"Win A Samsung Galaxy S21+ With #Android Headlines  http://bit.ly/S21PlusGiveaway 
@androidheadline
 #google #samsung #GalaxyS21","Updated w/ Winner: Win A Samsung Galaxy S21+ With Android Headlines - US Giveaway
Congrats to Mark Duffey of Missouri the Winner of our Samsung Galaxy S21+ Contest   Welcome to the latest giveaway/contest from Android Headlines.
androidheadlines.com",,,,,['https://pbs.twimg.com/card_img/1432430314119385091/z0NZUd4W?format=jpg&name=small'],https://twitter.com/yee_tus/status/1353910518927548416
Victor,@yee_tus,2021-01-09T05:36:24.000Z,"Replying to 
@yee_tus
 @Sweepsgg
 and 2 others","Tagging 
@slapathebass",,,,,[],https://twitter.com/yee_tus/status/1347779234622799872
Victor,@yee_tus,2021-01-17T18:15:47.000Z,"I'm in the running to win the Maglite Tactical Launch Contest, thanks to 
@Maglite
 - #MagTac #Maglite #MagliteNation https://bit.ly/3sw94ix",,,,,,[],https://twitter.com/yee_tus/status/1350869442918567937
Victor,@yee_tus,2021-01-20T01:49:15.000Z,"I hope I win this Triarc Systems AR15 Giveaway from 
@primaryarms
!","Triarc Systems AR15 Giveaway
To celebrate the new year, Primary Arms is offering you the chance to take home a premium AR-15 build from TRIARC Systems, Primary Arms Optics, Modlite, Arisaka Defense, Magpul, and more. This TRIARC...
gleam.io",,,,,[],https://twitter.com/yee_tus/status/1351708335565910016
Victor,@yee_tus,2021-01-09T05:35:32.000Z,#iPhone12Giveaway,"Sweeps
@Sweepsgg
 · Jan 9
I am giving an #iPhone12 or $800 to someone who retweets this and tags a friend. Ends 1/15 at 7 pm pst.

Follow @BuyMeACoffee + @VastGG and me to win.

Bonus $100 to the most liked reply. Those liking your reply must follow us to count.

Also, REPLY and RT with #iPhone12Giveaway.
Show this thread",🍌,,,,"['https://pbs.twimg.com/profile_images/1345046839477768192/b5ciQ_Hu_mini.jpg', 'https://pbs.twimg.com/media/ErQiVEaUYAE5VRY?format=jpg&name=small']",https://twitter.com/yee_tus/status/1347779017420713986
Victor,@yee_tus,2021-02-09T02:48:45.000Z,"#TraegerGameDay Hope I'm not too late :-)

mac and cheese and ribs baby!",,,,,,[],https://twitter.com/yee_tus/status/1358971065263915009
