username,like_linda,like_karl_peter,like_sandy,like_kevin,like_martin,like_claudia,like_best_cluster_of_all,like_best_cluster_of_top_20,used_hashtags
bhc7,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#عيد_مبارك', '#PS5', '#FalconTayson', '#FalconsAreHere']"
AlexRabehl2,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#BlueLivesMatter', '#BackTheBlue', '#lawenforcement', '#PoliceTribune', '#TikTok', '#follow', '#tryingtogrow', '#ThisIsMyCrew', '#backtheblue', '#defendtheblueline', '#defundthemedia']"
JesusKingofLove,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#WeWantMore', '#Browns', '#Prince4Ever', '#PrinceArt', '#BlackHistoryMonth', '#RealityWinner', '#PRINCE4EVER', '#MeghanMarkle', '#GRAMMYS', '#Grateful', '#Grace', '#Growth', '#TimScott', '#booboo', '#sanasanacolitaderana', '#linkinbio', '#existenceisresistance', '#blacklivesmatter', '#FreePalestine', '#TurnTexasBlue', '#20TEN', '#Welcome2America', '#KareemHunt', '#BudLightStimmyTix', '#Sweepstakes', '#savemanifest', '#TheTwilightZone', '#RKELLY', '#TGIF', '#OurCLE', '#BillCosby', '#DueProcess', '#FreedomFighter', '#HelloFriend', '#MamaFran', '#Emmy', '#Hacks', '#EmmyNoms', '#Emmys', '#Emmys2021', '#indi', '#prince', '#ZoneQuotes', '#S3E9', '#MwSR', '#MwII', '#Baby5ive1']"
ridiculous,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#tickerstillticking', '#TheCorgiOfHappiness', '#TheCorgiofHappiness', '#DogsofTwittter', '#dogsoftwitter', '#3309', '#NationalDogDay', '#NewProfilePic']"
BustanRodai,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#AFLHawksFreo', '#AFLBluesCats']"
ShanteT11,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216",[]
PamWils29624466,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"17.65%, Cluster: community cluster 955","['#CandyConversation', '#100YearsOfSees', '#sweeps', '#VolvoSafety', '#LittleLifts', '#sweepstakes', '#NABISCOSnackBracket', '#Sweepstakes', '#CountDownEntry', '#TMobileTuesdays', '#contest', '#mahomeszonesweepstakes', '#MTNDEWMAJORMELON', '#MyPromotionEntry', '#KlondikeConeZone', '#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes', '#Bestof2021Sweepstakes', '#OfficialWineofHellsKitchen', '#HellsKitchen', '#DippinDots', '#GIVEAWAY', '#NectarLOVESsleep', '#NectarSleepAwarnessWeek', '#WIN', '#PeelinGoodTour', '#Mayophobia', '#NationalRanchMonth', '#StellaMutual', '#StellaBites', '#Giveaway', '#win', '#candyshop', '#deepchocolate', '#darkchocolate', '#sweets', '#chocolate', '#seescandy', '#sweetthang', '#sweettooth', '#getinmybelly', '#HappyMothersDay', '#AAdvantage40th', '#giveaway', '#RenewYourself', '#FeelGood', '#fingerscrossed', '#disneyland', '#dlr', '#disneyparks', '#gggentry', '#BudLightSummerStimmy', '#BudLightStimmyTix', '#BuschReunionContest', '#SummerYourWay', '#TwitterParty', '#RuleYourDay', '#BushsBeautifulSummerContest', '#SWEEPSTAKES', '#JBLTrueSummer', '#FreeFloatFriday', '#MAKEITPOP', '#Win', '#LasVegas', '#100YearsofSees', '#BotaBoxXXLSweepstakes', '#WalmartBackToClass']"
spruett123,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"5.26%, Cluster: community cluster 538","['#positivevibes', '#goodvibesonly', '#FridayVibes', '#GodisGreat', '#Godislove', '#Grateful', '#TGIF', '#FreeSpideyPS5', '#KindnessMatters', '#323', '#savewinclub', '#NewProfilePic', '#MoneyGramMonday', '#FreeSwitch', '#GiveThanksNotPranks', '#354', '#SWC', '#playsavewin', '#BSV', '#5Gsfor5G', '#Contest', '#wow', '#PickNavaLegit', '#PickNavaGivesBack', '#Sweepstakes', '#GetLockedIn', '#Lit', '#SeedsOfHope', '#seedsofhope', '#TXFam', '#TxFam', '#414', '#carpediem', '#415', '#MyTwitterAnniversary', '#VenmoMe', '#AyyMGwinner', '#444', '#5Gsfor5g', '#contest', '#LoveWinsFAM', '#TooCold', '#BitTheFrenchie', '#BleuTheXXLPit', '#TXFAM', '#WealthWednesday', '#MLB', '#OlympusToken', '#Olympus', '#Gateio', '#VenmoItForward', '#SJsCash2021', '#Ruthless', '#GiveawayAlert', '#goodmorning', '#58', '#swc', '#502', '#watchTheProfit']"
moN9BC2kyA63wRx,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"0.0%, Cluster: community cluster 216","['#NewProfilePic', '#MalalaOnMarriage']"
jana,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,,"11.76%, Cluster: community cluster 955","['#SmartyTips', '#Sweepstakes', '#snowglobegiveaway', '#WIN', '#Competition', '#GuacFromMexico', '#NewYearsEve', '#sweepstakes', '#win', '#WalmartWednesday', '#attexplore', '#GIVEAWAY', '#WFH', '#Contest', '#Print', '#campingworld', '#InternationalWomensDay', '#GroovesBreakEntry', '#PeakWhiteCheddar', '#Giveaway', '#mattress', '#giveaway', '#ad', '#HerculesTires', '#TGICINO', '#SWEEPSTAKES', '#BuschReunionContest', '#getmindright', '#VenmoItForward', '#LiptonTogetherSweepstakes']"
