hashtag,number_of_users_who_used_it,is_already_in_any_persona
#عيدمبارك,4,
#PS5,13,
#FalconTayson,4,
#FalconsAreHere,7,
#BlueLivesMatter,2,
#BackTheBlue,1,
#lawenforcement,1,
#PoliceTribune,1,
#TikTok,13,
#follow,4,
#tryingtogrow,1,
#ThisIsMyCrew,1,
#backtheblue,1,
#defendtheblueline,1,
#defundthemedia,1,
#WeWantMore,2,
#Browns,3,
#Prince4Ever,1,
#PrinceArt,1,
#BlackHistoryMonth,4,
#RealityWinner,1,
#PRINCE4EVER,1,
#MeghanMarkle,1,
#GRAMMYS,1,
#Grateful,3,
#Grace,1,
#Growth,2,
#TimScott,1,
#booboo,1,
#sanasanacolitaderana,1,
#linkinbio,1,
#existenceisresistance,1,
#blacklivesmatter,1,
#FreePalestine,2,
#TurnTexasBlue,1,
#20TEN,1,
#Welcome2America,1,
#KareemHunt,1,
#BudLightStimmyTix,17,
#Sweepstakes,75,
#savemanifest,1,
#TheTwilightZone,1,
#RKELLY,1,
#TGIF,4,
#OurCLE,1,
#BillCosby,1,
#DueProcess,1,
#FreedomFighter,1,
#HelloFriend,1,
#MamaFran,1,
#Emmy,1,
#Hacks,1,
#EmmyNoms,2,
#Emmys,1,
#Emmys2021,1,
#indi,1,
#prince,1,
#ZoneQuotes,1,
#S3E9,1,
#MwSR,1,
#MwII,1,
#Baby5ive1,1,
#tickerstillticking,1,
#TheCorgiOfHappiness,1,
#TheCorgiofHappiness,1,
#DogsofTwittter,1,
#dogsoftwitter,6,
#3309,1,
#NationalDogDay,11,
#NewProfilePic,51,
#AFLHawksFreo,1,
#AFLBluesCats,1,
#,165,
#CandyConversation,2,
#100YearsOfSees,2,
#sweeps,19,
#VolvoSafety,4,
#LittleLifts,6,
#sweepstakes,65,
#NABISCOSnackBracket,3,
#CountDownEntry,2,
#TMobileTuesdays,26,
#contest,40,
#mahomeszonesweepstakes,1,
#MTNDEWMAJORMELON,12,
#MyPromotionEntry,10,
#KlondikeConeZone,6,
#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes,9,
#Bestof2021Sweepstakes,11,
#OfficialWineofHellsKitchen,1,
#HellsKitchen,1,
#DippinDots,3,
#GIVEAWAY,18,
#NectarLOVESsleep,2,
#NectarSleepAwarnessWeek,2,
#WIN,21,
#PeelinGoodTour,2,
#Mayophobia,2,
#NationalRanchMonth,3,
#StellaMutual,12,
#StellaBites,6,
#Giveaway,49,
#win,31,
#candyshop,1,
#deepchocolate,1,
#darkchocolate,1,
#sweets,1,
#chocolate,1,
#seescandy,1,
#sweetthang,1,
#sweettooth,1,
#getinmybelly,1,
#HappyMothersDay,3,
#AAdvantage40th,3,
#giveaway,59,
#RenewYourself,2,
#FeelGood,2,
#fingerscrossed,7,
#disneyland,1,
#dlr,1,
#disneyparks,1,
#gggentry,3,
#BudLightSummerStimmy,4,
#BuschReunionContest,8,
#SummerYourWay,2,
#TwitterParty,1,
#RuleYourDay,7,
#BushsBeautifulSummerContest,4,
#SWEEPSTAKES,15,
#JBLTrueSummer,1,
