UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-01-03T09:58:16.000Z,"Replying to 
@TetsuoKurata29",新年快乐！！！,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1345670805913391104
ジョリーシャポー,@jolichapeau,2020-12-31T15:52:51.000Z,"あけましておめでとうございます！
今年もよろしくお願いします。",,,126,865,5.6K,['https://pbs.twimg.com/media/Eqk82XdVgAIsa3u?format=jpg&name=small'],https://twitter.com/jolichapeau/status/1344672875710615553
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-01-03T06:37:29.000Z,あけましておめでとうございます。お元気で。,,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1345620279771455488
Verkyz.,@Verkyzen,2021-03-25T11:53:05.000Z,"kisssssss

#半妖の夜叉姫   #理とわ #ritowa #rikowa #Yashahime",,,11,62,390,['https://pbs.twimg.com/media/ExUrczmVEAQ09Dm?format=jpg&name=small'],https://twitter.com/Verkyzen/status/1375053117058818054
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-04-02T14:45:01.000Z,Wow,,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1377995490025824256
古谷敏,@18Amagi,2021-05-24T00:37:07.000Z,"おはよう御座います。
本日販売予定と思いますが
ウルトラ特撮マガジン
古谷敏特別インタビューが掲載されてます。興味ある方はぜひ見てください。
#ウルトラマン#ウルトラセブンアマギ#ビンフルヤ#夢少年",,,21,346,1.4K,"['https://pbs.twimg.com/media/E2HQMYdVcAAAlYn?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2HQMYdVgAAM_fc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E2HQMamUYAA6xF0?format=jpg&name=360x360']",https://twitter.com/18Amagi/status/1396626280221605888
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-06-06T01:17:26.000Z,いつの時代もウルトラマンが好きです。,,,,,1,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1401347468298706944
高橋留美子情報,@rumicworld1010,2021-06-02T03:00:00.000Z,Twitterを開設して1日が経ちました。多くの方々に遊びに来て頂き、感謝の気持ちでいっぱいです。ここで、最近先生が描いたサイン色紙をアップします。青山剛昌先生は響子さんがお好きなようです。かわりに高橋先生は灰原哀ちゃんのサインをもらって大満足な様子でした。,,,408,19.5K,98.5K,['https://pbs.twimg.com/media/E21XqfPVkAEjlSH?format=jpg&name=small'],https://twitter.com/rumicworld1010/status/1399923727270223876
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-06-05T01:33:19.000Z,哇⊙∀⊙！,,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1400989074807087105
ひし美ゆり子,@ANNEinfinity,2021-05-31T06:02:54.000Z,イメージ壊してゴメーンテレビでワクチン接種の映像が映るたびに、目を背ける私デス・・・先端恐怖症なので(*^^*),,❗,40,139,1.1K,['https://pbs.twimg.com/media/E2sd4znVcAQuVNc?format=jpg&name=small'],https://twitter.com/ANNEinfinity/status/1399244979248058374
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-06-05T01:43:01.000Z,子供の時、注射をするのを見てびっくりして泣きました。,,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1400991518203125763
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-10T07:46:09.000Z,乱马1/2里的乱子（女乱马）巫女服.ver,,,,,1,"['https://pbs.twimg.com/media/E8aeZM8WYA8ieh3?format=jpg&name=small', 'https://pbs.twimg.com/media/E8aeZ73WYBQzlZB?format=jpg&name=small']",https://twitter.com/1MWk7NNZ1MZiGMY/status/1425000503767883805
山口勝平@『宇宙なんちゃらこてつくん』4/7放送開始,山口勝平@『宇宙なんちゃらこてつくん』4/7放送開始,2021-07-31T05:11:17.000Z,"2回目のワクチンうってきました〜♪
1回目よりちょっと痛かった^^",,❗ 💦,63,233,4.3K,['https://pbs.twimg.com/media/E7mbDY-VEAIcfFL?format=jpg&name=small'],https://twitter.com/ENma_Dororon/status/1421337651479605251
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-07-31T06:21:11.000Z,若い頃は注射が怖くて、注射を見て泣きましたが、今はあえて注射を見ることはありません。,,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1421355238930456578
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-08T13:51:33.000Z,"Replying to 
@18Amagi",ウルトラマンvsゴジラ,,,,1,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1424367682883923970
高峰圭二,@qjbJaTPk8u26S0a,2021-08-04T00:36:12.000Z,アマゾンで売れてるらしい,,,19,120,688,['https://pbs.twimg.com/media/E76Cc7KVoAIUJZ5?format=jpg&name=900x900'],https://twitter.com/qjbJaTPk8u26S0a/status/1422717972661948424
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-05T00:11:07.000Z,ウルトラマンAは以前中国で放送されたことがありますが、1990年代に平成のウルトラマンティガが中国で人気がありました。,,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1423074049052352515
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-07-31T06:18:19.000Z,"Replying to 
@rumicworld1010",哇⊙∀⊙！这么多！,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1421354519317946374
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-08T13:48:58.000Z,"Replying to 
@qjbJaTPk8u26S0a",好想尝一口！,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1424367030585765895
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-10T06:25:42.000Z,"Replying to 
@ENma_Dororon",「スターウォーズ」を見たことがありますか？,,1,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1424980256990113794
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-14T00:45:02.000Z,中国队2022卡塔尔世界杯预选赛12强赛的集训名单,,,,,,['https://pbs.twimg.com/media/E8tkYOmVgAYSZTP?format=jpg&name=small'],https://twitter.com/1MWk7NNZ1MZiGMY/status/1426344077008670726
高峰圭二,@qjbJaTPk8u26S0a,2021-08-18T01:19:31.000Z,"Replying to 
@qjbJaTPk8u26S0a",いろんなご意見有り難う。僕なりの歴史観ありますが最低限どうやったら日本の安全を軍国化しないで守れるか?近隣国の国民と共有出来るか?僕は中国のファンとの交流も少しはと思うのですが!,🍀,98,59,569,[],https://twitter.com/qjbJaTPk8u26S0a/status/1427802307094138885
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-19T01:30:06.000Z,ウルトラマンエースの最後のエピソードの終わりにあなたが言ったこと、あなたはそれをします！,,,,,,['https://pbs.twimg.com/media/E9Heo6xVUAQVwso?format=jpg&name=small'],https://twitter.com/1MWk7NNZ1MZiGMY/status/1428167357562765313
龙与凤凰,@1MWk7NNZ1MZiGMY,2021-08-14T00:55:31.000Z,"Replying to 
@ENma_Dororon",你可以看1986年版的《西游记》和《西游记续集》是中国拍摄的电视剧，西游记续集是在2000年播出。,,,,,[],https://twitter.com/1MWk7NNZ1MZiGMY/status/1426346713808216069
