UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
هاوية,@90s_veteran,2021-06-29T18:36:46.000Z,"Replying to 
@saramakeuptips",FENTY retro rose lipstick ,🌱 🥰,,,3,['https://pbs.twimg.com/media/E5EgiMrX0AAmrFo?format=jpg&name=small'],https://twitter.com/90s_veteran/status/1409943943014498305
هاوية,@90s_veteran,2021-06-29T19:26:23.000Z,"الله! مبطيه لي كم لي سنه ماشفت فلم ابهرني...شكراً اسبانيا على هالفيلم الجميل.
#the_invisible_guest",,🌱,,,,['https://pbs.twimg.com/media/E5Er5BmWYAcYnnw?format=jpg&name=900x900'],https://twitter.com/90s_veteran/status/1409956430623477763
هاوية,@90s_veteran,2021-06-29T17:15:59.000Z,"نحن نحن التوأمان 

#خورازميات_سعودية",,🌱 😃,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1409923300256534533/pu/img/7kR5jRCskizM4Xvh.jpg'],https://twitter.com/90s_veteran/status/1409923612774219778
هاوية,@90s_veteran,2021-06-29T15:41:02.000Z,"غرفة احلامي 

#ارتفاع",,🌱 ❤,,,,['https://pbs.twimg.com/media/E5D4UN3XMAE6zZu?format=jpg&name=small'],https://twitter.com/90s_veteran/status/1409899718419927041
شبكة رصد,@RassdNewsN,2021-06-29T12:30:05.000Z,مركز الأزهر العالمي للفتوى يحذر من لعبة #فورتنايت «Fortnite» لما احتوت عليه من تجسيد لهدم الكعبة الشريفة؛ بهدف الحصول على امتيازات داخل اللعبة، معتبرا أن هذا الأمر يؤثر بشكل مباشر على عقيدة المسلمين,,,199,903,2.6K,['https://pbs.twimg.com/media/E5DMnrpXMAcsBo8?format=jpg&name=small'],https://twitter.com/RassdNewsN/status/1409851666871078912
هاوية,@90s_veteran,2021-06-29T17:28:57.000Z,تفشي الجهل في المسلمين وتصديقهم لاي اشاعه بدون تثبت محزن,,🌱,,,,[],https://twitter.com/90s_veteran/status/1409926875997159425
هوميروس,@SHE5WN6ON,2021-06-29T18:18:38.000Z,الأسبوع الماضي كان أسبوع قاسي على المواطنين في العاصمة الروسية موسكو، حيث وصلت درجات الحرارة الى منتصف الثلاثينات وهذه أرقام قياسية، وهي المرة الأولى منذ اكثر من 100 عام، حيث قال المواطنين الأجواء في حالة غليان.,,,107,214,549,"['https://pbs.twimg.com/media/E5EcYLAXoAMjanj?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5EcY7gXEAghI-Y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5EcYb5WYAkB4Lp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E5EcZRQWUAQUjwr?format=jpg&name=360x360']",https://twitter.com/SHE5WN6ON/status/1409939381121605632
هاوية,@90s_veteran,2021-06-29T18:50:33.000Z, زاد صبغه المينا عندهم عاطله باطله,,🌱 😂 😂,,,,[],https://twitter.com/90s_veteran/status/1409947411062132736
هاوية,@90s_veteran,2021-06-29T13:00:08.000Z,"Replying to 
@QNNNA
 and 
@mobher6", سم بالله,🌱 😂 😂,,,,[],https://twitter.com/90s_veteran/status/1409859229079511043
.,@i59kl,2021-06-29T17:33:14.000Z,"Replying to 
@xziif2",التوت البري اطلق موهيتو ذقته للحين,,3,,6,['https://pbs.twimg.com/media/E5ER_2dXwBAMgli?format=jpg&name=small'],https://twitter.com/i59kl/status/1409927956806393866
هاوية,@90s_veteran,2021-06-29T17:48:41.000Z,التوت لذيذ ، بس بعضها حموضتها كأنها اسيد,,🌱,,,,[],https://twitter.com/90s_veteran/status/1409931842220920832
هاوية,@90s_veteran,2021-06-29T18:52:58.000Z,"Replying to 
@Netflixforuu
 and 
@rNetfIix",للاسف ماعاد اتقبل شي عن الفمبايرز .. ,🌱 🙂 💔,,,,[],https://twitter.com/90s_veteran/status/1409948020079222784
هاوية,@90s_veteran,2021-06-29T17:47:45.000Z,"Replying to 
@styleinour",طهور ، ماقدامك العافية,🌱,1,,,[],https://twitter.com/90s_veteran/status/1409931611051806728
هاوية,@90s_veteran,2021-07-06T12:44:25.000Z,True,,🌱,,,,['https://pbs.twimg.com/media/E5nTBFBWUAE6rV9?format=jpg&name=900x900'],https://twitter.com/90s_veteran/status/1412391987681107976
هاوية,@90s_veteran,2021-07-06T07:42:03.000Z," صباح الخير
by : Yuliya Maslakova",,🌱 💜 🧡 🤎,,,1,['https://pbs.twimg.com/media/E5mNz-rWUAIYcfY?format=jpg&name=900x900'],https://twitter.com/90s_veteran/status/1412315892684365824
هاوية,@90s_veteran,2021-07-06T07:15:09.000Z,#doraemon  صديقنا عبقور,,🌱 ❤,,,,['https://pbs.twimg.com/ext_tw_video_thumb/1412309111816007684/pu/img/F9Zqk4-XWisbtSRL.jpg'],https://twitter.com/90s_veteran/status/1412309124487028739
هاوية,@90s_veteran,2021-06-30T05:32:08.000Z,العناد هو العلامة الفارقة لمستوى الغباء.,,🌱,,,,[],https://twitter.com/90s_veteran/status/1410108872879136768
"خلود ""احتياط""",@al3qeeLk,2021-07-05T08:37:54.000Z,أقدّم اعتذاري لكل الثلاثينيين اللي اعتبرتهم كبار لما كان عمري 18 ,,🙂,48,102,180,[],https://twitter.com/al3qeeLk/status/1411967560896159744
طبخات,@6bKaaT,2021-07-05T23:02:29.000Z,تسد جوعك أخر الليل,"From 
طبخه",,69,526,3.8K,['https://pbs.twimg.com/ext_tw_video_thumb/1410045642462875648/pu/img/PET-W4D-oAUyXS5c.jpg'],https://twitter.com/6bKaaT/status/1412185139954827264
هاوية,@90s_veteran,2021-07-06T12:48:44.000Z,احذر اخي المسلم ,,🌱 ❤,,,,['https://pbs.twimg.com/media/E5nUAqfWYAIgkKN?format=jpg&name=small'],https://twitter.com/90s_veteran/status/1412393075180191744
ليالي |,@i_ll122,2021-07-06T06:27:17.000Z,"Replying to 
@90s_veteran
 @b4raa20
 and 
@Juiiill",,😭 😭 😭 😭 😭 😭 😭 😭,1,,,[],https://twitter.com/i_ll122/status/1412297080777871360
هاوية,@90s_veteran,2021-07-06T06:48:35.000Z,,,🌱 😭 😭 😭 😭 😭 😭 😭,,,,[],https://twitter.com/90s_veteran/status/1412302437948534784
شوق I كود ايهيرب AUA5190,@shouq_beauty,2021-07-05T16:48:40.000Z,اخر رقمين من رقم جوالك على ايش يدل,,,719,193,128,['https://pbs.twimg.com/media/E5jBV0iXIAYygAK?format=jpg&name=900x900'],https://twitter.com/shouq_beauty/status/1412091069379100673
هاوية,@90s_veteran,2021-07-06T11:35:53.000Z,سفر وحب ,,🌱 🤭 ❤,,,,[],https://twitter.com/90s_veteran/status/1412374739008491520
هاوية,@90s_veteran,2021-07-06T05:51:31.000Z,"Replying to 
@Ssalwafashion",يعني زود على انه فوشي .. ساتان  قميص مو عبايه,🌱 🤭,,,,[],https://twitter.com/90s_veteran/status/1412288077037506560
بدر M17,@bit181,2021-07-05T21:29:28.000Z,في اي سنة تابعت ون بيس ؟ انا اتوقع نهاية ٢٠١٥,,,285,44,46,[],https://twitter.com/bit181/status/1412161731581841411
هاوية,@90s_veteran,2021-07-06T05:38:19.000Z, ٢٠٠٨ اظن,,🌱 😂 😂,,,,[],https://twitter.com/90s_veteran/status/1412284754678984705
طيف,@Taefqlp,2021-07-05T21:32:00.000Z,النباتيين وربي يضحكون,,😭 😭 😭,415,398,1.3K,['https://pbs.twimg.com/ext_tw_video_thumb/1412162202673594373/pu/img/8fAUXYqlcVvOsG-B.jpg'],https://twitter.com/Taefqlp/status/1412162371188105221
هاوية,@90s_veteran,2021-07-06T06:19:59.000Z,النباتيين ديكتاتوريين ,,🌱 😂,,,,[],https://twitter.com/90s_veteran/status/1412295242234187778
مُعاذ,@mI2re,2021-07-06T01:01:26.000Z,ما أعتقد فيه شخص أروق مني ، مع هالفجر متوجهه الى البحر لكي القي بعض همومي وأستلقي، وش تسوي انت/ي ؟,,,131,2,63,[],https://twitter.com/mI2re/status/1412215076292018178
هاوية,@90s_veteran,2021-07-06T07:03:01.000Z,اتجهز لاروح الدوام ,,🌱 😃,,,,[],https://twitter.com/90s_veteran/status/1412306071276900353
هاوية,@90s_veteran,2021-07-06T20:27:10.000Z,"Replying to 
@Qiinze",الغلط ابلغ من الصح ,🌱 😬,,,,[],https://twitter.com/90s_veteran/status/1412508443135594500
هاوية,@90s_veteran,2021-07-06T06:20:56.000Z,"Replying to 
@shorog_5",,🌱 😂 😂,,,,[],https://twitter.com/90s_veteran/status/1412295482395746304
اوس,@sherIook,2021-07-05T17:59:51.000Z,يعني ابن امه اللي ياخذه,,,274,60,677,['https://pbs.twimg.com/media/E5jRolaXMAMkVnc?format=jpg&name=small'],https://twitter.com/sherIook/status/1412108982886543366
هاوية,@90s_veteran,2021-07-06T06:52:27.000Z,ماش ما اقتنعت ..عشان كذا ماراح اشتريها ,,🌱 😌,,,,[],https://twitter.com/90s_veteran/status/1412303411584933891
