UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
تاريخ آل سعود Alsaud History,@Alsaud_History,2021-01-30T19:16:41.000Z,"إنا لله وإنا إليه راجعون... 
انتقل الى رحمه الله الأمير #تركي_بن_ناصر_بن_عبدالعزيز، خالص العزاء والمواساة لذويه، ونسأل المولى تعالى أن يغفر له وأن يرحمه وأن يسكنه فسيح جناته وأن يلهم أهله الصبر والسلوان.
#تركي_بن_ناصر_في_ذمه_الله",,,205,473,488,['https://pbs.twimg.com/media/EtALM2SW4AULlGM?format=jpg&name=small'],https://twitter.com/Alsaud_History/status/1355595809685987333
Abdullah Alobaidellah,@AboMohammed77,2021-01-30T19:56:05.000Z,اللهم اغفر له وارحمه وأسكنه فسيح جنّاتك إنّا لله وإنّا إليه راجعون. عظم الله اجركم,,,,1,1,[],https://twitter.com/AboMohammed77/status/1355605723875602433
مقاهي الدمام والخبر 40k,@Cafes013,2021-01-11T14:58:13.000Z,توفي والدي هذا اليوم دعواتكم له,,,25,3,5,['https://pbs.twimg.com/media/ErdZ1msW4AENT0U?format=jpg&name=small'],https://twitter.com/Cafes013/status/1348645394134265857
Abdullah Alobaidellah,@AboMohammed77,2021-01-11T16:28:02.000Z,إنا لله وإنا إليه راجعون، أحسن الله عزاءك وعظم الله أجرك وغفر الله لميتكم,,,,,,[],https://twitter.com/AboMohammed77/status/1348667997481807873
طارق بن محمد العودة,@Tariq_Alouda,2021-01-23T07:58:12.000Z,"#العم_عبدالله_ال_حاني_في_ذمة_الله

إنتقل الى رحمه الله العم (عبدالله حمدان ال حاني) في #رحيمة أحد ركائز #قرية_بني_سعد_في_الباحة 
من #رواد_أرامكو تميز بالكرم وطيب الأخلاق نعزي أنفسنا أولاً ثم نعزي عائلته الكريمة وحميع اقاربه وأهالي قريتي #بني_سعد وداعاً ابا محمد الملتقى الجنة.",,,18,29,14,['https://pbs.twimg.com/media/EsZsw_aXYAEs1Qw?format=jpg&name=medium'],https://twitter.com/Tariq_Alouda/status/1352888349623808000
Abdullah Alobaidellah,@AboMohammed77,2021-01-24T19:07:03.000Z,"انا لله وانا اليه راجعون 
اسال الله العلي القدير ان يغفر له ويرحمه ويدخله فسيح جناتة وان يلهم اهله الصبر والسلوان",,,,,1,[],https://twitter.com/AboMohammed77/status/1353419059728060418
واس الأخبار الملكية,@spagov,2021-01-03T14:26:13.000Z,"#الديوان_الملكي: وفاة الأمير خالد بن فيصل بن سعد الأول بن عبدالرحمن آل سعود - رحمه الله -. 
http://spa.gov.sa/2174649
#واس",,,114,211,278,['https://pbs.twimg.com/media/Eq0Fm-GXcAAXLHo?format=jpg&name=small'],https://twitter.com/spagov/status/1345738241195040769
Abdullah Alobaidellah,@AboMohammed77,2021-01-03T15:17:02.000Z,انا لله وانا اليه راجعون. الله يغفرله ويرحمه ويسكنه فسيح جناته. اللهم يمن كتابه ويسر حسابه، اللهم ابدله بدار خير من داره واهل خير من اهله وثبته عند السوال,,,,,,[],https://twitter.com/AboMohammed77/status/1345751028294156291
هادي العبدالله Hadi,@HadiAlabdallah,2021-01-31T00:11:49.000Z,"عواصف ورياح قوية وأمطار غزيرة في هذه اللحظات بمناطق الشمال السوري! 

يارب رحمتك بأهلنا في الخيام يارب..

ارحم ضعفهم واجبر كسرهم وأمّن خوفهم واحفظهم وأطفالهم من كل سوء وشر يارب!

#سوريا #ادلب",,,76,193,1.2K,[],https://twitter.com/HadiAlabdallah/status/1355670084170244098
Abdullah Alobaidellah,@AboMohammed77,2021-01-31T13:04:12.000Z,امين يا رب العالمين,,,,,,[],https://twitter.com/AboMohammed77/status/1355864457407246336
