UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dude with a cat,@AidenMc47018731,2021-04-28T11:32:25.000Z,Laser cat,,,,,2,['https://pbs.twimg.com/media/E0Ds2NQWUAAcH7a?format=jpg&name=small'],https://twitter.com/AidenMc47018731/status/1387369103678181376
Dude with a cat,@AidenMc47018731,2021-04-28T11:30:27.000Z,Hm good food,,,,,1,['https://pbs.twimg.com/media/E0DsZiCXEAECIDl?format=jpg&name=small'],https://twitter.com/AidenMc47018731/status/1387368612378329090
Dude with a cat,@AidenMc47018731,2021-05-27T23:08:07.000Z,"Lol shenanigans with the teachers, don't mind the jump cuts","0:49
4 views",,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1398053304932970496/pu/img/PHbdraD5sdr_lOOm.jpg'],https://twitter.com/AidenMc47018731/status/1398053431869313026
Dude with a cat,@AidenMc47018731,2021-05-27T19:50:12.000Z,Lol me 2 years ago ..,,,,,1,['https://pbs.twimg.com/media/E2a04xQWQAMhnxW?format=jpg&name=small'],https://twitter.com/AidenMc47018731/status/1398003623314038791
Dude with a cat,@AidenMc47018731,2021-05-29T01:48:39.000Z,Guess hwta this is,,,,,,['https://pbs.twimg.com/media/E2hQhWoXMAIVQI2?format=jpg&name=small'],https://twitter.com/AidenMc47018731/status/1398456220575481860
Dude with a cat,@AidenMc47018731,2021-05-27T14:26:22.000Z,It's pronounced gif,GIF,,,,1,['https://pbs.twimg.com/tweet_video_thumb/E2Zqw51UcAQOSsO.jpg'],https://twitter.com/AidenMc47018731/status/1397922129736175623
Dude with a cat,@AidenMc47018731,2021-05-29T14:52:24.000Z,"@Bojangles
 You need to start selling 16 ounce bottle of your honey mustard. Idk what's about it that's so good but like",,,,,,[],https://twitter.com/AidenMc47018731/status/1398653457524002817
The Jazzman,@testifyjazzman,2021-05-27T19:18:32.000Z,"Replying to 
@Bojangles",Thats easy: The four-pack that contains all of them.,,1,,6,[],https://twitter.com/testifyjazzman/status/1397995656531283969
Dude with a cat,@AidenMc47018731,2021-05-27T19:25:35.000Z,Big brain,,,,,5,[],https://twitter.com/AidenMc47018731/status/1397997429442682886
Dude with a cat,@AidenMc47018731,2021-05-29T14:50:18.000Z,"Replying to 
@abradolflinclar
 and 
@Bojangles",Lol I wish.,,,,,[],https://twitter.com/AidenMc47018731/status/1398652927498145793
Bojangles,@Bojangles,2021-05-27T19:15:34.000Z,One stays forever. ,,🤔,54,31,84,['https://pbs.twimg.com/media/E2arH3lXoAAoHq8?format=jpg&name=small'],https://twitter.com/Bojangles/status/1397994907999088641
Dude with a cat,@AidenMc47018731,2021-05-27T19:17:37.000Z,"Honey mustard 100%. It's flavorful, sweet, a little bitter and the nicest consistency. I say it's better than 
@ChickfilA
 sauces.",,,,,3,[],https://twitter.com/AidenMc47018731/status/1397995427128135682
Tyler Murphy,@heyitsTMurph,2021-05-27T19:20:16.000Z,"Replying to 
@Bojangles",Honey mustard without question. It should come as a beverage option honestly.,,1,,4,[],https://twitter.com/heyitsTMurph/status/1397996093904932865
