UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Freedom,@Amandaconda00,2021-01-01T23:49:53.000Z,"Team Leave Me Malone. Thanks for the amazing show last night 
@PostMalone
 Perfect ending to a crazy year.  Practicing pong just in case I actually get to scratch meeting you off my bucket list one day.",,,,,,['https://pbs.twimg.com/media/EqrzoPWVoAEkpjI?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1345155313540898816
Freedom,@Amandaconda00,2021-01-27T00:58:04.000Z,"If 
@PostMalone
 doesn't stop being so cute I'm going to end up running off to be a roadie. And HE will have to explain it to my children.",,,,,,['https://pbs.twimg.com/media/Essy-z8VoAITNBg?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1354232169502109698
Freedom,@Amandaconda00,2021-01-27T13:00:01.000Z,"My favorite 
@PostMalone
 look so far. Are you checking ""Abs like Abercrombie Fitch"" off your bucket list? Asking for myself.",,,,,,['https://pbs.twimg.com/media/EsvYOKuVEAg7Cag?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1354413853006721024
Rich Post,@rriproarin,2021-01-27T03:05:14.000Z,"It’ll be a 
@MonsterEnergy
 2021!","Monster Energy
@MonsterEnergy
 · Jan 27
.@PostMalone x @MonsterEnergy – 2021!",,30,33,555,"['https://pbs.twimg.com/profile_images/877683474563387392/HqyYYMfX_mini.jpg', 'https://pbs.twimg.com/media/Essk-rUU0AMwHO6?format=jpg&name=small']",https://twitter.com/rriproarin/status/1354264175023820800
Freedom,@Amandaconda00,2021-01-27T13:02:42.000Z,"My favorite look so far. It looks like he may be checking ""Abs like Abercrombie Fitch"" off his bucket list? Asking for myself.",,,,,,[],https://twitter.com/Amandaconda00/status/1354414528662917124
Freedom,@Amandaconda00,2021-03-01T23:57:12.000Z,MARCH!!! I'm just checking out my gainzzzz. My disability is SO much easier to manage in warmer temps. 22 pounds of muscle gained back over the past few months!! After 5 years of rotating hospital beds and restricted activity I wake up everyday like I'm in a dream...,,,1,,,['https://pbs.twimg.com/media/EvbrGwkU4AEO2XI?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1366538041158819846
Freedom,@Amandaconda00,2021-02-25T15:49:54.000Z,"My first bikini of the 2021 season is 
@PostMalone
 inspired.",,,,,,['https://pbs.twimg.com/media/EvFVNlvXMAALlc2?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1364965856632070153
Rich Post,@rriproarin,2021-02-22T21:11:37.000Z,"My weekend was full of new friends and new adventures. 

How was yours?",,,61,17,775,"['https://pbs.twimg.com/media/Eu3CEfkVEAMX98F?format=jpg&name=small', 'https://pbs.twimg.com/media/Eu3CEfkVIAYe05L?format=jpg&name=360x360']",https://twitter.com/rriproarin/status/1363959656377315328
Freedom,@Amandaconda00,2021-02-25T15:58:08.000Z,ET phone home,,,,,,[],https://twitter.com/Amandaconda00/status/1364967925887602690
Rich Post,@rriproarin,2021-02-20T23:14:25.000Z,"Netflix execs: we’re running out of good programming. 

Absolutely no one:

Netflix execs: we are scraping the bottom of the barrel. 

Again, absolutely no one:

Netflix execs: let’s give them The Crew. 

Absolutely everyone:",GIF,,13,3,110,['https://pbs.twimg.com/tweet_video_thumb/EutK_1kVIAAQaBC.jpg'],https://twitter.com/rriproarin/status/1363265783220948994
Freedom,@Amandaconda00,2021-02-27T16:07:57.000Z,I was also offended,,,,,,[],https://twitter.com/Amandaconda00/status/1365695172084858880
Freedom,@Amandaconda00,2021-03-05T21:10:10.000Z,"I was told I'd be on fentanyl and palliative care for the rest of my life. I said,  ""Watch Me."" #disabledveteran #chronicillness #chronicpain #spineinjury",,,,,1,['https://pbs.twimg.com/media/EvvrO8OVcAIQ_ha?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1367945555595337728
Freedom,@Amandaconda00,2021-03-16T16:22:48.000Z,I don't chase; I attract. What is meant for me will find me. #dailyaffirmation #attractdontchase,,,,,,[],https://twitter.com/Amandaconda00/status/1371859506674638850
Freedom,@Amandaconda00,2021-03-16T12:26:04.000Z,I keep trying to tell everyone they just need a little Posty in their lives. #takeahitofposty,"E! News
@enews
 · Mar 15
Post Malone is all of us watching ""WAP"" at the #Grammys. https://eonli.ne/3eGR7JS
GIF",,,,,"['https://pbs.twimg.com/profile_images/1303834216187047936/HL6Gotwt_mini.jpg', 'https://pbs.twimg.com/tweet_video_thumb/EwiD8hzXAAAYLhQ.jpg']",https://twitter.com/Amandaconda00/status/1371799929719386118
Freedom,@Amandaconda00,2021-03-12T21:30:03.000Z,Deciding which category to compete in and I think bikini is my best bet. I want to represent disabled women veterans and hopefully inspire and motivate my sisters and brothers in arms. A lot of work ahead but that's never scared me. #veteranshelpingveterans #fightthewarinsideyou,,,,,,"['https://pbs.twimg.com/media/EwTy6QtVEAE7qyE?format=jpg&name=small', 'https://pbs.twimg.com/media/EwTy6ZBVEAEhpCm?format=jpg&name=small']",https://twitter.com/Amandaconda00/status/1370487274400403456
Freedom,@Amandaconda00,2021-03-02T00:15:32.000Z,There is no use wasting time living in fear of reinjury because nothing is guaranteed and none of us are getting out of here alive. #disabledveteran #veteranshelpingveterans #bikiniseason #sunshine #heresummersummersummer,,,,,,[],https://twitter.com/Amandaconda00/status/1366542653051990018
Freedom,@Amandaconda00,2021-03-16T15:05:20.000Z,I love them and I was raised off WWE and WCW so I sometimes become a tag team partner depending on who's winning.,,,,,1,['https://pbs.twimg.com/media/EwnBN6xXIAErY31?format=jpg&name=small'],https://twitter.com/Amandaconda00/status/1371840008785690647
Rich Post,@rriproarin,2021-02-25T21:22:01.000Z,"Is “Be Blessed” the new “Just sayin’”?

Or is it bookend of a sentence that begins with “With all due respect”

I can’t tell in this passive/aggressive world of anti-social media. 

Either way, I don’t really feel like the person saying it really wants me to be blessed.",,,22,6,181,[],https://twitter.com/rriproarin/status/1365049433843404802
Freedom,@Amandaconda00,2021-03-02T14:52:10.000Z,"Don't get me started with the ""be blessed"" crowd",,,,,1,[],https://twitter.com/Amandaconda00/status/1366763265489924102
Rich Post,@rriproarin,2021-03-11T18:03:08.000Z,Get your popcorn ready!,"Exclusive: Guy Ritchie's New Jason Statham Movie 'Wrath of Man' Sets Release Date
Guy Ritchie's heist movie Wrath of Man will hit theaters on April 23. Jason Statham stars alongside Josh Hartnett, Scott Eastwood and Post Malone.
collider.com",,41,44,265,['https://pbs.twimg.com/card_img/1431366599668219904/pfsu7Qts?format=jpg&name=small'],https://twitter.com/rriproarin/status/1370072816578535429
Freedom,@Amandaconda00,2021-03-12T14:14:48.000Z,Fantastic cast,,,,,,[],https://twitter.com/Amandaconda00/status/1370377742890323968
Rich Post,@rriproarin,2021-03-14T23:41:00.000Z,What’s everyone up to this evening? Anything exciting?,,,123,11,337,[],https://twitter.com/rriproarin/status/1371245003557642244
Freedom,@Amandaconda00,2021-03-16T12:13:51.000Z,He gets better every year. The best gift anyone going through unprecedented times can ask for.,,,,,,[],https://twitter.com/Amandaconda00/status/1371796854854225920
Freedom,@Amandaconda00,2021-03-16T14:10:50.000Z,"I'm watching these 
@BachelorABC
 women talk to the bachelor's mom. I would have one thing to say, ""I am not afraid of jail or hell. If you hurt my son I will hurt you."" Love from an Army mom",,,,,,[],https://twitter.com/Amandaconda00/status/1371826294640418821
Freedom,@Amandaconda00,2021-03-02T18:44:51.000Z,"Holyfield is 
@PostMalone
 most underrated song. I discovered it a few weeks ago and listen to it a few times a day. The opening lyrics get me everytime ",,😍,,,,[],https://twitter.com/Amandaconda00/status/1366821823342514176
