UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Global Child Forum,@GCForum,2021-04-21T09:32:39.000Z,Is your #business  ready to focus on what’s most relevant? Give us 15-minutes and we’ll give you a deeper understanding of how your company impacts children and help you identify your key focus areas. Check out #theMagnifier https://bit.ly/2OA1Db7,,,34,173,1.7K,['https://pbs.twimg.com/media/EzfMy76XEAIUlyx?format=jpg&name=small'],https://twitter.com/GCForum/status/1384802249751269376
Amritroychoudhury,@Amritroychoudh1,2021-04-22T17:02:46.000Z,"Need Support to Help Poor Children & Student,Assam,Jorhat 785101 India",,,,1,6,[],https://twitter.com/Amritroychoudh1/status/1385277912048226304
Mithun Chakraborty,@mithunda_off,2021-04-13T09:49:53.000Z,"Our real goal is to rebuild West Bengal into Sonar Bangla. West Bengal which was renowned by its Great Men, and not by tyrant politicians. We want BJP.
#BanglayEbarBJPAsche",,,132,1.7K,7.9K,[],https://twitter.com/mithunda_off/status/1381907484911144966
Amritroychoudhury,@Amritroychoudh1,2021-04-16T18:26:49.000Z,BJP Sarkar Hobe+Sonar BanglA Hobe 2021AK Choudhury BJPAssaM,,🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1383124738180935680
Amritroychoudhury,@Amritroychoudh1,2021-04-16T18:26:49.000Z,"@mithunda_off
 BJP Jindabad",,🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1383124738176806912
Amritroychoudhury,@Amritroychoudh1,2021-05-16T14:27:28.000Z,"@CMOfficeAssam
 we are Very Very Lucky that we find a Very Hard Working  & All Rounder CMAll the Best",,🙏 🕉 ✍,,,1,[],https://twitter.com/Amritroychoudh1/status/1393936140294492167
Amritroychoudhury,@Amritroychoudh1,2021-05-10T17:32:11.000Z,"@BJP4Assam
 Today a Historic & a Golden Day for people of AssamBJP Long LiveJay MAMA JEOur SUPER CM",,🙏 ✴ 🕉 🙏,,,1,[],https://twitter.com/Amritroychoudh1/status/1391808297922035716
Amritroychoudhury,@Amritroychoudh1,2021-05-01T04:59:26.000Z,"Replying to 
@COVIDNewsByMIB
 @MoHFW_INDIA
 and 9 others",Very Good Advice ,🙏,,,1,[],https://twitter.com/Amritroychoudh1/status/1388357369898303490
Amritroychoudhury,@Amritroychoudh1,2021-05-30T12:05:27.000Z,"Replying to 
@smritiirani
 and 
@narendramodi",We are Proud of this LOCO Pilot ,👍 🙏 🙏 🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1398973830140370946
Amritroychoudhury,@Amritroychoudh1,2021-06-28T16:13:22.000Z,"Replying to 
@News18Northeast",Hot & CoolModi jee Sold Tea & You Sold ICE  Creemboth are Great  for Public Service ,🙏 🙏 ✍,,,,[],https://twitter.com/Amritroychoudh1/status/1409545466816077831
Dhrubajyoti Das,@DxDhrubajyoti,2021-06-18T08:32:35.000Z,"#Struggle...
No Idea From Where He Is...?",,😑 😑,1,,16,['https://pbs.twimg.com/media/E4JswuDUcAMryXk?format=jpg&name=900x900'],https://twitter.com/DxDhrubajyoti/status/1405805628736491527
Amritroychoudhury,@Amritroychoudh1,2021-06-28T17:03:11.000Z,He may Modi jee one day  God Help this boy for nice Education ,,🙏 👍 🕉 🙏,,,1,[],https://twitter.com/Amritroychoudh1/status/1409558007151620097
Amritroychoudhury,@Amritroychoudh1,2021-06-28T18:26:38.000Z,"Replying to 
@barman_mnkshi",Mother is always Great  She given us 24Hrs Free Services for all our Needs,🙏 🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1409579004865093636
Sleeping,@urbanXpunjabi,2021-06-28T05:21:25.000Z,"there was a half eaten mango in garden for the last two days, was curious who’s eating this & today saw cute lil squirrel is eating it everyday ",GIF,🚩 🚜 🐿,7,2,16,['https://pbs.twimg.com/tweet_video_thumb/E48g6J9VoAM47a_.jpg'],https://twitter.com/urbanXpunjabi/status/1409381401573531654
Amritroychoudhury,@Amritroychoudh1,2021-06-28T09:25:53.000Z,Nice & Lovely ,,🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1409442920839585801
Kelly Flanagan Wildlife Photos,@KFlanaganphotos,2021-06-27T15:09:08.000Z,Beautiful wings up and ready for takeoff. Great Blue Heron #nature #wildlifephotography,,,76,402,3.6K,['https://pbs.twimg.com/media/E45d18kXMAYY_DI?format=jpg&name=900x900'],https://twitter.com/KFlanaganphotos/status/1409166917240119300
Amritroychoudhury,@Amritroychoudh1,2021-06-28T18:05:59.000Z,"Replying to 
@barman_mnkshi",Books are Good Friends  Knowledge Bank  Knowledge is Power ,✍ 🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1409573809988931584
Amritroychoudhury,@Amritroychoudh1,2021-06-28T09:02:50.000Z,"Replying to 
@punpunjabi
 and 
@ammy_sethi",Nice  Mem,🙏,,,1,[],https://twitter.com/Amritroychoudh1/status/1409437121388040192
Amritroychoudhury,@Amritroychoudh1,2021-06-28T18:11:07.000Z,"Replying to 
@barman_mnkshi",Nice Advice  Mem,🙏,,,,[],https://twitter.com/Amritroychoudh1/status/1409575101868044289
