UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Adopt Me News!,@AdoptMeNews_,2021-02-03T17:55:40.000Z,"Which part of the Lunar update do you like best?

RT for the pets! (OX, Lion)
LIKE for the house!
COMMENT for anything else!","0:48
2.6K views",🔁 ❤ 💬,93,119,382,['https://pbs.twimg.com/ext_tw_video_thumb/1357024826553204737/pu/img/E3D1eyhXJZdIg2V0.jpg'],https://twitter.com/AdoptMeNews_/status/1357024971097260033
Amy Ho,@AmyHo26404100,2021-02-04T14:19:12.000Z,Everything,,,,,,[],https://twitter.com/AmyHo26404100/status/1357332886211473408
Adopt Me!,@PlayAdoptMe,2021-02-18T15:05:07.000Z,HAPPY UPDATE DAYYYYY ,,🍎,2K,420,11.4K,[],https://twitter.com/PlayAdoptMe/status/1362417870613929985
Amy Ho,@AmyHo26404100,2021-02-18T15:06:03.000Z,Yassss so excited,,,,,,[],https://twitter.com/AmyHo26404100/status/1362418104941346820
Adopt Me News!,@AdoptMeNews_,2021-02-04T12:39:43.000Z,POTD: What creatures in the OCEAN EGG would you like to see?,"Dolphin
62.7%
Turtle
12.9%
Whale
11.2%
Crab
13.2%
3,699 votes
·
Final results",,274,44,389,[],https://twitter.com/AdoptMeNews_/status/1357307847315517443
Amy Ho,@AmyHo26404100,2021-02-04T23:05:48.000Z,A dolphin and a seahorse,,,,,,[],https://twitter.com/AmyHo26404100/status/1357465407322521601
Adopt Me News!,@AdoptMeNews_,2021-02-03T17:55:40.000Z,"Which part of the Lunar update do you like best?

RT for the pets! (OX, Lion)
LIKE for the house!
COMMENT for anything else!","2.6K views
0:02 / 0:48",🔁 ❤ 💬,93,119,382,[],https://twitter.com/AdoptMeNews_/status/1357024971097260033
Adopt Me!,@PlayAdoptMe,2021-04-29T16:55:23.000Z,"Replying to 
@PlayAdoptMe","And finally, Scorpion pet?? ",🦂,376,86,2.1K,[],https://twitter.com/PlayAdoptMe/status/1387812771375599618
Amy Ho,@AmyHo26404100,2021-04-29T17:14:02.000Z,Can you add a butterfly pet,,,5,,10,[],https://twitter.com/AmyHo26404100/status/1387817464625606658
Adopt Me!,@PlayAdoptMe,2021-04-19T20:16:33.000Z,"New mini update coming tomorrow: Better Backpack!! 

Favorites!
Item stacking!
 New tooltip!",,🎒 ⭐ 🍎 ❔,1.1K,386,5.6K,['https://pbs.twimg.com/ext_tw_video_thumb/1384239026635370501/pu/img/QPNOw2vB8nSsuLkm.jpg'],https://twitter.com/PlayAdoptMe/status/1384239515187900417
Amy Ho,@AmyHo26404100,2021-04-19T20:22:14.000Z,Can y'all add a butterfly pet to the game,,,1,,1,[],https://twitter.com/AmyHo26404100/status/1384240948805136391
Adopt Me!,@PlayAdoptMe,2021-05-24T16:00:28.000Z,"Happy Monday!! Time for another Weekly News 

Upcoming sale and 2x Bucks, quick recap of the year so far, and your fanart!! 

https://youtu.be/CYfZQpUMbd0","0:32
37.3K views",🐈 😍 📺,395,107,2.4K,[],https://twitter.com/PlayAdoptMe/status/1396858648085897217
Amy Ho,@AmyHo26404100,2021-05-25T03:27:27.000Z,Can y'all please add a butterfly pet to the game,,,,,,[],https://twitter.com/AmyHo26404100/status/1397031533463080965
Adopt Me!,@PlayAdoptMe,2021-05-27T15:05:49.000Z," Spring Sale Week!  
 2x Bucks earning until Monday!
 25% off Pet Shop pets!
 Up to 60% off on Gamepasses!",,🌿 🌿 💸 🐼 🚗,377,167,3.1K,['https://pbs.twimg.com/media/E2Zp8o_UUAYF5Jv?format=jpg&name=small'],https://twitter.com/PlayAdoptMe/status/1397932057611968517
Amy Ho,@AmyHo26404100,2021-05-27T15:12:38.000Z,"Can y'all add a butterfly pet  like a diamond,golden, normal butterfly",,🦋,,,1,[],https://twitter.com/AmyHo26404100/status/1397933772620894215
Uplift Games,@UpliftGames,2021-05-11T16:05:00.000Z,"We're giving away 20 creator's Rainbow Rattles to celebrate the launch of Uplift Games!!  

Follow us and RT this to enter! We'll announce and contact 20 winners on Thursday ",,🦋 🦋 💕,5.3K,5K,6K,['https://pbs.twimg.com/ext_tw_video_thumb/1392135139828895744/pu/img/3H5m2UuheZHh0dbi.jpg'],https://twitter.com/UpliftGames/status/1392148745538658305
Adopt Me!,@PlayAdoptMe,2021-05-24T16:00:28.000Z,"Happy Monday!! Time for another Weekly News 

Upcoming sale and 2x Bucks, quick recap of the year so far, and your fanart!! 

https://youtu.be/CYfZQpUMbd0",,🐈 😍 📺,395,107,2.4K,['https://pbs.twimg.com/ext_tw_video_thumb/1396852437936443394/pu/img/m8BjIexwJgwHuHE0.jpg'],https://twitter.com/PlayAdoptMe/status/1396858648085897217
Amy Ho,@AmyHo26404100,2021-05-11T20:25:33.000Z,How do you enter,,,,,,[],https://twitter.com/AmyHo26404100/status/1392214315596386304
Adopt Me!,@PlayAdoptMe,2021-04-29T13:04:43.000Z,happy update day!!!! ,,🥰 🌸,985,325,8K,[],https://twitter.com/PlayAdoptMe/status/1387754719729393673
Amy Ho,@AmyHo26404100,2021-05-10T16:34:41.000Z,Can y'all add a butterfly pet,,,,,,[],https://twitter.com/AmyHo26404100/status/1391793827577479173
Adopt Me!,@PlayAdoptMe,2021-06-23T18:54:32.000Z,"We're launching a new type of server - the Test Lab! We'll be able to gather your feedback on potential new features in a safe place, without worrying about messing up the game

Right now we're only testing the Test Lab, but we'll share more info about our experiments soon!","1:39
43.4K views",🐶 🥼 🧪,547,178,3.3K,[],https://twitter.com/PlayAdoptMe/status/1407774088765095948
Amy Ho,@AmyHo26404100,2021-06-23T20:14:51.000Z,Can y'all add a pet butterfly ,,🦋,,,1,[],https://twitter.com/AmyHo26404100/status/1407794299824115716
Adopt Me!,@PlayAdoptMe,2021-06-23T18:54:32.000Z,"We're launching a new type of server - the Test Lab! We'll be able to gather your feedback on potential new features in a safe place, without worrying about messing up the game

Right now we're only testing the Test Lab, but we'll share more info about our experiments soon!","43.4K views
0:02 / 1:40",🐶 🥼 🧪,547,178,3.3K,[],https://twitter.com/PlayAdoptMe/status/1407774088765095948
Adopt Me!,@PlayAdoptMe,2021-07-03T16:10:10.000Z,"that's one zany house 

new house, furniture, and wall art coming in an update on Thursday!! ","0:14
47.8K views",🏡 🐞 🖼,499,234,3.8K,[],https://twitter.com/PlayAdoptMe/status/1411356604851687424
Amy Ho,@AmyHo26404100,2021-07-03T16:30:12.000Z,Can y'all make a pet butterfly ,,🦋,,,,[],https://twitter.com/AmyHo26404100/status/1411361646065426438
Adopt Me!,@PlayAdoptMe,2021-07-03T16:10:10.000Z,"that's one zany house 

new house, furniture, and wall art coming in an update on Thursday!! ","47.8K views
0:03 / 0:16",🏡 🐞 🖼,499,234,3.8K,[],https://twitter.com/PlayAdoptMe/status/1411356604851687424
