UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
AGORA TRICOLOR - AT,@agoratricolor,2021-01-23T22:54:39.000Z,"Nação, oq vocês acharam do 1° Tempo? Opinem",,,32,1,20,[],https://twitter.com/agoratricolor/status/1353113947382177794
Anderson Carlos Pereira,@Anderso13346774,2021-01-23T22:55:13.000Z,Uma bosta,,,,,,[],https://twitter.com/Anderso13346774/status/1353114091922063365
Anderson Carlos Pereira,@Anderso13346774,2021-01-24T00:57:56.000Z,"Replying to 
@CrespoSPFC",60x40 kkk,,,,,[],https://twitter.com/Anderso13346774/status/1353144972132888579
Bolívia Zica,@boliviazica,2021-01-10T00:11:01.000Z,Qual é o nome disso aí na sua quebrada?,"Sport Club do Recife
@sportrecife
 · Jan 10
Depois desse lance, juiz consulta o VAR e não dá pênalti para o Leão.",,1K,522,7.7K,"['https://pbs.twimg.com/profile_images/1433084396345729027/6hxEbFdv_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1348059027331276800/pu/img/A8xsEKAfkNi-gSs5.jpg']",https://twitter.com/boliviazica/status/1348059735707291648
Anderson Carlos Pereira,@Anderso13346774,2021-01-10T13:30:06.000Z,Assalto,,,,,,[],https://twitter.com/Anderso13346774/status/1348260830127812608
Bruno Gagliasso - Pai de 3,@brunogagliasso,2021-01-16T00:05:26.000Z,"Sabe Bolsonaro, voce VAI CAIR",,,5.7K,24.9K,208.8K,[],https://twitter.com/brunogagliasso/status/1350232658178142212
Anderson Carlos Pereira,@Anderso13346774,2021-01-16T18:05:05.000Z,Só sonha kkk,,,,,,[],https://twitter.com/Anderso13346774/status/1350504361944821760
Anderson Carlos Pereira,@Anderso13346774,2021-01-24T00:08:55.000Z,"Replying to 
@tricolwr","É sempre a mesma cena, erram gols lá no ataque e sobrecarregam a defesa e tomam gols",,,1,10,[],https://twitter.com/Anderso13346774/status/1353132635946676225
Anderson Carlos Pereira,@Anderso13346774,2021-01-02T14:44:31.000Z,"Replying to 
@CentralDoBraga",,😂 😂 😂,,,,[],https://twitter.com/Anderso13346774/status/1345380458754961414
Anderson Carlos Pereira,@Anderso13346774,2021-01-02T17:22:27.000Z,"Replying to 
@Lillyog38",,👍,,,,[],https://twitter.com/Anderso13346774/status/1345420203744751616
Pedro Uczai,@uczai,2021-01-16T17:00:33.000Z,"Eu, deputado federal de Santa Catarina, reeleito para o terceiro mandato com mais de 115 mil votos, voto SIM pelo #impeachment de Jair Bolsonaro. Chegou a hora de colocar um ponto final nesse governo, essa página nefasta da História do Brasil. Impeachment já!  

#ForaBolsonaro",,,3.6K,3.3K,30.5K,[],https://twitter.com/uczai/status/1350488122291859459
Anderson Carlos Pereira,@Anderso13346774,2021-01-17T12:39:06.000Z,Petista nem é gente,,,,,1,[],https://twitter.com/Anderso13346774/status/1350784711791177729
Anderson Carlos Pereira,@Anderso13346774,2021-01-24T00:55:40.000Z,Vão se preparando pra ação na justiça do Daniel Alves contra o SP,,,1,,2,[],https://twitter.com/Anderso13346774/status/1353144403511148544
Carlos Ferrari,@scarlosferrari,2021-01-20T11:42:06.000Z,"Replying to 
@libolsonaro","Tem sim, você acabou de digitar. Essa sempre foi a intenção da pesquisa ",,4,1,7,[],https://twitter.com/scarlosferrari/status/1351857531530977281
Anderson Carlos Pereira,@Anderso13346774,2021-01-20T21:33:51.000Z,Pode todos?,,,,,,[],https://twitter.com/Anderso13346774/status/1352006451485696003
Paulo Andrade,@_paulo_andrade_,2021-01-02T14:40:41.000Z,"Meu profundo agradecimento por tudo o que compartilhamos, ao companheiro com quem mais dividi transmissões e programas em toda a carreira. Que tenha muito sucesso na sequência de sua trajetória, querido 
@maurocezar
. Obrigado pela parceria de tantos anos!",,,855,719,26.1K,['https://pbs.twimg.com/media/Equ_hLsXcAAq3C0?format=jpg&name=small'],https://twitter.com/_paulo_andrade_/status/1345379493322645504
Anderson Carlos Pereira,@Anderso13346774,2021-01-02T17:19:34.000Z,"@_paulo_andrade_
 espero que vc não saia pois sem vc os jogos grandes da Premier league não teriam muita graça",,,,,,[],https://twitter.com/Anderso13346774/status/1345419475538083842
mariana gmx,@gmxmrn,2021-01-17T21:30:17.000Z,"Replying to 
@Anderso13346774
 and 
@ErikakHilton","Se vc não entendeu pode ficar tranquilo, é só pq vc burro mesmo ",🤭 🤭 🤭 🤭,1,,,[],https://twitter.com/gmxmrn/status/1350918391083708421
Anderson Carlos Pereira,@Anderso13346774,2021-01-17T21:31:49.000Z,"É porque vcs otários vagabundos só querem militar as custas dos outros, vtnc e burro deve ser vc bando de mimizentos",,,,,,[],https://twitter.com/Anderso13346774/status/1350918776427081728
Carlos Eduardo,@cadu_avoleta,2021-01-24T00:56:03.000Z,"Replying to 
@Anderso13346774
 and 
@MendesTatila",Olho nisso mesmo,,1,,1,[],https://twitter.com/cadu_avoleta/status/1353144497467699204
Anderson Carlos Pereira,@Anderso13346774,2021-01-24T00:56:36.000Z,Com certeza meu jovem,,,,,1,[],https://twitter.com/Anderso13346774/status/1353144635934302208
Anderson Carlos Pereira,@Anderso13346774,2021-02-20T22:28:44.000Z,"Replying to 
@desimpedidos",Bale,,,,,[],https://twitter.com/Anderso13346774/status/1363254284939374596
Anderson Carlos Pereira,@Anderso13346774,2021-02-07T18:23:25.000Z,"Replying to 
@marcelarafael",,,,,1,['https://pbs.twimg.com/media/EtpLu6GXEAExzsF?format=jpg&name=small'],https://twitter.com/Anderso13346774/status/1358481509427122176
Somos São Paulinos,@somosaopaulinos,2021-02-19T15:37:11.000Z,"URGENTE: Miranda vai rescindir o seu contrato com o Jiangsu Suning, da China e antecipar seu retorno ao Brasil. O São Paulo tem interesse no zagueiro. Você gostaria da volta do ídolo Tricolor, torcedor?",,,291,85,1.6K,['https://pbs.twimg.com/media/EumYwE4XYAs6R8o?format=png&name=small'],https://twitter.com/somosaopaulinos/status/1362788329729777669
Anderson Carlos Pereira,@Anderso13346774,2021-02-19T21:50:31.000Z,"Não, SP não é asilo",,,,,,[],https://twitter.com/Anderso13346774/status/1362882281426272260
Anderson Carlos Pereira,@Anderso13346774,2021-02-07T15:39:14.000Z,"Replying to 
@Crissrc",Sensata,,,,,[],https://twitter.com/Anderso13346774/status/1358440190348578818
Anderson Carlos Pereira,@Anderso13346774,2021-02-16T23:08:31.000Z,"Replying to 
@Iugarespviajar",Que lugar é esse aí?,,2,,,[],https://twitter.com/Anderso13346774/status/1361814745049874434
Luiz Carlos Largo,@LARGOESPN,2021-02-27T13:49:17.000Z,"Tirando seu clube de coração no Brasil.
Qual o time que você tem simpatia fora do nosso país?
Sou Boca Juniors 
E você ?????",,,1.5K,273,895,[],https://twitter.com/LARGOESPN/status/1365660277761601541
Anderson Carlos Pereira,@Anderso13346774,2021-02-27T15:32:49.000Z,Nenhum,,,,,,[],https://twitter.com/Anderso13346774/status/1365686333822406665
Anderson Carlos Pereira,@Anderso13346774,2021-02-27T19:50:49.000Z,"Replying to 
@equica2022",,👏 👏 👏,,,,[],https://twitter.com/Anderso13346774/status/1365751259953852422
Anderson Carlos Pereira,@Anderso13346774,2021-02-28T15:00:34.000Z,"Replying to 
@equica2022",,😂 😂 😂,,,1,[],https://twitter.com/Anderso13346774/status/1366040604220788740
Paulo Andrade,@_paulo_andrade_,2021-02-07T18:27:22.000Z,"Acabouuuu! Liverpool 1-4 Man City. Absurda a temporada do Man City, agora com 14 vitórias seguidas. City não derrotava o Liverpool no Anfield desde 2003. Reds perdem em casa pela terceira vez, o que não acontecia desde 1963. Muito obrigado pela audiência!",,,44,37,1K,[],https://twitter.com/_paulo_andrade_/status/1358482503682691076
Anderson Carlos Pereira,@Anderso13346774,2021-02-07T18:28:25.000Z,"Jogão, Alisson vacilou bonito kkk",,,,,,[],https://twitter.com/Anderso13346774/status/1358482766422306818
Tátila,@MendesTatila,2021-02-25T22:43:22.000Z,"Não, chega desses jogadores assim no São Paulo","Somos São Paulinos
@somosaopaulinos
 · Feb 25
Cinco clubes procuraram Miranda, que pretende definir seu futuro na semana que vem. Seria uma boa pro São Paulo, torcedor?",,1,,3,['https://pbs.twimg.com/profile_images/1411853548460052480/z6uiR_Ow_mini.jpg'],https://twitter.com/MendesTatila/status/1365069909789708289
Anderson Carlos Pereira,@Anderso13346774,2021-02-25T22:47:53.000Z,"SP não é asilo, já vimos o que aconteceu anteriormente com esses jogadores com idade avançada",,,,,1,[],https://twitter.com/Anderso13346774/status/1365071046353821704
Mundinho SPFC Feminino,@mtricolorfem,2021-02-27T17:44:12.000Z,"E esse golaço da Duda Rodrigues contra o Internacional. 
(Vídeo reprodução: SporTV)",,🗣,3,21,104,['https://pbs.twimg.com/ext_tw_video_thumb/1365719288116576257/pu/img/98K-ycj1cae76YU1.jpg'],https://twitter.com/mtricolorfem/status/1365719394668580865
Anderson Carlos Pereira,@Anderso13346774,2021-02-27T23:15:56.000Z,Porque não tem o patrocinador na camisa?,,,,,,[],https://twitter.com/Anderso13346774/status/1365802880423313409
Nivea Kalmar,@niveakalmar,2021-01-31T15:28:34.000Z,Eu não vou ridicularizar isso sozinha,"Metrópoles (de )
@Metropoles
 · Jan 31
Manifestantes fizeram a performance Stop Bolsonaro em frente ao Congresso Nacional.
Show this thread
1:28
358.6K views",🏠,86,21,498,['https://pbs.twimg.com/profile_images/1410546402510376961/Fzz5yaC8_mini.jpg'],https://twitter.com/niveakalmar/status/1355900790284685312
Anderson Carlos Pereira,@Anderso13346774,2021-01-31T15:54:55.000Z,E eu achando que eu era meio retardado ,,😒 😂,,,,[],https://twitter.com/Anderso13346774/status/1355907421475123200
Anderson Carlos Pereira,@Anderso13346774,2021-02-28T15:04:57.000Z,"Replying to 
@spfcpics",E hoje fez um pelos Spurs na Premier league,,,,,[],https://twitter.com/Anderso13346774/status/1366041707125571590
noticias_do_tricolor,@IG_NDT,2021-02-06T14:59:23.000Z," DE OLHO!

Livre no mercado, o técnico Bruno Lage está no radar do São Paulo. Confira alguns de seus números em trabalhos anteriores.

*Seus outros trabalhos foram como assistente técnico e na área de formação de atletas, iniciando em 1997, no Vitória de Setúbal. 

#SPFC",,👀,4,3,49,['https://pbs.twimg.com/media/EtjTcUIXIAY1FxT?format=jpg&name=small'],https://twitter.com/IG_NDT/status/1358067775030329346
Anderson Carlos Pereira,@Anderso13346774,2021-02-06T15:13:50.000Z,Todos estão no radar do SP que no fim vai acabar trazendo algum brasileiro que já passou umas 5 vezes pelo clube,,,,,,[],https://twitter.com/Anderso13346774/status/1358071410363621377
Anderson Carlos Pereira,@Anderso13346774,2021-02-07T22:05:45.000Z,"Replying to 
@carlosriconbr
 and 
@gugachacra","Vsf, tudo é política, vai dizer que perdeu por causa do Bolsonaro, vcs devem amar o presidente",,2,,,[],https://twitter.com/Anderso13346774/status/1358537458305150982
Anderson Carlos Pereira,@Anderso13346774,2021-01-31T20:22:46.000Z,"Replying to 
@Anderso13346774
 @crismed7
 and 2 others","A corrupção refletir na minha vida é uma coisa, agora eu seguir exemplos de pessoas famosas é outra coisa e acho que era sobre isso a questão",,,,1,[],https://twitter.com/Anderso13346774/status/1355974830110203906
N.Cristina,@crismed7,2021-01-31T12:38:38.000Z,"Replying to 
@Anderso13346774
 @hotcage1
 and 
@andrizek","Se vc ainda não entendeu que a corrupção de  políticos interfere diretamente na sua vida, não sou eu quem vou te explicar...",,2,,5,[],https://twitter.com/crismed7/status/1355858027153403905
Anderson Carlos Pereira,@Anderso13346774,2021-01-31T13:28:26.000Z,Eu não me espelho em ninguém,,,2,,,[],https://twitter.com/Anderso13346774/status/1355870557473034243
N.Cristina,@crismed7,2021-01-31T12:03:39.000Z,"Replying to 
@hotcage1
 and 
@andrizek","Talvez pq ele é o presidente, cargo maior da república, cujas decisões e ações têm reflexos diretos em nossas vidas...",,3,,19,[],https://twitter.com/crismed7/status/1355849220931072002
Anderson Carlos Pereira,@Anderso13346774,2021-01-31T12:32:30.000Z,"Pois é, o 9 dedos também era presidente e suas ações não tiveram reflexos na minha vida, ou seja, não me tornei ladrão kkk",,,2,,1,[],https://twitter.com/Anderso13346774/status/1355856480763850752
Paulo Andrade,@_paulo_andrade_,2021-02-27T15:14:44.000Z,"Replying to 
@FC_Europeu","Tô precisando levar boas informações aos jogos que narro e para isso a ferramenta está funcionando bastante bem, fera.",,11,2,119,[],https://twitter.com/_paulo_andrade_/status/1365681781287043078
Anderson Carlos Pereira,@Anderso13346774,2021-02-27T15:31:26.000Z,Jantou o cara ,,😂 😂 😂,,,,[],https://twitter.com/Anderso13346774/status/1365685982335533062
N.Cristina,@crismed7,2021-01-31T14:14:44.000Z,"Replying to 
@Ronaldo99494174
 @Anderso13346774
 and 2 others","Quem tem discernimento não, mas a maioria repete o que as pessoas públicas fazem. A indústria da moda, do consumo, da propaganda, os influencers etc vivem disso.",,1,,1,[],https://twitter.com/crismed7/status/1355882208083529728
Anderson Carlos Pereira,@Anderso13346774,2021-01-31T15:26:15.000Z,"Pra mim isso se chama piolho, que anda pela cabeça dos outros",,,,,1,[],https://twitter.com/Anderso13346774/status/1355900208958337029
Anderson Carlos Pereira,@Anderso13346774,2021-03-14T17:06:03.000Z,#PremiereLeagueNaESPN acho que já dá pra acabar o jogo com um gol desses ,,😱 😱 😱,,,,[],https://twitter.com/Anderso13346774/status/1371145613115588609
Anderson Carlos Pereira,@Anderso13346774,2021-03-24T23:42:36.000Z,"Replying to 
@jiminsplace",,,,,,[],https://twitter.com/Anderso13346774/status/1374869287043792900
Anderson Carlos Pereira,@Anderso13346774,2021-03-21T12:23:10.000Z,"Replying to 
@pamspfc1",,🤣 🤣 🤣,,,2,[],https://twitter.com/Anderso13346774/status/1373611139138007050
YouTube: Canal do VSR,@vitorsergio,2021-03-29T21:41:01.000Z,"Desgoverno Federal desmoronando.

Com 3 mil brasileiros morrendo a cada dia por causa da Covid.

O que o Brasil virou...",,,61,63,1.4K,[],https://twitter.com/vitorsergio/status/1376650628651479041
Anderson Carlos Pereira,@Anderso13346774,2021-03-29T23:14:58.000Z,"Desmoronando nada, tá se ajeitando pra ficar até 2026 entendeu ",,😉,,,,[],https://twitter.com/Anderso13346774/status/1376674271993401347
𝕃𝕖 𝕄𝕖𝕣𝕚𝕕𝕒 ˢᵖᶠᶜ,@spfc_merida,2021-03-27T17:26:03.000Z,"Vamos de expoded?

Essa vergonha eu já passei..

KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK",,🏆,45,2,254,['https://pbs.twimg.com/media/ExgK6b8XEAQr8Tz?format=jpg&name=small'],https://twitter.com/spfc_merida/status/1375861687379750925
Anderson Carlos Pereira,@Anderso13346774,2021-03-27T22:11:06.000Z,Quem é esse?,,,,,,[],https://twitter.com/Anderso13346774/status/1375933422514868228
Planeta do Futebol,@futebol_info,2021-03-21T00:18:25.000Z,"“Falta comprometimento ao jogador de futebol em relação à sociedade. São alienados. Só pensam em ter, ostentar e comentar reality show, enquanto o Brasil está pegando fogo, sendo destruído. A Democracia Corinthiana seria um dos principais inimigos do Bolsonaro.”

 Casagrande.",,🌎 🎙,1K,576,3K,['https://pbs.twimg.com/media/Ew9mKkBXAAAiv5B?format=jpg&name=small'],https://twitter.com/futebol_info/status/1373428747035144193
Guga Chacra,@gugachacra,2021-03-24T22:10:34.000Z,"A Anti-Defamation League, principal entidade de combate ao antissemitismo dos EUA, classifica o sinal de ""ok"" com as mãos como um ato supremacista branco, dependendo do contexto. Se vc vir alguém fazendo, vale questionar o motivo. Pode ser um supremacista","Okay Hand Gesture
A common hand gesture that a 4chan trolling campaign claimed in 2017 had been appropriated as a symbol meaning ""white power."" Used by many on the right--not just extremists--for the purpose of...
adl.org",,1.2K,771,4.9K,['https://pbs.twimg.com/card_img/1432952347282579458/Q6jT8TFA?format=jpg&name=small'],https://twitter.com/gugachacra/status/1374846126025797632
Anderson Carlos Pereira,@Anderso13346774,2021-03-24T22:25:44.000Z,"Era só o que faltava, pqp onde vai parar isso, não se pode falar ou fazer mais nada",,,,,,[],https://twitter.com/Anderso13346774/status/1374849941798027265
Joel Luiz Costa #TemGenteComFome,@joelluiz_adv,2021-03-06T14:51:42.000Z,"Nós crescemos 
Eles também",,,772,11K,101K,"['https://pbs.twimg.com/media/EvzeMjmWYAIeu9b?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EvzeMjjWgAYU0bx?format=jpg&name=360x360']",https://twitter.com/joelluiz_adv/status/1368212699050545153
Anderson Carlos Pereira,@Anderso13346774,2021-03-07T00:34:27.000Z,Cadê o costelinha?,,,,,,[],https://twitter.com/Anderso13346774/status/1368359355674992642
Equiça2022,@equica2022,2021-03-23T22:45:47.000Z,"Na boa, 
@FoxSportsBrasil
. Sormani fala muita merda. Porque não contrata eu pra falar merda também?",,,1,,1,[],https://twitter.com/equica2022/status/1374492602179801089
Anderson Carlos Pereira,@Anderso13346774,2021-03-23T22:48:35.000Z,Ele é santista aquele retardado?,,,1,,,[],https://twitter.com/Anderso13346774/status/1374493306256683009
Equiça2022,@equica2022,2021-03-09T01:05:51.000Z,"Ver a quantidade de pessoas apoiando uma possível candidatura de Lula em 2022, só denuncia como o brasileiro gosta de levar no rabo.
Obs: Não sou Bolsonarista, arrombados.",,,1,,,[],https://twitter.com/equica2022/status/1369092031914577922
Anderson Carlos Pereira,@Anderso13346774,2021-03-09T23:14:12.000Z,"Brasileiro tem que tomar é bem naquele lugar, gosta só do que é errado",,,,,,[],https://twitter.com/Anderso13346774/status/1369426323840643074
Equiça2022,@equica2022,2021-03-24T19:22:52.000Z,"Já disse e reitero, 
@FoxSportsBrasil
 e 
@ESPNBrasil
. Sormani fala muita merda.
Se vocês estiverem precisando de mais alguém pra falar merda, me contratem por favor.",,,1,,1,['https://pbs.twimg.com/media/ExRI4f5WgAUKFaR?format=jpg&name=small'],https://twitter.com/equica2022/status/1374803924465676290
Anderson Carlos Pereira,@Anderso13346774,2021-03-24T20:00:41.000Z,Não entendo como esse cara ainda tem emprego,,,1,,,[],https://twitter.com/Anderso13346774/status/1374813439231729669
Felipe Morais,@plannerfelipe,2021-03-14T13:29:01.000Z,"SPFC não ganha nada desde 2013!! O Reinaldo é um dos jogadores mais importantes do time dos últimos anos, craque, melhor assistência. Qualquer um com 2 neurônios faz a ligação: se o Reinaldo é um dos melhores, não tem como ganhar nada! Mas Enzo de grupo de Facebook só tem 1...",,,4,7,28,[],https://twitter.com/plannerfelipe/status/1371090995216056328
Anderson Carlos Pereira,@Anderso13346774,2021-03-14T14:44:08.000Z,"Cara não aguenta correr, atacantes saem 2 metros atrás e chegam 4 na frente, fora mais uma entregada que deu ontem",,,,,,[],https://twitter.com/Anderso13346774/status/1371109900030517250
AMOROSO®,@7amorosooficial,2021-03-20T01:34:35.000Z,"Tem meu respeito como pessoa, atleta exemplar que foi e não existe mais jogou ali no rival etc.. Temos que evoluir mentalmente e o 
@Alex10
 tera tudo na não pra começar uma grande carreira. Boa sorte irmão, você tem muito ha acrescentar para a mulekada 
@juliocasares_SP
 @SaoPauloFC",,,40,51,1.8K,['https://pbs.twimg.com/media/Ew4uADZXAAUJbIJ?format=jpg&name=900x900'],https://twitter.com/7amorosooficial/status/1373085530645278720
Anderson Carlos Pereira,@Anderso13346774,2021-03-20T20:54:59.000Z,Será que não dá pra ele jogar no profissional não ,,😃 🙂 😊 😜,,,1,[],https://twitter.com/Anderso13346774/status/1373377553717690369
Anderson Carlos Pereira,@Anderso13346774,2021-04-28T21:50:36.000Z,#ultimolance  Kevin de Bruine,,,,,,[],https://twitter.com/Anderso13346774/status/1387524675975192584
Anderson Carlos Pereira,@Anderso13346774,2021-04-18T19:07:09.000Z,"Replying to 
@realpfigueiredo",,,,,,['https://pbs.twimg.com/media/EzR1B0DUcAgAGWS?format=jpg&name=small'],https://twitter.com/Anderso13346774/status/1383859662999605255
Anderson Carlos Pereira,@Anderso13346774,2021-04-28T22:15:46.000Z,"Replying to 
@TNTSportsBR
 @EstadioBR
 and 
@neymarjr",,,,,1,['https://pbs.twimg.com/media/E0GAGW4WUAUs_f_?format=jpg&name=small'],https://twitter.com/Anderso13346774/status/1387531009743327241
