UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Bhanu shukla,@Bhanushukla119,2021-01-04T11:41:05.000Z,।। मेरी जिन्दगी के अनुभवों ने मुझे जीतना सिखा दिया।।,,,,,3,['https://pbs.twimg.com/media/Eq4pj0QUUAMr6aT?format=jpg&name=900x900'],https://twitter.com/Bhanushukla119/status/1346059070130667522
Bhanu shukla,@Bhanushukla119,2021-01-16T05:14:13.000Z,"Replying to 
@KesriRajat",,,,,1,['https://pbs.twimg.com/tweet_video_thumb/Er1EHaTUwAUq9v1.jpg'],https://twitter.com/Bhanushukla119/status/1350310368208252929
Bhanu shukla,@Bhanushukla119,2021-02-04T05:52:44.000Z,"Replying to 
@Sassy_Soul_",Congratulations,,,,,[],https://twitter.com/Bhanushukla119/status/1357205430292803585
Vivek Shukla,@Gajraj_Vivek,2021-02-03T17:05:57.000Z,"Replying to 
@tehseenp
 and 
@akshaykumar","बड़ी ही अजीब बात है तहसीन जी आप उन्हीं लोगों में से हैं जो कलतक चीख चीख कर ये कह रहे थे कि कागज़ नहीं दिखाएंगे कागज़ हमारी नागरिकता नहीं तय कर सकता हम दिल से हिंदुस्तानी हैं 
आज आप कागज़ की बात कर रहे हैं कल फिर आप पलट सकते हैं । 
आप अपनी विचारधारा साफ कीजिए",,1,6,16,[],https://twitter.com/Gajraj_Vivek/status/1357012459840630784
Bhanu shukla,@Bhanushukla119,2021-02-04T05:50:08.000Z,बहुत सही कहा भाई,,,1,,1,[],https://twitter.com/Bhanushukla119/status/1357204773250891776
Bhanu shukla,@Bhanushukla119,2021-02-04T05:51:12.000Z,"Replying to 
@Back2Vedas",हार्दिक शुभकामनाएं बडे़ भैया,,1,,1,[],https://twitter.com/Bhanushukla119/status/1357205043825438720
Bhanu shukla,@Bhanushukla119,2021-03-07T12:21:30.000Z,#NewProfilePic,,,1,2,6,['https://pbs.twimg.com/media/Ev4FU33VkAUhBpD?format=jpg&name=small'],https://twitter.com/Bhanushukla119/status/1368537288183930882
Bhanu shukla,@Bhanushukla119,2021-04-25T12:23:57.000Z,*सोच अगर सही है तो हर चेहरा खुबसूरत लगता है...*,,😍 😍,2,,6,['https://pbs.twimg.com/media/Ez0b1vOVoAIi-1-?format=jpg&name=small'],https://twitter.com/Bhanushukla119/status/1386294909427019782
Bhanu shukla,@Bhanushukla119,2021-06-26T14:56:08.000Z,"Come and join 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation 
#Yashasvi_foundation",,,,1,3,[],https://twitter.com/Bhanushukla119/status/1408801255883907076
Bhanu shukla,@Bhanushukla119,2021-06-29T02:54:43.000Z,"Are you mad TWITTER
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER 
#BanTWITTER",,,,,,['https://pbs.twimg.com/media/E5BI7adVUAAfhhJ?format=jpg&name=small'],https://twitter.com/Bhanushukla119/status/1409706871330508804
Bhanu shukla,@Bhanushukla119,2021-06-13T16:39:02.000Z,"What's happening here
@Uppolice
 @PoliceUttar
 @dmpratapgarh
 @PratapgrhPolice
 @CommissionerPrg
 @prayagraj_pol
 
@Azaad_Sena
 @News4Pratapgarh
 
@pratapgarhpol
 
@PratapGarhSP",,,,,1,['https://pbs.twimg.com/media/E3xsKU7VcA4htJN?format=jpg&name=medium'],https://twitter.com/Bhanushukla119/status/1404116111470198784
Bhanu shukla,@Bhanushukla119,2021-06-20T16:42:14.000Z,"#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है 
#गर्व_से_कहो_हम_हिन्दू_है",,,,5,10,['https://pbs.twimg.com/media/E4VwBCzVgAggcgb?format=jpg&name=small'],https://twitter.com/Bhanushukla119/status/1406653631768580101
Bhanu shukla,@Bhanushukla119,2021-06-24T08:36:49.000Z,"#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia 
#WeLoveIndia",,,1,1,1,['https://pbs.twimg.com/media/E4onRMwVUAM6UKT?format=jpg&name=small'],https://twitter.com/Bhanushukla119/status/1407981022063390722
Bhanu shukla,@Bhanushukla119,2021-06-10T09:21:47.000Z,"#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker 
#ArrestBhimArmyWorker",,,,,,[],https://twitter.com/Bhanushukla119/status/1402918909519351814
Bhanu shukla,@Bhanushukla119,2021-06-13T06:09:47.000Z,"#Boycottkareenakapoorkhan
#Boycottkareenakapoorkhan
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan 
#Boycottkareenakapoorkhan",,,,,,[],https://twitter.com/Bhanushukla119/status/1403957755887579136
Bhanu shukla,@Bhanushukla119,2021-06-13T06:11:56.000Z,"#I_support_sarvesh_Pandey
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey 
#I_support_sarvesh_Pandey",,,,,,[],https://twitter.com/Bhanushukla119/status/1403958295694434305
Bhanu shukla,@Bhanushukla119,2021-06-23T11:17:22.000Z,"#हिन्दू_साम्राज्य_दिवस 
#हिन्दू_साम्राज्य_दिवस 
#हिन्दू_साम्राज्य_दिवस #हिन्दू_साम्राज्य_दिवस
#हिन्दू_साम्राज्य_दिवस 
#हिन्दू_साम्राज्य_दिवस",,,,1,2,[],https://twitter.com/Bhanushukla119/status/1407659039417274370
Bhanu shukla,@Bhanushukla119,2021-07-24T03:19:43.000Z,"करता करे न कर सके, गुरु करे सो होए,

तीन लोक नौ खंड में, गुरु से बड़ा ना कोए।


 #गुरु_पूर्णिमा_की_शुभकामनाएं 
#गुरु_पूर्णिमा_की_शुभकामनाएं 
#गुरुपूर्णिमा_महापर्व
#गुरुपूर्णिमा_महापर्व
#गुरु_पूर्णिमा",,🙏 🙏 🙏 🙏,1,1,5,['https://pbs.twimg.com/media/E7B-ZOXVUAEPZtG?format=jpg&name=small'],https://twitter.com/Bhanushukla119/status/1418772857614573570
Bhanu shukla,@Bhanushukla119,2021-07-22T02:58:19.000Z,"#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण 
#मैं_भी_ब्राह्मण",,,,1,1,[],https://twitter.com/Bhanushukla119/status/1418042697609203717
Bhanu shukla,@Bhanushukla119,2021-07-25T12:31:12.000Z,"#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून 
#देश_मांगे_एक_कानून",,,,1,,[],https://twitter.com/Bhanushukla119/status/1419274029232365575
