UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Cheryl Gilmartin,@CherylGilmartin,2021-01-30T21:11:00.000Z,Find Your Fit Giveaway,"Find Your Fit Giveaway
Keeping up with your New Year’s resolutions can be challenging; we’re here to help! You could win essential gear from 5 brands (valued at over $1300 USD)  to assist you in crushing your 2021 fitness...
app.viralsweep.com",,,,,[],https://twitter.com/CherylGilmartin/status/1355624578941288449
Cheryl Gilmartin,@CherylGilmartin,2021-01-19T20:26:51.000Z,Yo! Enter this giveaway. https://wn.nr/AdMRKz,,,,,,[],https://twitter.com/CherylGilmartin/status/1351627202547224576
Cheryl Gilmartin,@CherylGilmartin,2021-01-19T21:28:41.000Z,Nolah Mattress 2021 Giveaway,"Nolah Mattress 2021 Giveaway
Nolah Mattress 2021 Giveaway Stand a chance to win 1 - Nolah Evolution 15” Hybrid Mattress is value of $2199! + two free pillows valued at $198. Each Activity Completed will Count as an Entry to Win!...
gleam.io",,,,,['https://pbs.twimg.com/card_img/1409682514873040897/WGRMEziW?format=jpg&name=small'],https://twitter.com/CherylGilmartin/status/1351642763863855104
Cheryl Gilmartin,@CherylGilmartin,2021-01-20T00:55:21.000Z,Believe in Music 2020 Giveaway https://wn.nr/ZLz4fS,,,,,,[],https://twitter.com/CherylGilmartin/status/1351694773191524354
Cheryl Gilmartin,@CherylGilmartin,2021-01-30T00:09:30.000Z,"Win an iPhone 12 Pro ($1,099 Value)!","Win an iPhone 12 Pro ($1,099 Value)!
Submit an Entry for a Chance to Win!
app.viralsweep.com",,,,,['https://pbs.twimg.com/card_img/1433403326792495106/phe1FPWt?format=png&name=small'],https://twitter.com/CherylGilmartin/status/1355307110448332803
Cheryl Gilmartin,@CherylGilmartin,2021-01-19T22:45:52.000Z,"I just entered to win $1,000 prize! https://ul.ink/VNAG-9AS9YE_T",,,,,,[],https://twitter.com/CherylGilmartin/status/1351662187547291652
Cheryl Gilmartin,@CherylGilmartin,2021-01-19T22:53:39.000Z,Win an Apple MacBook Pro 13 ($1299 Value)! https://swee.ps/ORmFA_UpIPJkU,,,,,,[],https://twitter.com/CherylGilmartin/status/1351664146262093824
Cheryl Gilmartin,@CherylGilmartin,2021-01-30T21:31:22.000Z,Enter To Win The Holley Detroit Muscle Sweepstakes!,"The Holley Detroit Muscle Sweepstakes
Enter for a chance to win this 2001 C5 Corvette Z06 built on Detroit Muscle!For more information about Holley and their products, visit https://www.holley.com. 
app.viralsweep.com",,,,,['https://pbs.twimg.com/card_img/1432934757051113472/ssmqFs-t?format=jpg&name=small'],https://twitter.com/CherylGilmartin/status/1355629703516676096
Cheryl Gilmartin,@CherylGilmartin,2021-01-30T21:01:56.000Z,"Enter this giveaway for a chance to win FREE high protein milk for a year from 
@bordendairy
!","Win FREE High Protein Milk For A Year!
You could win FREE MILK for a year! Simply fill out the form below, and you could be one of five lucky winners to get a year's supply of Borden milk.
app.viralsweep.com",,,,,[],https://twitter.com/CherylGilmartin/status/1355622296744984577
Special K,@SpecialK,2021-01-27T16:28:31.000Z,"Celebrate National Chocolate Cake Day by saying #KLetsWinThis to that sugar craving. Click the link below to win a free box of day-savingly decadent NEW 
@SpecialK
 Keto-Friendly Chocolate Almond Fudge Snack Bars with 1g of sugar! http://fooji.info/SpecialK",,,1.1K,265,574,['https://pbs.twimg.com/media/EswHx3NXMAAIoLy?format=jpg&name=small'],https://twitter.com/SpecialK/status/1354466326392274946
Cheryl Gilmartin,@CherylGilmartin,2021-01-29T19:50:10.000Z,Wendy Limauge,,,,,,[],https://twitter.com/CherylGilmartin/status/1355241848000794631
Cheryl Gilmartin,@CherylGilmartin,2021-01-29T20:25:29.000Z,"Enter to win a 
@JanisJoplin
 Pearl vinyl prize pack including a Hummingbird guitar and a Festival Express 1970 sweatshirt via 
@consequence
! https://wn.nr/JxkAdA",,,,,,[],https://twitter.com/CherylGilmartin/status/1355250736876068864
Vast,@VastGG,2021-01-20T23:03:01.000Z,"We're giving a Gaming Bundle to one lucky winner that retweets this and tags someone.

You must follow 
@BigRedXzosT
 to win.

 Enter Here 
https://vast.gg/red-army-gaming-bundle-giveaway/…",,🔽 🔽,593,1.3K,540,[],https://twitter.com/VastGG/status/1352028890622029824
Cheryl Gilmartin,@CherylGilmartin,2021-01-29T18:54:31.000Z,Wendy Limauge,,,,,,[],https://twitter.com/CherylGilmartin/status/1355227842745831427
Cheryl Gilmartin,@CherylGilmartin,2021-01-19T22:56:08.000Z,"Fresh Start with Florida Strawberries! Enter this #sweepstakes daily 
@farmstarliving
 this January to #WIN $500 + strawberry goodies from 
@FlaStrawberries
! #FreshStart #FloridaStrawberries","Fresh Start Sweepstakes with Florida Strawberries!
Enter daily for your chance to win!Please be sure you have cookie settings enabled so we are able to track your entries!
farmstarliving.com",,,,,['https://pbs.twimg.com/card_img/1431611602986418180/nb57qpxQ?format=jpg&name=small'],https://twitter.com/CherylGilmartin/status/1351664771859271680
Cheryl Gilmartin,@CherylGilmartin,2021-01-19T20:28:30.000Z,Yo! Enter this giveaway. https://wn.nr/4dzQYM,,,,,,[],https://twitter.com/CherylGilmartin/status/1351627618605383680
Vast,@VastGG,2021-01-24T23:13:03.000Z,"We're giving a Pixio 144Hz Curved Gaming Monitor to one lucky winner that retweets this and tags someone.

You must follow 
@IXITimmyIXI
 to win.

 Enter Here 
https://vast.gg/ixitimmyixi-pixio-144hz-curved-gaming-monitor-giveaway/…",,🔽 🔽,709,1.4K,564,[],https://twitter.com/VastGG/status/1353480965784539139
Cheryl Gilmartin,@CherylGilmartin,2021-01-27T00:00:13.000Z,Wendy Limauge,,,,,,[],https://twitter.com/CherylGilmartin/status/1354217610229862402
Vast,@VastGG,2021-01-19T23:10:44.000Z,"We're giving a Logitech G Pro X Superlight to one lucky winner that retweets this and tags someone.

You must follow 
@NachoCustomz
 and 
@Jaypher_
 to win.

 Enter Here 
https://vast.gg/nacho-customz-x-jaypher-logitech-g-pro-x-superlight-giveaway/…",,🔽 🔽,520,1K,426,[],https://twitter.com/VastGG/status/1351668445570617349
Cheryl Gilmartin,@CherylGilmartin,2021-01-29T18:50:19.000Z,Wendy Limauge,,,,,,[],https://twitter.com/CherylGilmartin/status/1355226787370864642
