UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Micky Jnr ✪,@MickyJnr__,2021-04-09T16:05:12.000Z,"Beating  
@AlAhly
 in Egypt in the CAF Champions League isn't for everyone!

Be scared, Simba SC! Be scared...

#TOTALCAFCL #CAFCL #NguvuMoja #YallaYaAhly",,,12,4,87,['https://pbs.twimg.com/media/Eyi1EvEXIAk7Nhc?format=jpg&name=small'],https://twitter.com/MickyJnr__/status/1380552382703108103
Chrisantus Chengula,@ChrisGlyne,2021-04-09T17:47:42.000Z,We gonna show you br,,,,,,[],https://twitter.com/ChrisGlyne/status/1380578178867941376
Chrisantus Chengula,@ChrisGlyne,2021-04-11T07:11:02.000Z,"Replying to 
@babalao__","@ChrisGlyne
 @ChrisGlyne
 @ChrisGlyne",,,1,3,[],https://twitter.com/ChrisGlyne/status/1381142733511790597
Chrisantus Chengula,@ChrisGlyne,2021-04-09T06:11:03.000Z,"Replying to 
@Mashiane_ZA
 and 
@Iam_Evon",@ChrisGlyne,,,,37,[],https://twitter.com/ChrisGlyne/status/1380402861054513156
Chrisantus Chengula,@ChrisGlyne,2021-04-08T07:03:33.000Z,"Replying to 
@Naytrueboy",@ChrisGlyne,,,,6,[],https://twitter.com/ChrisGlyne/status/1380053687171743744
Chrisantus Chengula,@ChrisGlyne,2021-04-11T07:16:29.000Z,"Replying to 
@Cyancuty","@ChrisGlyne
 @ChrisGlyne",,,,2,[],https://twitter.com/ChrisGlyne/status/1381144103946055688
Chrisantus Chengula,@ChrisGlyne,2021-04-08T08:26:19.000Z,"Replying to 
@TTCLCorporation",0734661115,,,,,[],https://twitter.com/ChrisGlyne/status/1380074515821133826
Chrisantus Chengula,@ChrisGlyne,2021-04-08T11:19:10.000Z,"Replying to 
@AngawaEA
 and 
@fatma_karume",@ChrisGlyne,,,,,[],https://twitter.com/ChrisGlyne/status/1380118012418609155
Chrisantus Chengula,@ChrisGlyne,2021-04-08T20:16:13.000Z,"Replying to 
@SkylerFleur",@,,,,,[],https://twitter.com/ChrisGlyne/status/1380253167070420993
Chrisantus Chengula,@ChrisGlyne,2021-04-08T19:42:49.000Z,"Replying to 
@FBMutuals
 @Iam_Evon
 and 
@daniielkyle",@,,,,,[],https://twitter.com/ChrisGlyne/status/1380244763522310148
Chrisantus Chengula,@ChrisGlyne,2021-04-11T18:56:26.000Z,"Replying to 
@MariaSTsehai
 and 
@MwanzoTv","@ChrisGlyne
 @ChrisGlyne",,,,,[],https://twitter.com/ChrisGlyne/status/1381320251963478019
Chrisantus Chengula,@ChrisGlyne,2021-04-08T19:46:44.000Z,"Replying to 
@clinty_001
 and 
@Iam_Evon",@,,,,,[],https://twitter.com/ChrisGlyne/status/1380245747774455809
Chrisantus Chengula,@ChrisGlyne,2021-04-11T07:33:30.000Z,"Replying to 
@mtnug","@ChrisGlyne
 @ChrisGlyne
 @ChrisGlyne
 @ChrisGlyne",,,,,[],https://twitter.com/ChrisGlyne/status/1381148387739803649
TTCL CORPORATION,@TTCLCorporation,2021-04-03T20:02:17.000Z,Kimerudi tena,,,266,242,1.3K,['https://pbs.twimg.com/media/EyExyqZU8AEz-Zw?format=jpg&name=small'],https://twitter.com/TTCLCorporation/status/1378437721002139650
Chrisantus Chengula,@ChrisGlyne,2021-04-08T08:02:31.000Z,Nimetuma pesa T-pesa toka jana lakini sijapokea uthibitisho imeingia au la kuna ttzo gani,,,1,,,[],https://twitter.com/ChrisGlyne/status/1380068523830091783
Chrisantus Chengula,@ChrisGlyne,2021-04-08T19:43:04.000Z,"Replying to 
@FBMutuals
 @Iam_Evon
 and 
@daniielkyle",@ChrisGlyne,,,,,[],https://twitter.com/ChrisGlyne/status/1380244825744814081
Chrisantus Chengula,@ChrisGlyne,2021-04-11T07:44:35.000Z,"Replying to 
@Paparazzydey4u
 and 
@Iam_Evon","@ChrisGlyne
 @ChrisGlyne",,,,,[],https://twitter.com/ChrisGlyne/status/1381151175626477570
Chrisantus Chengula,@ChrisGlyne,2021-04-23T10:36:20.000Z,New profile picture..,,,,,1,['https://pbs.twimg.com/media/EzpwCjhXEAUTHMV?format=jpg&name=medium'],https://twitter.com/ChrisGlyne/status/1385543052975132672
Chrisantus Chengula,@ChrisGlyne,2021-04-29T11:37:29.000Z,"Replying to 
@babalao__
 @faida___
 and 8 others","@ChrisGlyne
 @ChrisGlyne",,,,2,[],https://twitter.com/ChrisGlyne/status/1387732769640435712
Chrisantus Chengula,@ChrisGlyne,2021-04-29T11:34:33.000Z,"Replying to 
@babalao__","@ChrisGlyne
 @ChrisGlyne",,,,3,[],https://twitter.com/ChrisGlyne/status/1387732031703068672
Chrisantus Chengula,@ChrisGlyne,2021-04-23T10:40:41.000Z,"Replying to 
@IdrisSultan",@ChrisGlyne,,,,,[],https://twitter.com/ChrisGlyne/status/1385544147914870786
Chrisantus Chengula,@ChrisGlyne,2021-04-29T11:35:46.000Z,"Replying to 
@bohny_chengula","@ChrisGlyne
 @ChrisGlyne
 @ChrisGlyne",,,,,[],https://twitter.com/ChrisGlyne/status/1387732335773327362
Chrisantus Chengula,@ChrisGlyne,2021-05-15T04:34:29.000Z,"Replying to 
@bvrbvra
 and 
@Arsenal",,🖐 🖐,,,,[],https://twitter.com/ChrisGlyne/status/1393424524595580930
