UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Colton Man,@ColtonEpic,2021-07-08T18:06:50.000Z,gaming is good,,,,,2,[],https://twitter.com/ColtonEpic/status/1413197903670218760
Colton Man,@ColtonEpic,2021-07-13T21:15:21.000Z,"@MCChampionship_
  we need walibear in mcc",,,,,,[],https://twitter.com/ColtonEpic/status/1415057283277524992
Colton Man,@ColtonEpic,2021-07-05T01:00:47.000Z,toe reveal at 500 followers,,,,,2,[],https://twitter.com/ColtonEpic/status/1411852524232052737
Purpled,@burpled,2019-12-16T00:13:12.000Z,life is good,,,37,9,968,['https://pbs.twimg.com/media/EL3gDnnWkAA5bLP?format=png&name=small'],https://twitter.com/burpled/status/1206366630726553601
Colton Man,@ColtonEpic,2021-07-05T00:03:57.000Z,where 69420,,,,,,[],https://twitter.com/ColtonEpic/status/1411838220128722945
Wisp,@wispexe,2021-06-25T13:44:15.000Z,"Just saw a Girl, so I waved

she threw up instantly",,,203,181,24.4K,[],https://twitter.com/wispexe/status/1408420777599328258
Colton Man,@ColtonEpic,2021-07-05T00:11:11.000Z,i wonder why ,,🤔,,,,[],https://twitter.com/ColtonEpic/status/1411840040662147073
Colton Man,@ColtonEpic,2021-07-05T00:14:38.000Z,"Replying to 
@wispexe",you mean villagers?,,,,,[],https://twitter.com/ColtonEpic/status/1411840910766313476
Wisp,@wispexe,2021-01-08T14:41:18.000Z,"all men are TRASH

T
R
A
S
Harvesting potatoes",,,71,125,7.3K,[],https://twitter.com/wispexe/status/1347553972593315840
Colton Man,@ColtonEpic,2021-07-05T00:15:44.000Z,technoblade be like,,,,,,[],https://twitter.com/ColtonEpic/status/1411841189112844288
BadBoyHalo,@BadBoyHalo,2021-06-23T22:10:17.000Z,When I go shopping I text pictures of random products I'm buying to my friends to confuse and/or irritate them,,,1K,1.4K,91.9K,['https://pbs.twimg.com/media/E4mXuNVXoAIxAbK?format=png&name=small'],https://twitter.com/BadBoyHalo/status/1407823352228634627
Colton Man,@ColtonEpic,2021-07-05T00:22:36.000Z,yes i love it ,,🥖 🌰 🧅 🫑 🍳 🌽 🥕 🥦,,,,[],https://twitter.com/ColtonEpic/status/1411842915245174784
Colton Man,@ColtonEpic,2021-07-05T00:07:35.000Z,"Replying to 
@Ph1LzA","""Missing man stares back at his life choices""",,,,1,[],https://twitter.com/ColtonEpic/status/1411839134759538691
Ph1LzA,@Ph1LzA,2021-05-31T22:21:12.000Z,"It do almost be the month of pride  :) take care of each other and never let anyone tell you who you can or can't love. Be proud of who you are, because you're fucking awesome ",,👍,2.3K,12.5K,191.2K,[],https://twitter.com/Ph1LzA/status/1399491177750073349
Colton Man,@ColtonEpic,2021-07-05T00:05:56.000Z,i think you read the wrong book,,,,,,[],https://twitter.com/ColtonEpic/status/1411838721972920330
Wisp,@wispexe,2021-01-13T18:32:08.000Z,"Minecraft, but your Parents are signing the Divorce Papers behind you...",,,190,315,12.8K,[],https://twitter.com/wispexe/status/1349424004235456513
Colton Man,@ColtonEpic,2021-07-05T00:15:06.000Z,that happened many times already,,,,,,[],https://twitter.com/ColtonEpic/status/1411841028051587073
Purpled,@burpled,2020-07-29T14:26:52.000Z,what if it was all just a dream,,,426,1.9K,26.5K,"['https://pbs.twimg.com/media/EeGaquvXgAE4iaQ?format=png&name=360x360', 'https://pbs.twimg.com/media/EeGarN8XoAMgdHf?format=png&name=small']",https://twitter.com/burpled/status/1288481119667707904
Colton Man,@ColtonEpic,2021-07-05T00:01:17.000Z,excuse me where britain i want tea,,,,,,[],https://twitter.com/ColtonEpic/status/1411837552689127428
BadBoyHalo,@BadBoyHalo,2021-06-15T02:53:22.000Z,Just found out that an Axolotl is not in fact a Pokémon,,,1.1K,1.1K,94.2K,[],https://twitter.com/BadBoyHalo/status/1404633099909177347
Colton Man,@ColtonEpic,2021-07-05T00:24:21.000Z,i was not aware of this information ,,🤔,,,,[],https://twitter.com/ColtonEpic/status/1411843354271301635
Colton Man,@ColtonEpic,2021-07-13T21:00:30.000Z,yes,"yes
0%
no
0%
0 votes
·
Final results",,,,,[],https://twitter.com/ColtonEpic/status/1415053544860930051
Colton Man,@ColtonEpic,2021-07-05T00:33:29.000Z,"эйыы, какие хорошие русскоговорящие",,,,,2,[],https://twitter.com/ColtonEpic/status/1411845654930939905
Colton Man,@ColtonEpic,2021-07-05T00:00:07.000Z,"Replying to 
@burpled",Virginia ,👍,,,,[],https://twitter.com/ColtonEpic/status/1411837259368775685
Colton Man,@ColtonEpic,2021-08-28T15:56:55.000Z,Happy bday :),,,,,,[],https://twitter.com/ColtonEpic/status/1431646986751651840
Colton Man,@ColtonEpic,2021-08-26T16:43:12.000Z,i have clogged the toilet with my test,,,,,,[],https://twitter.com/ColtonEpic/status/1430933859533795337
Colton Man,@ColtonEpic,2021-08-28T23:13:58.000Z,what song will you play at your funeral,,,1,,,[],https://twitter.com/ColtonEpic/status/1431756977303130112
Colton Man,@ColtonEpic,2021-08-06T23:46:23.000Z,epic,,,,,,['https://pbs.twimg.com/media/E8JTygzWUAEsRsl?format=jpg&name=small'],https://twitter.com/ColtonEpic/status/1423792599433895942
Colton Man,@ColtonEpic,2021-08-14T11:45:09.000Z,birb,,,,,,['https://pbs.twimg.com/media/E8v7d3tXIAQWgaw?format=jpg&name=240x240'],https://twitter.com/ColtonEpic/status/1426510198844366851
Colton Man,@ColtonEpic,2021-08-03T21:46:14.000Z,yes people,,,,,,['https://pbs.twimg.com/media/E75bjkbXIAEQ-wx?format=jpg&name=small'],https://twitter.com/ColtonEpic/status/1422675200995479561
Cache't,@Shanah_Cachet,2010-09-21T16:14:41.000Z,The news just said they bouta fix East Cleveland streets & remake the homes... I hope they get all them damn #Cluckes off the street too...,,,1,,,[],https://twitter.com/Shanah_Cachet/status/25131918164
Colton Man,@ColtonEpic,2021-08-28T23:17:02.000Z,jeez this tweet is so old that it's on a black berry,,,,,,[],https://twitter.com/ColtonEpic/status/1431757748476186624
