UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Daneille.,@David807893651,2021-07-26T23:53:05.000Z, My praying mantis is so brutal f*ck.,"0:27
13 views",😳 😳 😳,,,2,[],https://twitter.com/David807893651/status/1419808021740457992
Daneille.,@David807893651,2021-07-27T02:55:11.000Z,It wants to eat my face off. ,,😬,1,,2,['https://pbs.twimg.com/media/E7RVjJHWEAA6PA9?format=jpg&name=small'],https://twitter.com/David807893651/status/1419853849209225217
Daneille.,@David807893651,2021-07-26T03:26:01.000Z,Feeding my King. ,,❤ ❤ ❤,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1419499127386300422/pu/img/rRR3KLWPD9dQJ7V7.jpg'],https://twitter.com/David807893651/status/1419499217488433157
Daneille.,@David807893651,2021-07-26T07:03:27.000Z,Love this movie. Willem Dafoe’s portrayal of the gay police detective is priceless. ,,😂,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1419553807151898628/pu/img/YcEN0dLh95Elf6uP.jpg'],https://twitter.com/David807893651/status/1419553936059604992
Femboy Stocks™,@FemboyStocks,2021-07-27T01:32:14.000Z,Some guy called me a f@g because of my nails.,,,38,8,398,['https://pbs.twimg.com/media/E7RCkItX0AAhg_c?format=jpg&name=small'],https://twitter.com/FemboyStocks/status/1419832973592080423
Daneille.,@David807893651,2021-07-27T02:32:57.000Z,they look great. ,,😘,,,1,[],https://twitter.com/David807893651/status/1419848253269479428
Femboy Cuddles,@Goddesslevel19,2021-07-25T14:04:23.000Z,So erm... y-you wanna cuddle or something ,,😖 😳,14,14,145,['https://pbs.twimg.com/media/E7JbiOYXEAAgXRx?format=jpg&name=small'],https://twitter.com/Goddesslevel19/status/1419297479674277890
Daneille.,@David807893651,2021-07-26T06:46:23.000Z,"What do you mean “or something?”  jk, I’d love to cuddle. ",,😏 😘,,,1,[],https://twitter.com/David807893651/status/1419549644800020480
Trans Girl Geology,@TotallyAFurry_,2021-07-26T01:58:03.000Z,"Replying to 
@TotallyAFurry_",Idk I feel like the left side of head sucks compared to the right idky I'm like that,,3,,12,['https://pbs.twimg.com/media/E7L-4fgXsAMf1Of?format=jpg&name=medium'],https://twitter.com/TotallyAFurry_/status/1419477080677494785
Daneille.,@David807893651,2021-07-26T02:07:40.000Z,You look adorable either way. ,,😘,,,1,[],https://twitter.com/David807893651/status/1419479501780799495
Daneille.,@David807893651,2021-07-27T23:09:48.000Z,"Replying to 
@xX_poyo64_Xx",I already have. Here’s one of my demon spawn molting.,,1,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1420159269194944518/pu/img/vb_CY5UKWpGE-5we.jpg'],https://twitter.com/David807893651/status/1420159514133794817
Charlie TransFem (Lotus arc),@charliemajorfem,2021-07-26T05:20:14.000Z,I'm becoming less and less happy with what I see when I look in the mirror,,,2,,3,[],https://twitter.com/charliemajorfem/status/1419527961741516803
Daneille.,@David807893651,2021-07-27T04:45:05.000Z, Try being 32!,,😂,,,1,[],https://twitter.com/David807893651/status/1419881505405407233
Daneille.,@David807893651,2021-07-27T23:47:04.000Z,"Replying to 
@xX_poyo64_Xx",Here’s another one of my bebes.,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1420168754672152583/pu/img/AfVY5Tq5ZqHgC3a7.jpg'],https://twitter.com/David807893651/status/1420168894635970568
Daneille.,@David807893651,2021-07-25T21:58:36.000Z,,,,,,,['https://pbs.twimg.com/media/E7LIE6WXEAgjHi8?format=jpg&name=small'],https://twitter.com/David807893651/status/1419416822634487812
