UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
ChoppoDong,@ChoppoDong,2021-07-11T23:18:00.000Z,"Who else can overthink the thought of overthinking?  

I can be found on about the 4th level of this one...",,,1,,,[],https://twitter.com/ChoppoDong/status/1414363372301258757
Spence-DFS,@DfsSpence,2021-07-12T03:02:50.000Z,Exactfukingly,GIF,,,,,[],https://twitter.com/DfsSpence/status/1414419955005657089
Spence-DFS,@DfsSpence,2021-07-12T03:19:17.000Z,"Replying to 
@GeekyB",Yes,,,,,[],https://twitter.com/DfsSpence/status/1414424093500321795
jules,@notsocooljules,2021-07-15T21:41:56.000Z,"while y’all are here...let’s talk about something that matters 

fruity pebbles or lucky charms? 

debate in replies",,🤠,107,7,64,[],https://twitter.com/notsocooljules/status/1415788749238194176
Spence-DFS,@DfsSpence,2021-07-16T18:30:55.000Z,Charms for sure but mixing both is aweeeeeeesome,,,,,,[],https://twitter.com/DfsSpence/status/1416103066689024006
Spence-DFS,@DfsSpence,2021-07-16T18:26:39.000Z,"Replying to 
@gonefairys",Scoring,,,,,[],https://twitter.com/DfsSpence/status/1416101992850771974
Spence-DFS,@DfsSpence,2021-07-16T18:25:19.000Z,"Replying to 
@gonefairys",Definitely scoring that sun lamp,,,,1,[],https://twitter.com/DfsSpence/status/1416101657272803332
that blonde from nashville,@thehaileemurphy,2021-07-15T14:54:43.000Z,"you either gotta be a size 00 or have a body like a bottle of hot sauce for these men to find you attractive 

it’s exhausting and I’ll never be either of those things so y’all can take me or leave me I can’t keep up",,🤠,154,48,570,[],https://twitter.com/thehaileemurphy/status/1415686267535233024
Spence-DFS,@DfsSpence,2021-07-16T18:08:41.000Z,Noooope... U r gorgeous and i am pretty positive u r super duper cool,,,,,,[],https://twitter.com/DfsSpence/status/1416097471110029316
Cheesebutt {Kylin Hill Stan},@jamienolastname,2021-07-16T00:28:32.000Z,Im my biggest hater,,🧀,18,4,48,[],https://twitter.com/jamienolastname/status/1415830677283508224
Spence-DFS,@DfsSpence,2021-07-16T18:22:35.000Z,Being own biggest hater helps keep ourselfs in check... Only the positive hating if that makes sense... Thats a double posi to the negi...,,,,,,[],https://twitter.com/DfsSpence/status/1416100968937164800
ChoppoDong,@ChoppoDong,2021-07-17T13:37:33.000Z,"Replying to 
@ChoppoDong","That will do more for you than the obsolete thinking of ""what number usually cashes?""  Focus on what matters.....what you can control.

This is coaching that makes a difference for you.  Check us out -",,2,,1,['https://pbs.twimg.com/card_img/1432309200164622338/IJ56OFTz?format=jpg&name=240x240'],https://twitter.com/ChoppoDong/status/1416391626080014336
Spence-DFS,@DfsSpence,2021-07-18T05:17:18.000Z,I just started playing dfs nba at the beginning of playoffs for first time ever .. No other fantasy island type shit before... After a week i started checcking %'s and i have been finishing top 1%... Tonight had best finish of think 37th ...nothing big but couple bucks but cont,,,,,,[],https://twitter.com/DfsSpence/status/1416628121625890817
