UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Dino Tyner,@Dino_Tyner,2021-01-12T14:33:30.000Z,Much<3 Me and my Little Monkey,,,,,1,['https://pbs.twimg.com/media/EridxcRXMAwzG8s?format=jpg&name=small'],https://twitter.com/Dino_Tyner/status/1349001563612831745
eBay,@eBay,2020-12-31T17:00:01.000Z,"It’s New Year’s Eve 
We're almost done with 2020 and our 10 Days of Giveaways. On day 9, you can win a Rolex Daytona “Panda."" To enter:

1. Comment telling us the priciest watch you own
2. Tag 
@ebay
 and 2 friends
3. Include #ebaywatches and #sweepstakes",,🎉 🎉,1.1K,299,759,['https://pbs.twimg.com/amplify_video_thumb/1344502356998643714/img/O3mANZ5T9Zf41jz0.jpg'],https://twitter.com/eBay/status/1344689780508876803
Dino Tyner,@Dino_Tyner,2021-01-01T15:27:15.000Z,"@ebay
 
Just a beautiful Allen Miller watch.
@S033013
 
@Tracy57806950
 
#ebaywatches #Sweepstakes",,,,,1,[],https://twitter.com/Dino_Tyner/status/1345028824417914880
AT&T Explore,@ATTexplore,2020-12-30T16:02:20.000Z,"Looking forward to 2021? 

Enter for a chance to win a Samsung Galaxy S20 Ultra 5G!

RT or reply to this post by 1/2/21
Tag a friend
And include “New year. New phone!”
And #galaxys20ultra and #attexplore and #sweepstakes

No purchase necessary. Rules: http://bit.ly/galaxys20ultra5gsweeps…",,,1.7K,1.5K,1.2K,['https://pbs.twimg.com/amplify_video_thumb/1344312795354050560/img/QOj52imUB0lPOs7i.jpg'],https://twitter.com/ATTexplore/status/1344312875893010434
Sweeps,@Sweepsgg,2021-01-09T03:00:22.000Z,"I am giving an #iPhone12 or $800 to someone who retweets this and tags a friend. Ends 1/15 at 7 pm pst.

Follow 
@BuyMeACoffee
 + 
@VastGG
 and me to win.

Bonus $100 to the most liked reply. Those liking your reply must follow us to count.

Also, REPLY and RT with #iPhone12Giveaway.",,🍌,11.3K,12.4K,7.7K,['https://pbs.twimg.com/media/ErQiVEaUYAE5VRY?format=jpg&name=small'],https://twitter.com/Sweepsgg/status/1347739968169340931
Dino Tyner,@Dino_Tyner,2021-01-11T03:32:35.000Z,"@S033013
 
This looks awesome.",,,,1,1,[],https://twitter.com/Dino_Tyner/status/1348472851066740739
Sweeps,@Sweepsgg,2021-01-11T02:12:50.000Z,Reply with a  if you want to win this $100 giveaway.,"Sweeps
@Sweepsgg
 · Jan 11
I am giving $100 to one lucky person who retweets my pinned tweet and this within the next 24 hours.

You must follow @Thrilliamneff and me to win.

Bonus $5 to the winner if they have notifications on and tag a friend.
Show this thread",🍌 🍌 🍌,296,40,180,['https://pbs.twimg.com/profile_images/1345046839477768192/b5ciQ_Hu_mini.jpg'],https://twitter.com/Sweepsgg/status/1348452781875548160
Dino Tyner,@Dino_Tyner,2021-01-11T03:37:13.000Z,"@S033013
 
We might have a chance.",,,,,1,[],https://twitter.com/Dino_Tyner/status/1348474017670426636
Dino Tyner,@Dino_Tyner,2021-01-05T13:33:55.000Z,#HTTR,"Washington Football Team
@WashingtonNFL
 · Jan 5
.@youngchase907, @KCurl_2 named to @PFF's All-Rookie Team 

https://washingtonfootball.com/news/chase-young-kamren-curl-pff-2020-all-rookie-team…",💪 💥,,,,['https://pbs.twimg.com/profile_images/1425805705479602180/Rgwdqo3b_mini.jpg'],https://twitter.com/Dino_Tyner/status/1346449852511760384
Dino Tyner,@Dino_Tyner,2021-01-01T16:10:38.000Z,"Replying to 
@SmithworksVodka","@S033013
 
@SmithworksVodka
 #heartlandholiday #smithworkssweepstakes",,1,,1,[],https://twitter.com/Dino_Tyner/status/1345039740471533568
Sweeps,@Sweepsgg,2021-01-18T16:21:19.000Z,"Let’s kick off the day with all saying one thing we are grateful for, I will start. I am grateful for all of you!",,🍌,102,13,242,[],https://twitter.com/Sweepsgg/status/1351203023905763329
Dino Tyner,@Dino_Tyner,2021-01-18T16:37:59.000Z,"Grateful for my Family and that I can still walk, slowly and painfully but walk. Much  & Respect.",,❤,,,,[],https://twitter.com/Dino_Tyner/status/1351207217123495938
Dino Tyner,@Dino_Tyner,2021-01-30T05:28:12.000Z,"Replying to 
@Sweepsgg
 @Oly245
 and 
@treasurestorage",@S033013,,,,1,[],https://twitter.com/Dino_Tyner/status/1355387315011678211
Dino Tyner,@Dino_Tyner,2021-01-24T05:16:13.000Z,"Replying to 
@Sweepsgg",@S033013,,,,1,[],https://twitter.com/Dino_Tyner/status/1353209974281953281
AT&T Explore,@ATTexplore,2021-02-12T16:01:17.000Z,"Enter for a chance to win these power accessories!

RT or Reply to this post by 2/14/21
Tag a friend
Include “I love my phone”
and #attexplore and #sweepstakes

No purch necessary. Rules: http://exp.att.com/70d6cb74","0:43
8.6K views",,1K,843,825,[],https://twitter.com/ATTexplore/status/1360257679688671232
Dino Tyner,@Dino_Tyner,2021-02-13T01:45:52.000Z,"@S033013
 
I love my phone
#attexplore 
#sweepstakes",,,,,2,[],https://twitter.com/Dino_Tyner/status/1360404794385522689
Dino Tyner,@Dino_Tyner,2021-02-02T15:12:18.000Z, ‘The Walking Dead’ Extended 10th Season To Debut On AMC+ Ahead Of Linear Premiere – Deadline,"‘The Walking Dead’ Extended 10th Season To Debut On AMC+ Ahead Of Linear Premiere; New Images...
'The Walking Dead' Extended 10th Season To Debut On AMC+ Ahead Of Linear Premiere; New Images Unveiled
deadline.com",😃,,,,['https://pbs.twimg.com/card_img/1430637815583420424/tAAigHoZ?format=jpg&name=small'],https://twitter.com/Dino_Tyner/status/1356621471896985601
AT&T Explore,@ATTexplore,2021-02-05T16:01:07.000Z,"Enter for a chance to win a $300 AT&T Visa Reward Card!

RT or reply to this post by 2/7/21
Tag a friend
And include “sweet deals” and http://att.com/valentinesday
And #attexplore and #sweepstakes

No purch necessary. Rules: http://bit.ly/vdayattdealsweeps…",,,1.3K,1.2K,1K,['https://pbs.twimg.com/amplify_video_thumb/1357720893259194368/img/2THra2MznAK1xzSF.jpg'],https://twitter.com/ATTexplore/status/1357720922812256256
Dino Tyner,@Dino_Tyner,2021-01-31T21:28:46.000Z,"Replying to 
@ATTexplore",,,,,1,['https://pbs.twimg.com/tweet_video_thumb/EtFzBYPXEAQI4T5.jpg'],https://twitter.com/Dino_Tyner/status/1355991437058437121
Dino Tyner,@Dino_Tyner,2021-02-09T12:41:29.000Z,"Replying to 
@TMobile",#TMobileTuesdays #contest,,,,,[],https://twitter.com/Dino_Tyner/status/1359120232879697920
Dino Tyner,@Dino_Tyner,2021-01-31T18:19:54.000Z,"@GameFuel
 
 #GameFuelPS5Sweepstakes","MTN DEW GAME FUEL
@GameFuel
 · Jan 29
A new year means new gear. Follow the steps below to enter for a chance to win 1 of 20 PS5 consoles.
-Follow @GameFuel
-Like this post
-QRT this post using #GameFuelPS5Sweepstakes

(US residents 18+. Ends 1/31/21. Full Rules: http://bit.ly/GFPS52021)",,,,,"['https://pbs.twimg.com/profile_images/1419995027732893720/Gx8Oo-pX_mini.png', 'https://pbs.twimg.com/media/Es7JAdvXYAAhx7v?format=jpg&name=small']",https://twitter.com/Dino_Tyner/status/1355943907964674048
Dino Tyner,@Dino_Tyner,2021-02-11T03:31:17.000Z,"Replying to 
@LAYS",,💋,,,,[],https://twitter.com/Dino_Tyner/status/1359706547845292043
Dino Tyner,@Dino_Tyner,2021-01-31T05:31:32.000Z,"Replying to 
@Sweepsgg
 @buymeacoffee
 and 
@VastGG",@S033013,,,,,[],https://twitter.com/Dino_Tyner/status/1355750541939384320
