UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Drumi Stoyanov,@Drumiskl,2021-01-28T21:01:15.000Z,"Replying to 
@WSBChairman",Etoro too,,,,,[],https://twitter.com/Drumiskl/status/1354897347185143815
JRNY Crypto,@JRNYcrypto,2021-05-16T20:05:50.000Z,Everyone wave goodbye to all the short minded weak hands that just exited,,,492,792,8.4K,[],https://twitter.com/JRNYcrypto/status/1394021293893115906
Drumi Stoyanov,@Drumiskl,2021-05-16T20:11:17.000Z,What are your top buys this dip?,,,,,,[],https://twitter.com/Drumiskl/status/1394022662696062980
Drumi Stoyanov,@Drumiskl,2021-06-12T17:40:49.000Z,"Replying to 
@APompliano",Elon?,,,,1,[],https://twitter.com/Drumiskl/status/1403769271969357825
Drumi Stoyanov,@Drumiskl,2021-05-31T19:57:36.000Z,"Replying to 
@JRNYcrypto",$ZIL,,,,,[],https://twitter.com/Drumiskl/status/1399455036946665477
Elon Musk,@elonmusk,2021-06-25T11:03:04.000Z,My Shiba Inu will be named Floki,,,39K,45.1K,302.8K,[],https://twitter.com/elonmusk/status/1408380216653844480
Drumi Stoyanov,@Drumiskl,2021-06-25T11:06:11.000Z,He needs some fast money again,,,,,,[],https://twitter.com/Drumiskl/status/1408381001873694725
Drumi Stoyanov,@Drumiskl,2021-06-22T14:56:38.000Z,"Replying to 
@TheMoonCarl",,🐂,,,1,[],https://twitter.com/Drumiskl/status/1407351830720491522
Gary Vaynerchuk,@garyvee,2021-08-24T21:53:19.000Z,"in a mood :) !

If u need a Fre NFT to get started in this crazy world and have a Wallet but nothing in it, please reply with your ETH address and ill send a few of you some of the stuff I've minted in the last few weeks 

#randomActsOfKindness Matter ! #nft ",,💓,7.2K,1.3K,7.3K,[],https://twitter.com/garyvee/status/1430287126885720086
Drumi Stoyanov,@Drumiskl,2021-08-24T22:01:59.000Z,Very kind from you    0x3F6a541fbb5Fe8359A17d5a9526756E5E8Ab16dE,,,,,,[],https://twitter.com/Drumiskl/status/1430289309026897922
Drumi Stoyanov,@Drumiskl,2021-08-26T11:41:28.000Z,"Replying to 
@mikemajlak
 and 
@0n1Force","I found a NFT project you might be interested in cuz I know your history and I know you support mentally ill people. The project is called Lostboy NFT https://lostboy.io 
@lostboyNFT
.
  It launched yesterday.",,,,1,[],https://twitter.com/Drumiskl/status/1430857927632564231
Drumi Stoyanov,@Drumiskl,2021-08-28T14:19:16.000Z,"Replying to 
@AlmondStar3",@lostboyNFT,,,,,[],https://twitter.com/Drumiskl/status/1431622414589378561
Drumi Stoyanov,@Drumiskl,2021-08-27T12:17:15.000Z,"Replying to 
@DanilPoletykin",,,,1,1,['https://pbs.twimg.com/card_img/1433111726086520832/ivB9aA3Y?format=jpg&name=medium'],https://twitter.com/Drumiskl/status/1431229321948106757
Drumi Stoyanov,@Drumiskl,2021-08-27T12:06:11.000Z,"Replying to 
@nftgallery_art",@lostboyNFT,,,,,['https://pbs.twimg.com/card_img/1433111726086520832/ivB9aA3Y?format=jpg&name=medium'],https://twitter.com/Drumiskl/status/1431226533780283392
Drumi Stoyanov,@Drumiskl,2021-08-28T14:16:59.000Z,"Replying to 
@nftgallery_art",@lostboyNFT,,,,,[],https://twitter.com/Drumiskl/status/1431621841483976710
Drumi Stoyanov,@Drumiskl,2021-08-27T12:09:22.000Z,"Replying to 
@adamhd8",,,,,1,['https://pbs.twimg.com/card_img/1433111726086520832/ivB9aA3Y?format=jpg&name=medium'],https://twitter.com/Drumiskl/status/1431227335131475969
Drumi Stoyanov,@Drumiskl,2021-08-27T18:50:03.000Z,"Replying to 
@nftgallery_art",@lostboyNFT,,,,,[],https://twitter.com/Drumiskl/status/1431328172646309891
