UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-21T00:51:57.000Z,#新個人資料相片,,,,,1,['https://pbs.twimg.com/media/EsN4CmXVQAAz5Xq?format=jpg&name=small'],https://twitter.com/EhPq9ogccnKoDr1/status/1352056301883326464
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-28T06:18:26.000Z,2021加油！！！,,,,,1,['https://pbs.twimg.com/media/EszF5kCUUAEbCeT?format=jpg&name=small'],https://twitter.com/EhPq9ogccnKoDr1/status/1354675183148101633
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-27T04:42:07.000Z,祈願友緣平安順利,,,,,1,['https://pbs.twimg.com/media/EstmQoEU0AAotna?format=jpg&name=small'],https://twitter.com/EhPq9ogccnKoDr1/status/1354288554675904520
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-23T07:56:06.000Z,加入了！台灣興聖宮當委員，感到開心,,,,,2,['https://pbs.twimg.com/media/EsZsR8hUcAIcJP3?format=jpg&name=small'],https://twitter.com/EhPq9ogccnKoDr1/status/1352887821237772290
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-18T11:32:38.000Z,我在科技落後的台灣需要幫助SOS,,,,,1,['https://pbs.twimg.com/media/EsAt5BxXMAEif9Z?format=jpg&name=medium'],https://twitter.com/EhPq9ogccnKoDr1/status/1351130375536463877
拜登总统中文同步,@joebidenchina,2021-01-26T01:34:47.000Z,我相信，世界上没有比美国人的辛勤工作和创造力更大的经济引擎。今天的“购买美国行政命令”将投资于美国工业的未来，并确保工人受到应有的尊严和尊重。,"President Biden
@POTUS
United States government official
 · Jan 25
I believe there’s no greater economic engine in the world than the hard work and ingenuity of the American people. Today’s Buy American Executive Order will invest in the future of American industry and ensure workers are treated with the dignity and respect they deserve.",,1,,2,"['https://pbs.twimg.com/profile_images/1380530524779859970/TfwVAbyX_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/EsnMd_nXYAAwjyz?format=jpg&name=small']",https://twitter.com/joebidenchina/status/1353879020589334528
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-26T12:10:44.000Z,對啊！拜登總統，工人也是人，雖然一樣米養千萬億人，可是工人在社會上也是有血汗的付出，謝謝你,,,,,1,['https://pbs.twimg.com/media/EsqDHngUYAAjxwl?format=jpg&name=900x900'],https://twitter.com/EhPq9ogccnKoDr1/status/1354039062978433024
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-29T02:06:54.000Z,"Replying to 
@POTUS",好總統，讚,,,,1,[],https://twitter.com/EhPq9ogccnKoDr1/status/1354974266953883649
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-19T09:40:33.000Z,"Replying to 
@joebidenchina",加油,,1,,,[],https://twitter.com/EhPq9ogccnKoDr1/status/1351464556481003523
李易柏0906-912556,@EhPq9ogccnKoDr1,2021-01-19T09:36:32.000Z,"@joebidenchina
 我相信你會帶來真正的中西文化交流，加油！",,,,,,[],https://twitter.com/EhPq9ogccnKoDr1/status/1351463543879569408
