UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lá na treta do Martins,@Fael__Martins,2021-01-23T22:33:54.000Z,nunca mais quero passar por uma situação dessa,,,,,,[],https://twitter.com/Fael__Martins/status/1353108726950072321
Lá na treta do Martins,@Fael__Martins,2021-01-12T09:30:11.000Z,Sonho de consumo é isso aqui ó!!!!,"ig: igormp
@bacurigor
 · Jan 9
Amo morar num lugar que me permite fazer a feira com 80 reais.
Show this thread",,,,1,"['https://pbs.twimg.com/profile_images/1421973301220585477/_tLxml1t_mini.jpg', 'https://pbs.twimg.com/media/ErTBITqXcAAs0Ij?format=jpg&name=360x360', 'https://pbs.twimg.com/media/ErTBITqXUAEIFz_?format=jpg&name=360x360']",https://twitter.com/Fael__Martins/status/1348925232296423424
Lá na treta do Martins,@Fael__Martins,2021-01-03T21:23:45.000Z,"Replying to 
@cncowitcher",baunilha com doce de Leite !! Fim,,,,,[],https://twitter.com/Fael__Martins/status/1345843314336083968
Lá na treta do Martins,@Fael__Martins,2021-02-17T00:47:24.000Z,"Replying to 
@nathfinancas","67,3%",,,,,[],https://twitter.com/Fael__Martins/status/1361839629364826115
Lá na treta do Martins,@Fael__Martins,2021-03-24T13:37:33.000Z,teste de covid é a pior sensação que vc pode sentir pqp,,,,,,[],https://twitter.com/Fael__Martins/status/1374717020890095619
Lá na treta do Martins,@Fael__Martins,2021-04-27T19:42:15.000Z,"Dinheiro vivo

humanidade morta !!!",,,,,,[],https://twitter.com/Fael__Martins/status/1387129989108273155
Lá na treta do Martins,@Fael__Martins,2021-04-25T12:58:12.000Z,vih tube vai sair com 94% dos votos kkkk,,,,,1,[],https://twitter.com/Fael__Martins/status/1386303530508558341
Lá na treta do Martins,@Fael__Martins,2021-04-02T23:54:11.000Z,Paguei 85 reais no gás agora pouco ser adulto nunca foi tão difícil!!!!!!,,,,,,[],https://twitter.com/Fael__Martins/status/1378133693248774146
Lá na treta do Martins,@Fael__Martins,2021-04-01T21:10:14.000Z,E.E .João Lopes Gontijo certeza kkkkkkk,"luiz h
@OluiZHenrique7
 · Mar 31
parece um monte de escola",,,,,"['https://pbs.twimg.com/profile_images/1394319477618225159/O0mdlnkt_mini.jpg', 'https://pbs.twimg.com/media/ExxvSBYVEAcUsq2?format=jpg&name=small']",https://twitter.com/Fael__Martins/status/1377730045330997250
Lá na treta do Martins,@Fael__Martins,2021-04-30T23:14:48.000Z,Parece suco de goiaba da Vilma kkkkkkk,"Andonia
@andohood
 · Apr 29
Senegal pink lake",,,,1,"['https://pbs.twimg.com/profile_images/1424999431124967435/pqn0Sct7_mini.jpg', 'https://pbs.twimg.com/media/E0H1Q3TXEAA05qy?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0H1Q3wWQAIs9HG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0H1Q3kXoAE1grO?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E0H1Q35WYAI9zko?format=jpg&name=360x360']",https://twitter.com/Fael__Martins/status/1388270640776589316
Lá na treta do Martins,@Fael__Martins,2021-04-07T22:00:43.000Z,"Replying to 
@Ronald_Silva0","@luizamarialuu
 kkkkkkk",,1,,1,[],https://twitter.com/Fael__Martins/status/1379917076316487680
Lá na treta do Martins,@Fael__Martins,2021-04-27T01:05:28.000Z,"Replying to 
@QuebrandoOTabu","@luizamarialuu
 kk",,1,,1,[],https://twitter.com/Fael__Martins/status/1386848938960080901
Lá na treta do Martins,@Fael__Martins,2021-04-20T20:52:57.000Z,"Replying to 
@iEuWesley98","@luizamarialuu
  ",😁,1,,1,[],https://twitter.com/Fael__Martins/status/1384611065951137792
Lá na treta do Martins,@Fael__Martins,2021-05-29T23:18:10.000Z,Semana cansativa pra caralho!!!,,,,,,[],https://twitter.com/Fael__Martins/status/1398780737818562560
Lá na treta do Martins,@Fael__Martins,2021-05-21T23:30:08.000Z,todo mundo da equipe do trampo que entrou junto cmg saiu .. só restou eu pqp!!,,,,,1,[],https://twitter.com/Fael__Martins/status/1395884644252454914
Lá na treta do Martins,@Fael__Martins,2021-05-19T01:52:40.000Z,essa obra na vilarinho ta foda .. 1h30 pra  chegar em casa do trampo slc!!!,,,,,,[],https://twitter.com/Fael__Martins/status/1394833351043858438
Lá na treta do Martins,@Fael__Martins,2021-05-12T23:30:35.000Z,Essa semana tá tão cansativa e ao mesmo tempo tenho que ser grato pelo meu trampo !!!,,,,,,[],https://twitter.com/Fael__Martins/status/1392623267060535296
Lá na treta do Martins,@Fael__Martins,2021-06-20T09:50:27.000Z,Domingo 06h51 ,,😴,,,,[],https://twitter.com/Fael__Martins/status/1406549999752732674
Lá na treta do Martins,@Fael__Martins,2021-06-24T09:41:30.000Z,06h42,,😴,,,,[],https://twitter.com/Fael__Martins/status/1407997302694895616
Lá na treta do Martins,@Fael__Martins,2021-06-19T00:26:21.000Z,Que frio é esse pqp,,,,,,[],https://twitter.com/Fael__Martins/status/1406045651469807624
