UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Marina101902,@marina101902,2021-03-24T18:15:49.000Z,"Comunque in riferimento al mio tweet sull’amicizia tra un uomo e una donna  , non è che TUTTI gli uomini pensano solo a scopare eh , ci sono anche gli uomini che ti vogliono bene a prescindere .",,💎,105,37,372,[],https://twitter.com/marina101902/status/1374787049371353091
FedericoLavagna,@FedericoLavagn1,2021-03-25T13:41:58.000Z,Quando si scopa si ama e si vuole bene. Scopare è Amare.,,,,,,[],https://twitter.com/FedericoLavagn1/status/1375080520409870339
FedericoLavagna,@FedericoLavagn1,2021-04-07T09:58:19.000Z,ANCORA LA GENTE NON HA CAPITO .... MA VERRÀ IL TEMPO CHE CAPIRÀ BASTA ASPETTARE E NON MANGERÀ LE BRIOCHE,,,,2,3,['https://pbs.twimg.com/media/EyXN7TAWQAE_7DE?format=jpg&name=small'],https://twitter.com/FedericoLavagn1/status/1379735281243394050
FedericoLavagna,@FedericoLavagn1,2021-04-01T08:19:28.000Z,I propri Santi si pregano in privato non si deve fare ostentazione di cose religiose in spazi condominiali,"VitoGeneroso bis
@VitoGenerosoBis
 · Mar 31
Nel piccolo giardinetto del mio condominio Ho messo una piccola statuetta di San Pio con dei fiori perché devoto, un vicino di casa mi ha detto di toglierla perché ateo e urta la sua sensibilità.  Io gli ho risposto di andare affanculo...Che dite? sono stato scortese?  ",🙄,,,1,['https://pbs.twimg.com/profile_images/1422145059785478144/-KZv_jrJ_mini.jpg'],https://twitter.com/FedericoLavagn1/status/1377536075330154497
FedericoLavagna,@FedericoLavagn1,2021-04-14T09:26:14.000Z,Nessuno può essere al disopra della Legge. La Sovranità è del Popolo espressa tramite il Parlamento Sovrano. Studiate gente non siate servi dei prepotenti,"Michele Bordo
@bordomichele
 · Apr 13
Inaccettabile la proposta della #destra di una commissione di inchiesta parlamentare sul lavoro dei magistrati. Non si è mai vista un'indagine del Parlamento su un altro potere dello Stato. Da noi la magistratura è indipendente. Siamo in Italia non in Ungheria.",,,,4,['https://pbs.twimg.com/profile_images/1272872082599292929/poCuCEnE_mini.jpg'],https://twitter.com/FedericoLavagn1/status/1382263920044470273
•𝐅𝐚𝐛𝐲•,@_NonDirmelo_,2021-04-03T08:22:45.000Z,"•
Le tette danno fastidio solo a chi non le ha!
Le altre non ci fanno neanche caso!",,,61,26,269,[],https://twitter.com/_NonDirmelo_/status/1378261677251174401
FedericoLavagna,@FedericoLavagn1,2021-04-03T19:52:53.000Z,Sono il più bel simbolo della femminilità e della maternità.⚘⚘⚘,,,,,,[],https://twitter.com/FedericoLavagn1/status/1378435355414818816
FedericoLavagna,@FedericoLavagn1,2021-04-03T19:50:55.000Z,"Replying to 
@MaryamSenada",Grazie,,,,,[],https://twitter.com/FedericoLavagn1/status/1378434860436631553
FedericoLavagna,@FedericoLavagn1,2021-04-04T17:40:22.000Z,"Replying to 
@MaryamSenada",Grazie e Buona Pasqua,,,,1,[],https://twitter.com/FedericoLavagn1/status/1378764395258515456
FedericoLavagna,@FedericoLavagn1,2021-05-21T13:34:10.000Z,"Replying to 
@crisscolfereyes",Sono i tuoi gusti schifosi,,1,,,[],https://twitter.com/FedericoLavagn1/status/1395734664304893953
FedericoLavagna,@FedericoLavagn1,2021-05-27T09:11:55.000Z,"Non esiste azienda che rispetti le norme antinfortunistiche. Quando succede l'infortunio arriva l'ispettore competente abbracci,  pranzi e per premio la sponsorizzazione di qualche società sportiva o di ..... beneficenza........","Marco Marchese #OndaCivica #FBPE
@Marchese_OC
 · May 26
Avevo 20 anni, assunto interinale in fabbrica, dopo 2 settimane mi affidarono un macchiario. La prima cosa che mi insegnarono fu come disattivare il dispositivo di sicurezza per aumentare la produttività. 
Dio solo sa come feci a non perdere mai un braccio. 
Per la produttività",🌊 🌊 🌊 🐧,,1,3,['https://pbs.twimg.com/profile_images/1384897162291683338/Qi-LIJix_mini.jpg'],https://twitter.com/FedericoLavagn1/status/1397842997484605441
