UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Flexcart,@Flexcart1,2021-07-28T17:19:48.000Z,Welcome to FLEXCART,,,,,,['https://pbs.twimg.com/media/E7ZlCHeXMA0t3wn?format=jpg&name=medium'],https://twitter.com/Flexcart1/status/1420433824597544963
Flexcart,@Flexcart1,2021-07-23T11:53:24.000Z,,,,,,,['https://pbs.twimg.com/media/E6-qX_hX0AUvFJZ?format=jpg&name=small'],https://twitter.com/Flexcart1/status/1418539743135023108
Flexcart,@Flexcart1,2021-07-28T16:21:16.000Z,,,,,,,['https://pbs.twimg.com/media/E7ZXofhWEAUFO3I?format=jpg&name=900x900'],https://twitter.com/Flexcart1/status/1420419090905288706
Flexcart,@Flexcart1,2021-07-28T17:45:39.000Z,,,,,,,['https://pbs.twimg.com/media/E7Zq8gaWYAQUlvK?format=jpg&name=small'],https://twitter.com/Flexcart1/status/1420440327362592770
Flexcart,@Flexcart1,2021-07-28T16:14:09.000Z,https://instagram.com/reel/CR2iwlbhoYT/?utm_medium=share_sheet…,,,,,,[],https://twitter.com/Flexcart1/status/1420417300533059584
Flexcart,@Flexcart1,2021-07-28T17:24:37.000Z,https://instagram.com/p/CR4QhLbskFb/?utm_medium=share_sheet…,,,,,,[],https://twitter.com/Flexcart1/status/1420435036390797314
Flexcart,@Flexcart1,2021-07-23T13:59:47.000Z,"Replying to 
@espn",DameDollar,,,,,[],https://twitter.com/Flexcart1/status/1418571548751958022
Flexcart,@Flexcart1,2021-08-28T14:49:40.000Z,WAKANDA FOREVER!!!,,,,,,['https://pbs.twimg.com/media/E94r9GwWEAQs4pa?format=jpg&name=small'],https://twitter.com/Flexcart1/status/1431630062843990017
Flexcart,@Flexcart1,2021-08-28T14:46:38.000Z,HBCU.....ALL DAY,,,,,,[],https://twitter.com/Flexcart1/status/1431629301024231429
Flexcart,@Flexcart1,2021-08-18T07:43:04.000Z,Long story short....I need $10M.,,,,,,[],https://twitter.com/Flexcart1/status/1427898829500817414
Flexcart,@Flexcart1,2021-08-22T01:36:45.000Z,"Bring back the ""office "" please",,,,,,[],https://twitter.com/Flexcart1/status/1429256193634185221
Flexcart,@Flexcart1,2021-08-18T07:29:46.000Z,"Me: I wanna travel 
Bank account: where? Upstairs",,,,,,[],https://twitter.com/Flexcart1/status/1427895479724126211
