UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Foz Knows,@FozKnows,2021-01-30T16:16:38.000Z,Hi #FirstTweet,,,,,,['https://pbs.twimg.com/media/Es_h9A3XMAMXGUX?format=jpg&name=small'],https://twitter.com/FozKnows/status/1355550499999801344
The Foz Knows,@FozKnows,2021-02-13T15:33:22.000Z,"Caturday, amirite #kevinthecat",,,,,,['https://pbs.twimg.com/media/EuHeWHFXUAQXGEA?format=jpg&name=small'],https://twitter.com/FozKnows/status/1360613040819945474
The Foz Knows,@FozKnows,2021-02-18T23:38:33.000Z,"I didn’t mind shoveling snow, but I did mind falling down the stairs and bruising my arm and back  P.S. This is only after an hour ",,🤬 😵,,,,['https://pbs.twimg.com/media/Eui9VitXIAINXZR?format=jpg&name=small'],https://twitter.com/FozKnows/status/1362547078573006849
"Lady Glaucomflecken, M.A. (she/her)",@LGlaucomflecken,2021-02-06T18:10:12.000Z,I am working on a talk for physician spouses about my experience switching roles with the dr in this family and saving his life. Does anyone have resources for learning CPR during a pandemic? Are trainings still happening? Are there groups people should know about?,GIF,,75,48,790,['https://pbs.twimg.com/tweet_video_thumb/Etj_HaSUcAMN1f6.jpg'],https://twitter.com/LGlaucomflecken/status/1358115795687985152
The Foz Knows,@FozKnows,2021-02-06T18:55:07.000Z,I did a hybrid course with the Red Cross in December - mostly online and then 30 minutes in a classroom with social distancing.,,,,,2,[],https://twitter.com/FozKnows/status/1358127095919087616
Nickelodeon,@Nickelodeon,2021-05-28T13:15:33.000Z,which are you ordering?  #NationalBurgerDay,,🍔,62,64,493,['https://pbs.twimg.com/media/E2ekJovX0AI6r9g?format=jpg&name=small'],https://twitter.com/Nickelodeon/status/1398266697430282242
The Foz Knows,@FozKnows,2021-05-29T03:56:20.000Z,Extra pickles!!,,,,,,[],https://twitter.com/FozKnows/status/1398488353666895874
Food Network,@FoodNetwork,2021-06-18T14:21:21.000Z,you can only pick one forever: hard tacos or soft tacos? (we love u tacos sorry about this),,,530,339,933,"['https://pbs.twimg.com/media/E4K7F7NXMAc3aZH?format=jpg&name=small', 'https://pbs.twimg.com/media/E4K7F7iXMAsXiPz?format=jpg&name=small']",https://twitter.com/FoodNetwork/status/1405893401023860739
The Foz Knows,@FozKnows,2021-06-18T15:42:03.000Z,Or you can do both! Hard shell in the soft shell ,,😋,,,,[],https://twitter.com/FozKnows/status/1405913708694474755
Aadil Bharwani,@AadilBharwani,2021-06-18T15:30:59.000Z,"Replying to 
@DGlaucomflecken","Totally, hate when that happens",,1,,2,[],https://twitter.com/AadilBharwani/status/1405910923571875844
The Foz Knows,@FozKnows,2021-06-18T15:47:05.000Z,You need a prop briefcase for TikToks on the go!,,,,,1,[],https://twitter.com/FozKnows/status/1405914974053093377
The Foz Knows,@FozKnows,2021-07-02T03:06:15.000Z,Just realized my favorite works shoes that I thought were charcoal gray are actually *navy* #mylifeisalie,,,,,,[],https://twitter.com/FozKnows/status/1410796935292895236
Alex Hirsch,@_AlexHirsch,2021-06-30T16:01:06.000Z,"Replying to 
@_AlexHirsch",I have one right now and it feels like a funny metaphor that I can’t think of because I’m in pain,,63,16,1.7K,[],https://twitter.com/_AlexHirsch/status/1410267156923621377
The Foz Knows,@FozKnows,2021-07-01T00:09:55.000Z,"ER doc also recommended all of that with Benadryl but it knocked me on my ass and I literally couldn’t move, but no pain ",,,,,,[],https://twitter.com/FozKnows/status/1410390174010380293
The Foz Knows,@FozKnows,2021-07-01T00:09:00.000Z,"Replying to 
@_AlexHirsch","Tylenol + ibuprofen + caffeine, you can make your own migraine cocktail similar to Fiorcet.  Just be careful with Tylenol if you take extra strength your liver can handle about 4g (4 doses of (2) 500 mg pills, 6 doses with 325 mg pills) in 24 hours.",,,,,[],https://twitter.com/FozKnows/status/1410389941708890118
"Sass, MD",@mcsassymd,2021-07-29T18:49:32.000Z,I shit you not it's called the,"Pooping duck sign | Radiology Reference Article | Radiopaedia.org
Pooping duck sign indicates the presence of a triquetral fracture on a lateral wrist radiograph, where an avulsed fracture fragment from the dorsal cortex of the triquetrum projects along the dorsal...
radiopaedia.org",,2,7,38,['https://pbs.twimg.com/card_img/1433076653861736453/m_w_s4G1?format=jpg&name=small'],https://twitter.com/mcsassymd/status/1420818793920663556
The Foz Knows,@FozKnows,2021-07-29T23:35:30.000Z,My favorite fracture! I love teaching it to my x-ray students because they think it’s just something I made up lol,,,,,2,[],https://twitter.com/FozKnows/status/1420890757481828364
