UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
CORTLAND,@Fujiforker,2021-01-19T03:07:49.000Z,Lol not surprised! 7-1 Denika #WeakestLink,,,,1,1,[],https://twitter.com/Fujiforker/status/1351365718168772611
CORTLAND,@Fujiforker,2021-01-12T03:01:27.000Z,#WeakestLink time baybay!!!,,,,,1,[],https://twitter.com/Fujiforker/status/1348827404073136129
CORTLAND,@Fujiforker,2021-01-12T03:26:55.000Z,Whoa that was a very diverse round of voting #WeakestLink,,,,1,4,[],https://twitter.com/Fujiforker/status/1348833812453666818
CORTLAND,@Fujiforker,2021-01-19T03:59:07.000Z,"3/10 correct in the final round. Yup, sounds about right. #WeakestLink",,,1,1,3,[],https://twitter.com/Fujiforker/status/1351378631776468996
CORTLAND,@Fujiforker,2021-01-12T03:32:27.000Z,Jasmine yous a bitchhh #WeakestLink,,,,1,4,[],https://twitter.com/Fujiforker/status/1348835202987077632
CORTLAND,@Fujiforker,2021-01-19T03:40:20.000Z,I think these fools have blown more money than they’ve banked  #WeakestLink,,💰 💸 💸,,1,2,[],https://twitter.com/Fujiforker/status/1351373901557862400
CORTLAND,@Fujiforker,2021-01-12T03:15:13.000Z,"Alright Shikha’s a dumbass, please get rid of her #WeakestLink",,,1,,2,[],https://twitter.com/Fujiforker/status/1348830867414790145
CORTLAND,@Fujiforker,2021-01-12T03:51:47.000Z,Yes! At least we get a ‘Titanic’ reference #WeakestLink,,😁,,,1,[],https://twitter.com/Fujiforker/status/1348840071311585281
CORTLAND,@Fujiforker,2021-01-19T03:16:52.000Z,Not knowing a Jane Lynch answer is 2 for 2 getting people kicked off the show! #WeakestLink,,,,1,2,[],https://twitter.com/Fujiforker/status/1351367995998801920
CORTLAND,@Fujiforker,2021-01-26T03:04:47.000Z,#WeakestLink is a rerun tonight. So hiho hiho it’s off to bed I go.,,,,,,[],https://twitter.com/Fujiforker/status/1353901670347005952
CORTLAND,@Fujiforker,2021-01-19T03:48:06.000Z,"The people in this #WeakestLink episode weren’t the most unlikable, but they were by far the dumbest",,,,1,3,[],https://twitter.com/Fujiforker/status/1351375858452361221
CORTLAND,@Fujiforker,2021-01-21T00:46:59.000Z,"Really, none of the geniuses on #Jeopardy know Huey Lewis And The News sings ‘The Power of Love’ or Jack Nicholson’s character in One Flew Over the Cuckoo’s Nest?? I’m done ",,,,1,,[],https://twitter.com/Fujiforker/status/1352055052995883008
Kevin Zheng,@krzheng3150,2021-01-19T03:59:58.000Z,"Replying to 
@Fujiforker",Still better than Episode 9's 1/10 #WeakestLink,,1,1,2,[],https://twitter.com/krzheng3150/status/1351378844385763335
CORTLAND,@Fujiforker,2021-01-19T04:02:27.000Z,"Very true. If I remember, the smart ones got voted out early and 2 completely unlikable morons were left.",,,1,,1,[],https://twitter.com/Fujiforker/status/1351379468246507526
CORTLAND,@Fujiforker,2021-01-12T03:39:32.000Z,#WeakestLink,,,,,1,['https://pbs.twimg.com/media/ErgIF5sXIAUnHsi?format=jpg&name=small'],https://twitter.com/Fujiforker/status/1348836988825325568
CORTLAND,@Fujiforker,2021-02-02T03:06:02.000Z,"$2,000  Boy this episode is gonna suck #WeakestLink",,,,2,2,[],https://twitter.com/Fujiforker/status/1356438699479867392
CORTLAND,@Fujiforker,2021-02-02T03:49:48.000Z,Poor Joe. Saw that coming a mile away #WeakestLink,,,,1,3,[],https://twitter.com/Fujiforker/status/1356449713701220354
CORTLAND,@Fujiforker,2021-02-02T03:03:59.000Z,"I know it’s hella early but, bye bye Ashley #WeakestLink",,,,,1,[],https://twitter.com/Fujiforker/status/1356438184197033986
CORTLAND,@Fujiforker,2021-02-02T03:59:13.000Z,"Wow Glen with the comeback! Nice, he was my fav tonight.  #WeakestLink",,,,,3,[],https://twitter.com/Fujiforker/status/1356452084892188673
CORTLAND,@Fujiforker,2021-02-02T03:42:32.000Z,I’d really appreciate a Glen and Joe final round. #WeakestLink,,,1,,2,[],https://twitter.com/Fujiforker/status/1356447885525741568
CORTLAND,@Fujiforker,2021-04-01T23:57:14.000Z,"What in the hell is an ANTIDISESTABLISHMENTARIAN!?

#Jeopardy",,,,,1,[],https://twitter.com/Fujiforker/status/1377772070633926660
CORTLAND,@Fujiforker,2021-07-19T00:45:28.000Z,"Replying to 
@EvelDick",16,,,,,[],https://twitter.com/Fujiforker/status/1416922102167449604
CORTLAND,@Fujiforker,2021-08-24T16:20:15.000Z,"Replying to 
@janemarielynch",ASMR,,,,,[],https://twitter.com/Fujiforker/status/1430203307730083842
