UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Linus Good,@GoodLinus,2021-01-21T21:53:16.000Z, at home to Burnley against all team!!,,😂 😂 😂 😂 😂 😂,,,,[],https://twitter.com/GoodLinus/status/1352373723710558208
Linus Good,@GoodLinus,2021-01-18T20:39:15.000Z,"Replying to 
@footballqueeen",I mean it even close:)#SirAlex,,,,,[],https://twitter.com/GoodLinus/status/1351267935160049664
Linus Good,@GoodLinus,2021-01-16T17:55:45.000Z,I have a soft spot for Fulham so I hope they stay up! They have a good chance to get something here Chelsea aren’t all that,,,1,,,[],https://twitter.com/GoodLinus/status/1350502012866191360
Linus Good,@GoodLinus,2021-01-27T22:06:21.000Z,Well done city on winning the league fucking shit show,,,2,,,[],https://twitter.com/GoodLinus/status/1354551346096181251
Linus Good,@GoodLinus,2021-01-21T21:54:10.000Z,I always thought Burnley is a smashing team :),,,1,,,[],https://twitter.com/GoodLinus/status/1352373951540973570
Linus Good,@GoodLinus,2021-01-24T17:55:08.000Z,Shaw has been incredible again! Really good left back just needs to stay fit and Cavani movement ,,🤤,,,,[],https://twitter.com/GoodLinus/status/1353400961427976192
Linus Good,@GoodLinus,2021-01-16T17:32:30.000Z,Leeds really are sinking down the table you can’t lose at home Brighton they play good football but what’s the points if they down,,,,,,[],https://twitter.com/GoodLinus/status/1350496161170395138
TingFastic,@dodoo208,2021-01-16T18:49:21.000Z,"Replying to 
@GoodLinus",What isn't there wrong with fulham ,😂,1,,,[],https://twitter.com/dodoo208/status/1350515499260665862
Linus Good,@GoodLinus,2021-01-16T18:52:14.000Z,Literally nothing they are a great club,,,1,,,[],https://twitter.com/GoodLinus/status/1350516228343922688
Jack Mcardle #IStandWithJeremyCorbyn,@Jacko9492,2021-01-15T15:18:04.000Z,"Difficult to find words for this man.

At his peak he was unstoppable. Those 3 seasons when Rooney and Ronaldo ripped everything apart were just breathtaking.

Explosive but with technical ability that put him with the best.

Another star of my childhood departs.","United Zone
@ManUnitedZone_
 · Jan 15
Wayne Rooney has officially retired from football. 

One of the greatest to play the game, Legend!  https://twitter.com/Rooney_esque/status/880173329570779136/video/1…
Show this thread",🔴,1,,1,['https://pbs.twimg.com/profile_images/1242604348238151681/6xZ3jWQ2_mini.jpg'],https://twitter.com/Jacko9492/status/1350099942937931783
