UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
lord Tanya,@HentLord,2021-06-22T01:20:27.000Z,Human rights are American values.,,,,,,[],https://twitter.com/HentLord/status/1407146432058982401
lord Tanya,@HentLord,2021-06-28T07:29:24.000Z,We love to see it,"chart data
@chartdata
 · Jun 26
.@DojaCat's 'Planet Her' earns the biggest streaming debut for any album by a female rapper in Spotify history.",,,,,['https://pbs.twimg.com/profile_images/1342086006149791750/Ar0drcXS_mini.jpg'],https://twitter.com/HentLord/status/1409413609529118720
lord Tanya,@HentLord,2021-06-25T00:27:56.000Z,This is mom of the year,"Majin Buu
@Jessieraee5
 · Jun 23
Ok, Mom!! Yes!!",,,,1,"['https://pbs.twimg.com/profile_images/1337051183085711375/NUKEMBAW_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1407769858431987712/pu/img/ImB4V46hsQngVBCK.jpg']",https://twitter.com/HentLord/status/1408220378548236291
lord Tanya,@HentLord,2021-06-22T01:20:55.000Z,"People will focus on left and right, instead of right and wrong.",,,,,,[],https://twitter.com/HentLord/status/1407146549377835010
lord Tanya,@HentLord,2021-06-20T03:50:26.000Z,strong GTA SA vibes with this one,"CNN
@CNN
 · Jun 20
The British Royal Navy and Royal Marines have tested out a jet suit developed by the company Gravity Industries. Gravity says its suit can fly up to 80 mph and climb to 12,000 feet in the air. https://cnn.it/3vHfR9u",,,,,"['https://pbs.twimg.com/profile_images/1278259160644227073/MfCyF7CG_mini.jpg', 'https://pbs.twimg.com/media/E0l_VcTVkAMlR--.jpg']",https://twitter.com/HentLord/status/1406459401100140548
lord Tanya,@HentLord,2021-06-24T14:13:06.000Z,"Did the smart thing and saved 4 of those BTS sauces, bout to make a fortune on eBay next year",,,,,,[],https://twitter.com/HentLord/status/1408065649792806921
lord Tanya,@HentLord,2021-06-25T14:13:32.000Z,I really liked her voice tho :(,"Entertainment Weekly
@EW
 · Jun 25
The actress left the show amidst burgeoning social justice movements in response to the murder of George Floyd.  https://ew.com/tv/central-park-leslie-odom-jr-on-kristen-bells-exit/?utm_campaign=entertainmentweekly_entertainmentweekly&utm_content=new&utm_medium=social&utm_source=twitter.com&utm_term=60d5e3c1bcdfda000142f2b0…",,,,,['https://pbs.twimg.com/profile_images/1378760728350355456/dIaJlI-O_mini.png'],https://twitter.com/HentLord/status/1408428148300017664
lord Tanya,@HentLord,2021-06-24T14:17:58.000Z,Drew putting over riddle? I can die in peace,"WWE
@WWE
 · Jun 24
What an upset!

@SuperKingofBros pinned @DMcIntyreWWE on #WWERaw to qualify for the #MITB Ladder Match in an incredible battle.

But what does @RandyOrton think? ",🤔,,,,"['https://pbs.twimg.com/profile_images/1383079031805972485/3sWoMX-R_mini.jpg', 'https://pbs.twimg.com/media/E4pxu09VgAk0WLS.jpg']",https://twitter.com/HentLord/status/1408066876802945031
lord Tanya,@HentLord,2021-06-28T17:32:44.000Z,In my state we have a high of 110 today :'),,,,,,[],https://twitter.com/HentLord/status/1409565441891049479
WORLDSTARHIPHOP,@WORLDSTAR,2021-06-24T14:02:41.000Z,"Y’all agree with this?  
@lilduval",,👇 🤔,155,176,1.1K,['https://pbs.twimg.com/media/E4px2VPVUAsRuqB?format=jpg&name=small'],https://twitter.com/WORLDSTAR/status/1408063028466094088
lord Tanya,@HentLord,2021-06-24T14:18:22.000Z,Don't do drugs kids,,,,,1,[],https://twitter.com/HentLord/status/1408066977344618514
Peter Park,@peterparkTV,2021-06-26T07:34:06.000Z,"Replying to 
@itsraechill","Tiktok 

I’m not kidding",,17,11,6.9K,[],https://twitter.com/peterparkTV/status/1408690016004411393
lord Tanya,@HentLord,2021-06-26T07:49:32.000Z,I too enjoy chemotherapy,,,,,1,[],https://twitter.com/HentLord/status/1408693898990424069
lord Tanya,@HentLord,2021-06-24T14:32:11.000Z,"Replying to 
@MikeCatSU",WABAMO,,,,,[],https://twitter.com/HentLord/status/1408070452321284099
lord Tanya,@HentLord,2021-06-29T20:45:59.000Z,"Replying to 
@WWE
 @RheaRipley_WWE
 and 6 others",,😊 😊 😊 😊 😊 😊,,,,[],https://twitter.com/HentLord/status/1409976462539513859
DA_nish,@danish02490,2021-06-28T01:13:44.000Z,"Replying to 
@WWE
 @RheaRipley_WWE
 and 6 others",,,1,1,1,['https://pbs.twimg.com/media/E47oOYmUUAQMsYz?format=jpg&name=small'],https://twitter.com/danish02490/status/1409319070692872194
lord Tanya,@HentLord,2021-06-29T20:46:31.000Z,,,😂 😂 😂 😂 😂 😂,,,,[],https://twitter.com/HentLord/status/1409976596224643074
lord Tanya,@HentLord,2021-07-19T03:05:26.000Z,SPEAR SPEAR SPEAR,,,,,,[],https://twitter.com/HentLord/status/1416957324736950275
