UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
𝑻𝑨𝑵𝑰𝑨,@TANIA_NF,2021-08-20T03:21:13.000Z,"Replying to 
@HoussamSaidani9
 and 
@ASwe7l",ماتحضر البث كامل وتقول نايم طول الوقت,,1,,,[],https://twitter.com/TANIA_NF/status/1428557707838099458
Houssam Saidani,@HoussamSaidani9,2021-08-21T01:55:28.000Z,اقرأ وش كتبت بعدها وبعدين تكلم لا تسوي فاهم,GIF,,1,,,['https://pbs.twimg.com/tweet_video_thumb/E9R3n4bXEAIVmCZ.jpg'],https://twitter.com/HoussamSaidani9/status/1428898516861083648
Houssam Saidani,@HoussamSaidani9,2021-08-20T01:46:02.000Z,"Replying to 
@HoussamSaidani9
 and 
@ASwe7l",امزح و الله انك الافضلللللل وتستاهل كل الدعم الي في البث,,1,,,[],https://twitter.com/HoussamSaidani9/status/1428533754725871617
Houssam Saidani,@HoussamSaidani9,2021-08-15T22:23:02.000Z,"Replying to 
@BanderitaX
 and 
@FalconsEsport","#فالكون_بندريتا تمممم يــــــــااااارب 

يــــــــااااااااااارب 
يــــــــاااااااااااااارب 
يارب اجعل من نصيبي الفوز ان شاء الله ﾟ  
اللهم ارزقني وانت خير الرازقين 
يأت بها الله ان الله لطيف خبير
･ ﾟ*｡･ﾟ✿｡❥
اللهمَّﷺصَلِّﷺوَسَـــلِّمْﷺوَبَارِك على سيدنا محمد.",,,,1,[],https://twitter.com/HoussamSaidani9/status/1427033117202726918
Houssam Saidani,@HoussamSaidani9,2021-08-20T17:23:34.000Z,"Replying to 
@Nachiirifn",اكييييد يا ساتر,,,,1,[],https://twitter.com/HoussamSaidani9/status/1428769692555096073
AbuSwe7l,@ASwe7l,2021-08-20T01:29:38.000Z,اللهم لك الحمد ٩١ ساعه وما باقي شي على الهدف ,,,18,14,666,[],https://twitter.com/ASwe7l/status/1428529628872859651
Houssam Saidani,@HoussamSaidani9,2021-08-20T01:45:14.000Z,كل ما أدخل بثك نايم,,,1,,1,[],https://twitter.com/HoussamSaidani9/status/1428533553286033418
Houssam Saidani,@HoussamSaidani9,2021-08-20T16:51:24.000Z,"Replying to 
@g1ntl",الافضلللللل,,,,,[],https://twitter.com/HoussamSaidani9/status/1428761597107965955
Houssam Saidani,@HoussamSaidani9,2021-08-17T11:06:25.000Z,"Replying to 
@souriano",ابغاه ,🥺,,,,[],https://twitter.com/HoussamSaidani9/status/1427587616317349888
Houssam Saidani,@HoussamSaidani9,2021-08-14T19:48:31.000Z,"Replying to 
@BanderitaX
 and 
@FalconsEsport",#فالكون_بندريتا,,,,,[],https://twitter.com/HoussamSaidani9/status/1426631840702545925
Houssam Saidani,@HoussamSaidani9,2021-08-08T15:06:14.000Z,"Replying to 
@OutLawFTW_
 and 
@iirudex",Hhhhhhh,,,,,[],https://twitter.com/HoussamSaidani9/status/1424386478377947147
Falcon RuDex,@iirudex,2021-08-17T15:50:59.000Z,"Replying to 
@Refsgaaard",يب,,29,,120,[],https://twitter.com/iirudex/status/1427659228282503175
Houssam Saidani,@HoussamSaidani9,2021-08-17T15:51:36.000Z,والله وسنويكا سواها عليه,,,1,,,[],https://twitter.com/HoussamSaidani9/status/1427659383907966984
Falcon Spy,@spyerfrog,2021-08-10T14:18:16.000Z,"Replying to 
@souriano",,😘,48,4,533,[],https://twitter.com/spyerfrog/status/1425099180440182787
Houssam Saidani,@HoussamSaidani9,2021-08-10T14:19:51.000Z,,,🤯 😳,,,,[],https://twitter.com/HoussamSaidani9/status/1425099579821891597
Houssam Saidani,@HoussamSaidani9,2021-08-22T14:59:10.000Z,"Replying to 
@g1ntl
 and 
@linjy78",,😳 😳,,,,[],https://twitter.com/HoussamSaidani9/status/1429458127997612032
Houssam Saidani,@HoussamSaidani9,2021-08-25T14:27:50.000Z,"Replying to 
@iirudex
 and 
@iiMonkey_D",Noti,,,,,[],https://twitter.com/HoussamSaidani9/status/1430537405954670597
Houssam Saidani,@HoussamSaidani9,2021-08-25T21:52:23.000Z,"Replying to 
@ASwe7l
 and 
@spyerfrog",,😂 😂,,,,[],https://twitter.com/HoussamSaidani9/status/1430649282575716353
souriano,@souriano,2021-08-10T14:19:35.000Z,"Replying to 
@RaedHFQ
 and 
@spyerfrog",,😘,19,1,225,[],https://twitter.com/souriano/status/1425099511920275466
Houssam Saidani,@HoussamSaidani9,2021-08-10T14:20:36.000Z,,,😳 😳,,,,[],https://twitter.com/HoussamSaidani9/status/1425099767542132738
