UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Tierra,@iam_princesstee,2021-06-21T06:36:24.000Z,"Spent Father’s Day with my pops for the first time and that was amazing, almost shed a tear, this is something I never thought would happen ",,♥ 🥺 💙,1,,3,[],https://twitter.com/iam_princesstee/status/1406863557073928193
jenny,@JaayNelly,2021-06-22T05:26:47.000Z,Fuck that nigga,,🤑 💗,2,1,1,[],https://twitter.com/JaayNelly/status/1407208424224432139
jenny,@JaayNelly,2021-06-22T06:18:52.000Z,"Replying to 
@iam_princesstee",Ok,🤑 💗,,,1,[],https://twitter.com/JaayNelly/status/1407221529285316610
jenny,@JaayNelly,2021-07-29T04:11:34.000Z,Sooooo dammm simple,"Gracie
@wtfjummy
 · Jul 26
It could all be so simple 
Show this thread",🤑 💗 😩 🥴,,1,2,"['https://pbs.twimg.com/profile_images/1424485669527764993/jGStYF8M_mini.jpg', 'https://pbs.twimg.com/media/E7O39s7WYAE55I2?format=jpg&name=small']",https://twitter.com/JaayNelly/status/1420597844507971596
jenny,@JaayNelly,2021-07-07T06:51:17.000Z,This ,"Vonny
@comptonvonny
 · Jul 6
I want to go out to eat and control my girl vibrator on my phone ",🤑 💗 🎯 🤧,,,1,['https://pbs.twimg.com/profile_images/1212861225480015873/ylrRpAEn_mini.jpg'],https://twitter.com/JaayNelly/status/1412665507690422275
jenny,@JaayNelly,2021-07-24T07:18:33.000Z,This ,"JUSTMYTHOUGHTS
@JUSMITHOUGHTS1
 · Jul 23
Imagine being on vacation with somebody you in love with that’s fine as hell and all y’all doing is eating good food, fucking, and having no concept of timeI’m talking about somebody ask us what time is it shit what day is it and we don’t know!!",🤑 💗 😩 😩 😊 😊,,,,['https://pbs.twimg.com/profile_images/1418148496239104004/n9L5NpaD_mini.jpg'],https://twitter.com/JaayNelly/status/1418832961135329283
GETDOUGH PRODUCTIONS,@Getdough__ak,2021-07-15T17:18:45.000Z,"Happy birthday friend  
@JaayNelly",,™ 🎈,1,1,,[],https://twitter.com/Getdough__ak/status/1415722514857095170
jenny,@JaayNelly,2021-07-15T19:27:50.000Z,Thank you ,,🤑 💗 💘,1,1,1,[],https://twitter.com/JaayNelly/status/1415755001524154368
jenny,@JaayNelly,2021-07-15T08:13:46.000Z,Literally shit is crazy,"Certified Lover Girl
@Salute_CC
 · Jul 14
The female body got too many weeks and I’m tired. PMS week. Period week. Ovulation week. I literally only get ONE week a month to myself. twitter.com/joigabrielle/s…
Show this thread",🤑 💗,,,,['https://pbs.twimg.com/profile_images/1425465135704035328/ReZB48-z_mini.jpg'],https://twitter.com/JaayNelly/status/1415585367558815744
jenny,@JaayNelly,2021-07-15T08:17:10.000Z,,"William Knight
@william__knight
 · Jul 14
Travel, your money will return. Your time will not.",🤑 💗 🎯 🎯,,,,['https://pbs.twimg.com/profile_images/1416206570040426496/215bh3A8_mini.jpg'],https://twitter.com/JaayNelly/status/1415586221842067456
