UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T01:24:30.000Z,https://siguientepagina.blogspot.com/2021/06/carta-al-departamento-del-estado-mi.html?m=1…,,,,,,[],https://twitter.com/JameAscencioji1/status/1409684165960691718
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T04:44:45.000Z,,"Presidenta de Cámara califica de “inverosímil” testimonio de criteriado en caso Chalchuapa
Roxana Lara Rodríguez, primera magistrada de la Cámara Especializada LEIV, sostuvo que el testimonio del testigo criteriado tiene falencias que debilitarían la investigación y cuestiona a la Fiscalía...
laprensagrafica.com",,,,,[],https://twitter.com/JameAscencioji1/status/1409734559818727424
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T19:18:51.000Z,,"'We're really in hell': Lebanese citizens share struggles online as crisis deepens
Lebanon has been riddled with problems in recent weeks, with many citizens venting their anger online
middleeasteye.net",,,,,['https://pbs.twimg.com/card_img/1432750931066916865/kNJBJYUV?format=jpg&name=small'],https://twitter.com/JameAscencioji1/status/1409954533460131844
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T22:10:57.000Z,"Replying to 
@MEMESV5031
 @armando288913
 and 7 others",,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,,,,[],https://twitter.com/JameAscencioji1/status/1409997847165079554
Herbert Esmahan,@HerbertEsmahan,2021-06-28T22:40:29.000Z,La #ListaEngel será 100% teatro político y malintencionada.,"Nayib Bukele
@nayibbukele
 · Jun 29
¿Y si sale Cristiani en la lista, también lo van a sacar del partido?

¿O ya les dieron la lista por anticipado y saben que nadie importante de ARENA sale en ella?  twitter.com/ARENAOFICIAL/s…
Show this thread",😉,20,90,449,['https://pbs.twimg.com/profile_images/1419173333204099073/I2XYbadN_mini.jpg'],https://twitter.com/HerbertEsmahan/status/1409642887818539019
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T01:45:23.000Z,,,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂 🤡 🤡 🤡 🤡 🤡 🤡 🤡 🤡 🤡,,,,['https://pbs.twimg.com/media/E5A5DrHXwAEJ_z3?format=jpg&name=900x900'],https://twitter.com/JameAscencioji1/status/1409689420966481920
Don,@Don96593718,2021-06-28T23:44:07.000Z,"Replying to 
@agusantonetti","Esto es lo que el cubano recibe para todo mes ,sin contar que no tiene luz ni libertad",,8,137,188,['https://pbs.twimg.com/media/E5AdTI7XMAAyTMg?format=jpg&name=small'],https://twitter.com/Don96593718/status/1409658902652755969
Helem Cordova,@CordovaHelem,2021-03-25T07:18:06.000Z,"Replying to 
@wallyamilcar
 @Martin07800820
 and 6 others","Es político no les haga caso mire a quien les pide ayuda, usted no sabe si ella llamó no tenemos evidencia no pierda el tiempo con las molleras sumidas en política",,1,1,1,[],https://twitter.com/CordovaHelem/status/1374983918601003008
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T20:07:51.000Z,Quien habla una mujer que defiende al ladrón de wualter araujo ,,🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂,,,,[],https://twitter.com/JameAscencioji1/status/1409966868383797249
Teleprensa,@Teleprensa33,2021-06-29T20:38:49.000Z,"Con foto en mano, un hombre llegó hasta la finca La Paz en Cojutepeque, para hablar con las autoridades sobre la desaparición de su hijo ocurrida en 2018, pero, no fue atendido.

En el lugar se encontró el cuerpo presuntamente de #FlorGarcía. 

Vía 
@Luis33Tv
 #Teleprensa33",,,188,1.5K,2K,['https://pbs.twimg.com/ext_tw_video_thumb/1409969325394509828/pu/img/KaC8x6o8GCSbxdil.jpg'],https://twitter.com/Teleprensa33/status/1409974659513208840
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T22:14:04.000Z,Sabe porque no lo atendiero porque es pobre,,😡 😡 😡 😡 😡 😡 😡 😡,,,,[],https://twitter.com/JameAscencioji1/status/1409998628236759044
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T01:52:38.000Z,"Replying to 
@LindaVeces",Lo peor que se cree cristiano,🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂 😂,,,,[],https://twitter.com/JameAscencioji1/status/1409691244649848834
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T16:34:29.000Z,"Replying to 
@GladysArdon",,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂,,,1,[],https://twitter.com/JameAscencioji1/status/1409913171092119560
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T21:57:22.000Z,"Replying to 
@ECastroES
 @Villabull
 and 
@AsambleaSV",Pobre dipurata al servicio del ladrón de nayid bukele,🤮 🤮 🤮 🤮 🤮 🤮 🤮 🤮,,,,[],https://twitter.com/JameAscencioji1/status/1409994429092487176
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T01:48:30.000Z,"Replying to 
@Chelita_NI",,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂 😂 🤡 🤡 🤡 🤡 🤡 🤡 🤡 🤡 🤡,,,,[],https://twitter.com/JameAscencioji1/status/1409690204512788483
Juan José Martel,@juanjmartel,2021-06-29T17:56:31.000Z,Fuerte debate en Washington sobre si incorporan a Canelo en la lista Engel.,,,345,445,2.9K,[],https://twitter.com/juanjmartel/status/1409933815133392916
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T21:47:38.000Z,La ex dipurata hablando,,,,,,[],https://twitter.com/JameAscencioji1/status/1409991979111534595
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T15:45:18.000Z,"Replying to 
@felxvraniz07",,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂,,,1,[],https://twitter.com/JameAscencioji1/status/1409900793222860813
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T22:58:05.000Z,"Replying to 
@HoyPalestina",,❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤ ❤,,,,[],https://twitter.com/JameAscencioji1/status/1410009708715466756
Napo,@NapoJr1998,2021-06-29T21:30:22.000Z,"Llevo 2 años críticandolo  y hasta ahora me bloqueo.
Jajaja",,,15,15,133,['https://pbs.twimg.com/media/E5FIR6xWUAEEMpO?format=jpg&name=medium'],https://twitter.com/NapoJr1998/status/1409987633728663556
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T21:48:52.000Z,Yo ni un mes y ya me bloqueo.,,,,,1,[],https://twitter.com/JameAscencioji1/status/1409992288751718407
Celeste,@NormaMonchez,2021-06-29T19:58:12.000Z,"Replying to 
@ECastroES
 @chamaguaJR
 and 2 others","Ponga orden nosotros el pueblo los pusimos porque no creemos en esos asesinos, ladrones plazera",,1,,19,[],https://twitter.com/NormaMonchez/status/1409964438430654465
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T21:56:48.000Z,Nosotro el pueblo,,🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂 😂,,,1,[],https://twitter.com/JameAscencioji1/status/1409994284468682756
Camilo Evans,@AntropoVentura,2021-06-29T17:44:37.000Z,"Replying to 
@HoyPalestina","@Google
 @GoogleColombia
 ¿Esto es en serio? 

¿Qué autoridad tienen para borrar países? En especial en un momento tan complejo para el pueblo palestino que ni siquiera tengan representación en la red.....",✨ ✨,10,18,146,[],https://twitter.com/AntropoVentura/status/1409930819318210563
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T22:58:47.000Z,Palestina un pais ,,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,,,,[],https://twitter.com/JameAscencioji1/status/1410009881021661186
shiro ✪,@_1shiro,2021-06-29T15:02:56.000Z,,,🤓 🧐,16,5,62,['https://pbs.twimg.com/media/E5DvmrWXEAAWEnn?format=jpg&name=small'],https://twitter.com/_1shiro/status/1409890133231476749
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T01:45:56.000Z,"Replying to 
@JonseSalazar
 and 
@HerbertEsmahan",,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 🤡 🤡 🤡 🤡 🤡 🤡 😸 😸,,,,[],https://twitter.com/JameAscencioji1/status/1409689557801472000
wil_ Mart,@OmarMar27673945,2021-06-28T13:24:08.000Z,"Replying to 
@gatomillenial","Cada dia, esa Asociación de Protectores de Criminales de E.S. muestra su verdadera cara, no de velar por un periodismo independiente, sino, que son plumas pagadas con agenda antipatriótica",,1,,,[],https://twitter.com/OmarMar27673945/status/1409502881464655883
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-28T23:35:24.000Z,Libre pensador,,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣,,,,[],https://twitter.com/JameAscencioji1/status/1409656711493799943
@Rafael,@Rafael,2021-06-28T22:42:24.000Z,"Replying to 
@HerbertEsmahan",Eso es todo no hay mas que hablar... ,☝ 😲,1,,3,[],https://twitter.com/RafaelA02847837/status/1409643374286577666
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T01:46:26.000Z,Estoy con bukele ,,🤣 🤣 🤣 🤣 🤣 🤣 🤣 🤣 😂 😂 😂 😂 😂 😂 😂,,,,[],https://twitter.com/JameAscencioji1/status/1409689685211811851
Jorge Arriaga ¡DIOS TIENE EL CONTROL!,@Jorge_Arriaga7,2021-06-29T16:58:24.000Z,¿Y esto cómo se llama?,,,32,161,366,['https://pbs.twimg.com/media/E5EKBwdXIAc6x_x?format=jpg&name=small'],https://twitter.com/Jorge_Arriaga7/status/1409919190291656707
Jame Ascenciojilcorttez,@JameAscencioji1,2021-06-29T18:00:35.000Z,Corrupcios,,,,,,[],https://twitter.com/JameAscencioji1/status/1409934840389148680
