UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jameswhitt3,@Jameswhitt31,2021-07-21T18:59:32.000Z,"@AmazonHelp
 why is the Playstation 5 link not working?",,,1,1,,[],https://twitter.com/Jameswhitt31/status/1417922207028744193
Jameswhitt3,@Jameswhitt31,2021-07-23T18:23:33.000Z,"@ThatKevinSmith
 masters was EPIC!!!!!! I LOVED IT SOOOO MUCH!!!!!!!!  NEXT PART PLEEESZZZZZEEEEEEE!!!!!!",,,,,,[],https://twitter.com/Jameswhitt31/status/1418637926301327367
Matt Swider (tracking PS5 / Xbox / GPU restock),@mattswider,2021-07-15T14:41:44.000Z,"Replying to 
@mattswider","Yes, the PS5 restock at GameStop is ALSO happening in 20 mins. But we all know GameStop is notoriously late, too. I'll live stream it on YouTube in a minute.

TODAY IS ON ",🔥 🔥 🔥,64,14,116,['https://pbs.twimg.com/card_img/1431949163068116993/8YXHARjJ?format=jpg&name=small'],https://twitter.com/mattswider/status/1415683002093428736
Jameswhitt3,@Jameswhitt31,2021-07-15T15:37:12.000Z,Finally got mine just waiting for the tracking number!!!!! THANKS BRO,,,,,,[],https://twitter.com/Jameswhitt31/status/1415696961831903234
Masters of the Universe,@MastersOfficial,2021-07-23T16:50:16.000Z,"@Jameswhitt31
 #ThePowerReturns - Masters of the Universe: Revelation is out now! Head over to Netflix to journey into Eternia.","Watch Masters of the Universe: Revelation on Netflix
netflix.com",,1,,,['https://pbs.twimg.com/amplify_video_thumb/1415383690536960001/img/k_06uyjoGKiqtajL.jpg'],https://twitter.com/MastersOfficial/status/1418614452275007490
Jameswhitt3,@Jameswhitt31,2021-07-23T17:11:23.000Z,Just watched the first season OMFG!!!!! EXCELLENT!!!!!!!! NEXT SEASON PLEEEEEEEEEZASEZZZZZZZEEEEEE!!!!!!!!!,,,,,,[],https://twitter.com/Jameswhitt31/status/1418619766407843840
NFL,@NFL,2021-07-28T15:30:00.000Z,Tell us you’re ready for training camp without telling us you’re ready for training camp. ,,👇,248,80,809,[],https://twitter.com/NFL/status/1420406189989445633
Jameswhitt3,@Jameswhitt31,2021-07-06T16:51:38.000Z,Thanks Jake just got my Xbox series x from target!!!!,,,,,,[],https://twitter.com/Jameswhitt31/status/1412454201901424640
Jameswhitt3,@Jameswhitt31,2021-07-29T21:06:18.000Z,"Replying to 
@SamsClub
 and 
@OliviaHas2Moms",Burger!!!!!,,,,,[],https://twitter.com/Jameswhitt31/status/1420853209657233409
Funko,@OriginalFunko,2021-07-19T02:00:06.000Z,"RT and follow 
@OriginalFunko
 for the chance to WIN a #FunKon exclusive Blade Pop! #FunKon2021 #Funko #FunkoPop #SummerFunKon #FunkoVirtualCon 
@Marvel",,,242,9.8K,6.1K,"['https://pbs.twimg.com/media/E6n8N8xXIAMATy3?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E6n8OVCXEAEiPvX?format=jpg&name=360x360']",https://twitter.com/OriginalFunko/status/1416940883312795648
Jameswhitt3,@Jameswhitt31,2021-07-21T00:53:17.000Z,Cool!!!!,,,,,,[],https://twitter.com/Jameswhitt31/status/1417648842795847685
STOCK TRACKER: PS5/Xbox - Gaming Restocks & Tips!,@PS5restocks_etc,2021-07-29T20:12:43.000Z,"Replying to 
@GameStop","I know y'all just restocked #PS5 this week but man, Walmart did us bad... and you just happen to be here at the right time, every time ",🙏 ❤,7,1,27,['https://pbs.twimg.com/tweet_video_thumb/E7fWMw-UYAA6Ib6.jpg'],https://twitter.com/PS5restocks_etc/status/1420839727834406913
Jameswhitt3,@Jameswhitt31,2021-07-29T20:13:54.000Z,Walmart sucks,,,,,,[],https://twitter.com/Jameswhitt31/status/1420840024162160641
Jameswhitt3,@Jameswhitt31,2021-07-27T12:43:08.000Z,,,🤡 😜 🤪,,,,[],https://twitter.com/Jameswhitt31/status/1420001811365302274
Jameswhitt3,@Jameswhitt31,2021-07-23T22:13:51.000Z,"Replying to 
@PS5restocks_etc
 @GameStop
 and 2 others",,🤪 🤪 🤪 🤪 🤪 🤪 🤪 💯 💯,,,1,[],https://twitter.com/Jameswhitt31/status/1418695885450526723
