UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
DJ POOH,@DJPooh,2021-01-11T15:51:34.000Z,Y’all miss trump on here? Asking for a former friend ,,😂,29,18,111,[],https://twitter.com/DJPooh/status/1348658819111350272
Sonny,@Jaysunabc123,2021-01-12T13:29:07.000Z,He probably get the part of a president on Netflix episodes .. I’m sure  people believe that ..,,💰 💰 💰 💰,,,,[],https://twitter.com/Jaysunabc123/status/1348985362345910273
Sonny,@Jaysunabc123,2021-01-09T05:57:26.000Z,,GIF,,,,,[],https://twitter.com/Jaysunabc123/status/1347784527867875329
Sonny,@Jaysunabc123,2021-01-09T05:59:55.000Z,,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErRLcubVkAEJ4-m.jpg'],https://twitter.com/Jaysunabc123/status/1347785153830035461
Sonny,@Jaysunabc123,2021-01-09T06:02:17.000Z,,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErRL_iLUUAEEbBP.jpg'],https://twitter.com/Jaysunabc123/status/1347785748972400640
Sonny,@Jaysunabc123,2021-01-09T06:05:31.000Z,,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErRMuwCU0AExSIb.jpg'],https://twitter.com/Jaysunabc123/status/1347786561178398722
Sonny,@Jaysunabc123,2021-01-09T06:11:23.000Z,,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErROEsJVoAAL5CE.jpg'],https://twitter.com/Jaysunabc123/status/1347788038017990661
Sonny,@Jaysunabc123,2021-01-09T06:13:59.000Z,,GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErROqzKVQAEvao2.jpg'],https://twitter.com/Jaysunabc123/status/1347788692069367810
Sonny,@Jaysunabc123,2021-01-09T05:45:12.000Z,"Replying to 
@CBSNews",,,,1,1,['https://pbs.twimg.com/tweet_video_thumb/ErRIFU8VoAIBSNy.jpg'],https://twitter.com/Jaysunabc123/status/1347781450343411713
Sonny,@Jaysunabc123,2021-01-14T12:53:33.000Z,"Replying to 
@ABC7",,,,,,[],https://twitter.com/Jaysunabc123/status/1349701183804305409
DJ POOH,@DJPooh,2021-02-20T23:53:45.000Z,Mars is lit ,"0:24
26.8M views
From 
Anonymous",😂 🙄,25,49,240,[],https://twitter.com/DJPooh/status/1363275681988157441
Sonny,@Jaysunabc123,2021-02-23T02:13:56.000Z,I’m going and I want land so I http://can.build mansions $$$$,,,,,,[],https://twitter.com/Jaysunabc123/status/1364035734533939204
DJ POOH,@DJPooh,2021-02-20T23:53:45.000Z,Mars is lit ,"26.8M views
0:02 / 0:26
From 
Anonymous",😂 🙄,25,49,240,[],https://twitter.com/DJPooh/status/1363275681988157441
