UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:39:28.000Z,exactly #truth #TruthBeTold #AmericaFirst #AmericansSeeRightThroughDemocratLies #democratsareliars #DemocratsAreCorrupt #DemocratsAreDestroyingAmerica,"Rising serpent
@rising_serpent
 · Jul 14
No wonder Joe Biden thinks voter ID is the greatest danger to America today.
It jeopardizes their biggest voting bloc. twitter.com/Breaking911/st…",💯 ❤,,1,,['https://pbs.twimg.com/profile_images/972707144762929152/ZC5wgh4k_mini.jpg'],https://twitter.com/Jennife24287108/status/1415169049718255617
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:06:43.000Z,MOST ACCURATE AND TRUTHFUL tweet today! #AmericaFirst #EnoughIsEnough #WakeUpAmerica,"Rising serpent
@rising_serpent
 · Jul 14
Fauci said children over two need to wear masks, Democrats fled Texas on a taxpayer paid private jet and called it an act of courage, Biden called voter ID an act of civil war, while Cuba held a mirror to the future that awaits Americans, and this was just the last 24 hours.",💯 ❤,,1,,['https://pbs.twimg.com/profile_images/972707144762929152/ZC5wgh4k_mini.jpg'],https://twitter.com/Jennife24287108/status/1415160807839571971
New York Post,@nypost,2021-07-14T01:01:08.000Z,"DNC, Biden allies want phone carriers to vet anti-vax messages: report https://trib.al/zgdu9AL",,,938,1.3K,1.2K,['https://pbs.twimg.com/media/E6N-xxWXoA4EzzW?format=jpg&name=small'],https://twitter.com/nypost/status/1415114103291580416
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:29:44.000Z,This is the democrats FAULT! FULL STOP! When President Trump was president the democrats said they wouldnt get the shot...dumbasses #democratsareliars #LiberalHypocrisy #DemocratsAreDestroyingAmerica #LiberalPrivilege #ItsAllAboutPowerAndPolitics,,💯 ❤,,2,1,[],https://twitter.com/Jennife24287108/status/1415166600844509185
ProudArmyBrat,@leslibless,2021-07-14T19:18:26.000Z,"Hey, do you guys think they will be documenting our level of resistance when they come to our door? Think we’ll be graded?",,,118,123,466,[],https://twitter.com/leslibless/status/1415390249920962572
Deplorable Jennifer,@Jennife24287108,2021-07-14T20:11:12.000Z,there is plenty of warning on my gates...my dogs aren't going to let them in...sorry..not sorry #IHaveARightToProtectMyselfAndMyProperty #GoodLuckWithThat #DemocratsAreCorrupt,,💯 ❤,,2,3,[],https://twitter.com/Jennife24287108/status/1415403526822395904
Deplorable Jennifer,@Jennife24287108,2021-07-14T19:42:48.000Z,".
@larryelder
 for California Governor!!! #SaveCalifornia #TurnCaliforniaRed #RecallGavinNewsom #RecountCalifornia",,💯 ❤,,1,,[],https://twitter.com/Jennife24287108/status/1415396381284392961
Vollen Angel Revisited,@VRevisited,2021-07-14T19:58:52.000Z,"Replying to 
@JackPosobiec
 and 
@Olivia_Rodrigo",Who is the Sam Hell is Olivia Rodrigo???,,6,1,75,[],https://twitter.com/VRevisited/status/1415400421871476752
Deplorable Jennifer,@Jennife24287108,2021-07-14T20:29:55.000Z,exactly?!???,,💯 ❤,,1,6,[],https://twitter.com/Jennife24287108/status/1415408237365456897
ProudArmyBrat,@leslibless,2021-07-14T03:12:14.000Z,The Dems are running out of things “to be worse than!”,,,13,60,319,[],https://twitter.com/leslibless/status/1415147097993666564
Deplorable Jennifer,@Jennife24287108,2021-07-14T20:28:10.000Z,seriously... She dresses way worse than this gal ever could,,💯 ❤,,1,,[],https://twitter.com/Jennife24287108/status/1415407798163099648
Matt Walsh,@MattWalshBlog,2021-07-13T19:31:38.000Z,"The right to vote is not universal or inherent, nor is it meant to be enjoyed by all people or even most people. It should be a responsibility entrusted only to those most qualified to fulfill it.",,,461,780,5.6K,[],https://twitter.com/MattWalshBlog/status/1415031182924914693
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:14:33.000Z,Amen brother!,,💯 ❤ 👍 💯 ❤ ❤,,1,,[],https://twitter.com/Jennife24287108/status/1415162779535745029
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:37:17.000Z,"Replying to 
@JRMillerCWI
 and 
@redsteeze",so frickin true,💯 ❤,,1,,[],https://twitter.com/Jennife24287108/status/1415168498548887552
AgirlnamedDon,@AgirlnamedDon,2021-07-14T01:53:34.000Z,"Replying to 
@ZubyMusic","BLM wasn’t trying to overthrow our government.  

You do the math.",,32,2,67,[],https://twitter.com/AgirlnamedDon/status/1415127298500698113
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:34:41.000Z,yeah right,,💯 ❤ 😡,,1,1,[],https://twitter.com/Jennife24287108/status/1415167843394461696
Tim Swain,@SwainForSenate,2021-07-13T20:20:50.000Z,"Election Integrity Reforms:
-Max 7 days Early In-Person Voting
-Ban Mail-Voting (Except for Military)
-Voter ID
-Count All Ballots by Midnight
-Ban Private Grants (Zuckerbucks)

RT if you agree!",,,36,506,882,[],https://twitter.com/SwainForSenate/status/1415043563113443328
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:42:28.000Z,"THIS IS NOT SUPPRESSION. 
@JoeBiden",,💯 ❤,,1,1,[],https://twitter.com/Jennife24287108/status/1415169805204615169
AMABLACKPATRIOT,@DrShayPhD,2021-07-14T04:06:25.000Z,"Ryh nailed it. We all know the Dems definition of infrastructure is anything that furthers their nefarious agendas, which do not actually end up benefiting most Americans in any constructive way. It just makes it easier for Democrats to hold onto their power.""",,,6,41,163,[],https://twitter.com/DrShayPhD/status/1415160730794577920
Deplorable Jennifer,@Jennife24287108,2021-07-14T04:08:01.000Z,so damn TRUE! #AMERICAFIRST #truth #TruthBeTold #democratsareliars #DemocratsAreCorrupt #DemocratsAreDestroyingAmerica,,💯 ❤,,1,,[],https://twitter.com/Jennife24287108/status/1415161134856826880
Deplorable Jennifer,@Jennife24287108,2021-07-14T03:04:54.000Z,,,💯 ❤,2,6,4,['https://pbs.twimg.com/media/E6ObGmNVEAIO9Io?format=jpg&name=small'],https://twitter.com/Jennife24287108/status/1415145251774156810
Deplorable Jennifer,@Jennife24287108,2021-07-14T22:11:25.000Z,,,💯 ❤,,1,2,['https://pbs.twimg.com/media/E6ShhUpUUAEdND7?format=jpg&name=small'],https://twitter.com/Jennife24287108/status/1415433780936908801
