UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Jessica turgeon,@Jessicaturgeon6,2021-01-02T19:42:01.000Z,"Replying to 
@gofooji","If i dont have some cake soon, I might die #theofficesweepstakes #peacocktv",,,,,[],https://twitter.com/Jessicaturgeon6/status/1345455323889471488
Jessica turgeon,@Jessicaturgeon6,2021-01-21T17:34:24.000Z,"Replying to 
@BuschBeer
 and 
@Carhartt",#Sweepstakes,,,,,[],https://twitter.com/Jessicaturgeon6/status/1352308577575329794
Jessica turgeon,@Jessicaturgeon6,2021-01-05T04:23:46.000Z,"Replying to 
@G2esports
 and 
@secretlabchairs",@AmandaFournie13,,,,,[],https://twitter.com/Jessicaturgeon6/status/1346311402106085376
Swizzels,@SwizzelsMatlow,2021-02-22T10:00:01.000Z,"VOTE TO WIN!
For a chance to win our Big Night hamper, all you need to do is let us know whether you're voting for Chew Crew or Bumper Bag? 

A winner will be picked Wednesday 24th February. T&Cs apply: https://bit.ly/3cV1Ejw",,🤩 🤩 🤔,839,398,692,['https://pbs.twimg.com/media/Eub9YpMXYAIwegX?format=jpg&name=small'],https://twitter.com/SwizzelsMatlow/status/1363790643089313795
Jessica turgeon,@Jessicaturgeon6,2021-02-22T19:49:10.000Z,Chew crew,,,,,,[],https://twitter.com/Jessicaturgeon6/status/1363938903724589060
Swizzels,@SwizzelsMatlow,2021-02-24T13:53:57.000Z,"The most important question... Drumstick or Refresher Choos? 

Let us know for a chance to WIN a Big Night In hamper! 

A winner will be picked Friday 26th February. T&Cs apply: https://bit.ly/3cV1Ejw",,🍬,767,389,572,['https://pbs.twimg.com/media/Eu_xD2jWgAEKq5s?format=jpg&name=small'],https://twitter.com/SwizzelsMatlow/status/1364574288741879812
Jessica turgeon,@Jessicaturgeon6,2021-02-24T15:12:53.000Z,Drumstick,,,,,,[],https://twitter.com/Jessicaturgeon6/status/1364594154018332673
Venmo,@Venmo,2021-02-18T18:57:10.000Z,"#VenmoItForward, roommate edition: Share this post , tag your roomie, and tell us your favorite thing about living with them. We might send you both $500. 

Must follow 
@Venmo
. No purch nec. Ends 2/25. US only, 18+. Venmo account required. Rules: http://payp.al/venmotw",,🔁 💸,2.9K,2.3K,1.9K,['https://pbs.twimg.com/media/Euh8VC0UUAAPfD9?format=jpg&name=small'],https://twitter.com/Venmo/status/1362476265920286720
Jessica turgeon,@Jessicaturgeon6,2021-02-20T01:36:42.000Z,"@AmandaFournie13
 its like having the perfect side kick to do all these crazy things with ",,😍,,,,[],https://twitter.com/Jessicaturgeon6/status/1362939203181563905
The Sole Sales,@thesolesales,2021-02-16T10:56:13.000Z," WIN the Nike Dunk Low Sail Coast for FREE! 

To Enter:

1. Follow 
@thesolestyle
, 
@thesolesupplier
 & 
@thesolesales
2. Like & retweet
3. Tag a friend & comment your size",GIF,❄ ❄,228,206,244,['https://pbs.twimg.com/tweet_video_thumb/EuV7qDtWYAMzwYB.jpg'],https://twitter.com/thesolesales/status/1361630456245084162
Jessica turgeon,@Jessicaturgeon6,2021-02-16T11:57:17.000Z,"@AmandaFournie13
. Size 8",,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361645825882025992
Jessica turgeon,@Jessicaturgeon6,2021-02-25T15:45:55.000Z,"Replying to 
@SashkaCo
 and 
@AmandaFournie13",Thank you so much,,1,,,[],https://twitter.com/Jessicaturgeon6/status/1364964852775673861
Jessica turgeon,@Jessicaturgeon6,2021-02-22T19:39:39.000Z,"Replying to 
@Klondikebar",#IWouldDoANYTHINGForAKlondikeConeZoneSweepstakes,,,,1,[],https://twitter.com/Jessicaturgeon6/status/1363936510547005445
Jessica turgeon,@Jessicaturgeon6,2021-02-25T14:50:32.000Z,"Replying to 
@DNPthree",#freespideyps5,,,,,[],https://twitter.com/Jessicaturgeon6/status/1364950917179711489
Jessica turgeon,@Jessicaturgeon6,2021-02-14T19:15:47.000Z,"Replying to 
@ToyotaRacing",#toyotaracinggiveaway,,1,,,[],https://twitter.com/Jessicaturgeon6/status/1361031399474667522
Jessica turgeon,@Jessicaturgeon6,2021-02-14T18:04:00.000Z,"Replying to 
@gofooji",#Coming2America #Sweepstakes,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361013336125628418
Jessica turgeon,@Jessicaturgeon6,2021-02-14T18:10:45.000Z,"Replying to 
@ZamundaRoyals",#Coming2America #Giveaway,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361015033690480643
Jessica turgeon,@Jessicaturgeon6,2021-02-19T13:36:49.000Z,"Replying to 
@MoneyGram","@AmandaFournie13
 #momeygrammonday",,,,,[],https://twitter.com/Jessicaturgeon6/status/1362758035156987909
Jessica turgeon,@Jessicaturgeon6,2021-02-15T18:10:52.000Z,"Replying to 
@MountainDew
 and 
@wheezyduck",#DewSweepstakes,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361377451448885257
Jessica turgeon,@Jessicaturgeon6,2021-02-24T23:36:53.000Z,"Replying to 
@DNPthree
 and 
@PlayStreamBeats",#FreePCday,,,,,[],https://twitter.com/Jessicaturgeon6/status/1364720988286554117
Jessica turgeon,@Jessicaturgeon6,2021-02-14T22:14:07.000Z,"Replying to 
@Tubi
 and 
@Roku",#FreeLikeTubiSweepstakes. #Roku,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361076280549072897
Jessica turgeon,@Jessicaturgeon6,2021-02-27T14:47:16.000Z,"Replying to 
@Kahlua","#NationalKahluaDay #sweepstakesentry 
@AmandaFournie13",,,,,[],https://twitter.com/Jessicaturgeon6/status/1365674868595900416
Jessica turgeon,@Jessicaturgeon6,2021-02-27T14:47:57.000Z,"Replying to 
@NaturVet",@AmandaFournie13,,,,1,[],https://twitter.com/Jessicaturgeon6/status/1365675041317408776
Jessica turgeon,@Jessicaturgeon6,2021-03-01T12:26:48.000Z,"Replying to 
@MeridianFoods
 and 
@DrinkRocks",@AmandaFournie13,,,,,[],https://twitter.com/Jessicaturgeon6/status/1366364296419115009
Jessica turgeon,@Jessicaturgeon6,2021-02-16T11:58:03.000Z,"Replying to 
@SuzyPelta
 and 
@AceTeaLondon",@AmandaFournie13,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361646018576662534
Jessica turgeon,@Jessicaturgeon6,2021-02-16T11:57:39.000Z,"Replying to 
@Swagg
 and 
@GFuelEnergy",@AmandaFournie13,,,,,[],https://twitter.com/Jessicaturgeon6/status/1361645915417812992
Jessica turgeon,@Jessicaturgeon6,2021-03-01T22:28:05.000Z,"Replying to 
@DrinkRocks
 and 
@MeridianFoods",@AmandaFournie13,,,,,[],https://twitter.com/Jessicaturgeon6/status/1366515611950600193
Jessica turgeon,@Jessicaturgeon6,2021-02-24T15:13:16.000Z,"Replying to 
@greenjinnapp
 @RisoGalloUK
 and 
@Tesco",@AmandaFournie13,,,,,[],https://twitter.com/Jessicaturgeon6/status/1364594247282868227
CHEEZ-IT,@cheezit,2021-03-09T13:00:00.000Z,"Need a mind-crunching Spring Break? Need it dropped in a box at your door? Tweet #GroovesBreakEntry + your fave flavor experience for the chance to land the break of a lifetime.

No Purchase Necessary. 18+ Rules @ http://bit.ly/GroovesBreak","0:18
Tweet #ScorchinIsland
Tweet #PeakWhiteCheddar
Tweet #ZestyDudeRanch",,1.6K,434,904,[],https://twitter.com/cheezit/status/1369271752279400450
Jessica turgeon,@Jessicaturgeon6,2021-03-15T15:29:04.000Z,#GroovesBreakEntry. Extra toasted,,,,,,[],https://twitter.com/Jessicaturgeon6/status/1371483595622260741
B&M Stores,@bmstores,2021-03-26T16:05:19.000Z," #COMPETITION TIME

We've teamed up with Flymo to celebrate the warmer weather appearing by giving away THREE chances to #WIN a new lawnmower! http://ow.ly/jd9a50E4Sm0

For your chance to #WIN, simply FLW/RT & COMMENT WHO mows YOUR lawn!

Competition ends 9am 2/4/21",,🍃 🍃,1.6K,1.7K,1.2K,['https://pbs.twimg.com/media/Exau2P4WUAEjL99?format=png&name=small'],https://twitter.com/bmstores/status/1375478984377577472
Jessica turgeon,@Jessicaturgeon6,2021-03-27T01:23:51.000Z,My dad,,,,,,[],https://twitter.com/Jessicaturgeon6/status/1375619543595421697
Jessica turgeon,@Jessicaturgeon6,2021-03-27T01:22:03.000Z,"Replying to 
@LightnGo1",Camping,,,,,[],https://twitter.com/Jessicaturgeon6/status/1375619090681847816
Swizzels,@SwizzelsMatlow,2021-03-15T10:00:00.000Z,"BIG NIGHT IN COMPETITION

For a chance to win one of our Big Night In hampers, simply let us know in the comments below whether you'd rather watch a film or a series. 

It couldn't be easier! We'll pick a winner on Wednesday 17th March. T&Cs apply: https://bit.ly/3cV1Ejw",,🤩 🤩,926,464,698,"['https://pbs.twimg.com/media/EwSn7dTXMAYCYOP?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EwSn9s0XAAAfA_G?format=jpg&name=360x360']",https://twitter.com/SwizzelsMatlow/status/1371400783044829185
Jessica turgeon,@Jessicaturgeon6,2021-03-28T19:09:35.000Z,"Replying to 
@mvouchercodes1",#Giveaway,,,,,[],https://twitter.com/Jessicaturgeon6/status/1376250129481670659
Jessica turgeon,@Jessicaturgeon6,2021-03-12T20:32:39.000Z,"Replying to 
@budlight",#TasteTimeOff #Sweepstakes,,,,,[],https://twitter.com/Jessicaturgeon6/status/1370472830291353600
Jessica turgeon,@Jessicaturgeon6,2021-03-27T01:19:39.000Z,"Replying to 
@oscarmayer",#OscarCookMyKicks #Sweepstakes,,,,,[],https://twitter.com/Jessicaturgeon6/status/1375618487515815936
Jessica turgeon,@Jessicaturgeon6,2021-03-29T18:35:41.000Z,"Replying to 
@StellaArtois",#StellaMutual #Sweepstakes,,,,,[],https://twitter.com/Jessicaturgeon6/status/1376603986208419849
