UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
XMARK1131,@JesusKingofLove,2021-01-21T02:31:03.000Z,Amen!,"Melissa Myers
@melo_myers
 · Jan 21
My daughter is 3 years old, and today,  our Vice President is a woman. An Indian woman. A Black woman. My heart is full.  May my daughter always know the power of women, and the power that she holds.
Show this thread
GIF",❤,,1,1,['https://pbs.twimg.com/profile_images/1347540880031444993/O442VUeF_mini.jpg'],https://twitter.com/JesusKingofLove/status/1352081241198178304
XMARK1131,@JesusKingofLove,2021-01-12T12:27:26.000Z,Amen,"Kathie Lee Gifford
@KathieLGifford
 · Jan 12
His divine power has given us everything we need for life and godliness through our knowledge of Him Who called us by His own glory and goodness.Through these He has given us His very great and precious promises, 2 Peter 1:3-4. LORD, we stand on Your promises today. ",🎶 🎼 🎹 🐑,,,1,['https://pbs.twimg.com/profile_images/821072632669990912/xb8gSbXE_mini.jpg'],https://twitter.com/JesusKingofLove/status/1348969836538429441
XMARK1131,@JesusKingofLove,2021-01-20T17:28:25.000Z,Amen!!!,"AltPublicLands.
@AltPublicLands
 · Jan 20
You can all go follow @POTUS now.",🏜 🏔 🏕 🌲,,,,['https://pbs.twimg.com/profile_images/1248666920187916290/hjE_6BAa_mini.jpg'],https://twitter.com/JesusKingofLove/status/1351944683333812224
XMARK1131,@JesusKingofLove,2021-01-20T13:32:18.000Z,Don't stop Believing???,,😳 😳 😳,,,1,[],https://twitter.com/JesusKingofLove/status/1351885263564374017
XMARK1131,@JesusKingofLove,2021-01-20T14:56:50.000Z,Amen Ms. King!!!,"Be A King
@BerniceKing
 · Jan 20
“Weeping may endure for a night, but joy comes in the morning.”",,,,,"['https://pbs.twimg.com/profile_images/1395221008563511297/bN5yxXUV_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1351881960495456258/pu/img/jwsR4oHkME1ETI-b.jpg']",https://twitter.com/JesusKingofLove/status/1351906538689060866
XMARK1131,@JesusKingofLove,2021-01-20T13:47:43.000Z,Did you see the Black Man walk away from Trump?,,😂 😂,,,1,[],https://twitter.com/JesusKingofLove/status/1351889145354997761
XMARK1131,@JesusKingofLove,2021-01-16T13:41:27.000Z,Do it to'em Mrs. James!!,"NY AG James
@NewYorkStateAG
 · Jan 15
The @NRA's claimed financial status has finally met its moral status: bankrupt.
 
While we review its bankruptcy filing, we will not allow the @NRA to use this or any other tactic to evade accountability and my office’s oversight.",,,,1,['https://pbs.twimg.com/profile_images/1190033746516480002/R5k2b7qT_mini.jpg'],https://twitter.com/JesusKingofLove/status/1350438016335163398
XMARK1131,@JesusKingofLove,2021-01-29T03:41:35.000Z,They can go all the way to hell!,"John Kosko
@JohnKosko3
 · Jan 29
Anyone suggesting the Browns entertain a trade for Watson can get out.",,,,,['https://pbs.twimg.com/profile_images/1354797811213152258/AwtwXk9C_mini.jpg'],https://twitter.com/JesusKingofLove/status/1354998097135480840
XMARK1131,@JesusKingofLove,2021-01-17T02:58:30.000Z,Then go get it Sir! Go Browns!!!!,"Mack Wilson Sr.
@5mackwilson1
 · Jan 17
#WeWantMore",,,,,['https://pbs.twimg.com/profile_images/1421994012173602816/xrDJxhg4_mini.jpg'],https://twitter.com/JesusKingofLove/status/1350638597884489729
XMARK1131,@JesusKingofLove,2021-01-16T13:04:19.000Z,I'd like to know if any NFL players are pulling for the Browns to win it all?,,,,,1,[],https://twitter.com/JesusKingofLove/status/1350428669131575302
Idaho Blue,@idaho_blue,2021-01-19T14:17:36.000Z,Michelle Obama wrote the best seller Becoming. What will be the title of Melania’s book?,,,22.7K,5.4K,21.6K,[],https://twitter.com/idaho_blue/status/1351534278014713861
XMARK1131,@JesusKingofLove,2021-01-19T23:03:41.000Z,You mean she can write?,,,,,,[],https://twitter.com/JesusKingofLove/status/1351666667961593858
Michael Harriot,@michaelharriot,2021-01-20T17:42:42.000Z,Does the inauguration rundown say what time Van Jones is scheduled to cry?,,,372,852,10.2K,[],https://twitter.com/michaelharriot/status/1351948279974670338
XMARK1131,@JesusKingofLove,2021-01-21T02:32:29.000Z,"Lmao, he's as fake as a 3 dollar bill!!",,,,,,[],https://twitter.com/JesusKingofLove/status/1352081604768915457
Eric Metcalf,@EricMetcalf21,2021-01-23T18:18:36.000Z,Thank you everyone for all of the well wishes on this Happy 1-2-3. I’m so grateful that so many of you still think about me and I appreciate what I was able to do. You guys made my life and Sunday’s so much fun!!!,,,130,41,1.3K,[],https://twitter.com/EricMetcalf21/status/1353044479209394176
XMARK1131,@JesusKingofLove,2021-01-24T05:38:31.000Z,"Happy Birthday Eric, God bless you Sir!",,,,,,[],https://twitter.com/JesusKingofLove/status/1353215585417650177
XMARK1131,@JesusKingofLove,2021-01-17T00:05:21.000Z,"Replying to 
@jvharris_1965",Nothing but air there,😂 😂 😂 😂,,,1,[],https://twitter.com/JesusKingofLove/status/1350595025793667082
XMARK1131,@JesusKingofLove,2021-01-14T22:37:14.000Z,"@ESPNCleveland
 Tru Valu, Tops grocery store, Jeans West.",,,,,,[],https://twitter.com/JesusKingofLove/status/1349848073284026374
Cristela Alonzo,@cristela9,2021-01-21T02:10:28.000Z,"Foo Fighters doing ""Times Like These"" is one of my favorite moments of the day. God, I love them.",,,33,78,1.1K,[],https://twitter.com/cristela9/status/1352076062264422400
XMARK1131,@JesusKingofLove,2021-01-21T02:24:21.000Z,"I like The Foo Fighters, they are so good, great song for these times!!",,,,,,[],https://twitter.com/JesusKingofLove/status/1352079557550088193
Cleveland Browns,@Browns,2021-01-14T17:06:57.000Z,"We’ve made the following roster move:
 
Activated from Reserve/COVID-19:
WR KhaDarel Hodge",,,68,317,6.2K,[],https://twitter.com/Browns/status/1349764957668319237
XMARK1131,@JesusKingofLove,2021-01-14T17:33:07.000Z,"Awesome Khadarel, glad to see you back with your teammates!",,,,,,[],https://twitter.com/JesusKingofLove/status/1349771540989054976
