UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joe,@JoeyCannon_,2021-01-10T15:37:25.000Z,Note to self: stick to the plan,,,,3,2,[],https://twitter.com/JoeyCannon_/status/1348292871611412482
Joe,@JoeyCannon_,2021-01-18T02:42:56.000Z,Them cleats crazy ,,🔥,,,,[],https://twitter.com/JoeyCannon_/status/1350997072082833410
Joe,@JoeyCannon_,2021-01-25T15:56:21.000Z,Get it by any means,,,,,,[],https://twitter.com/JoeyCannon_/status/1353733454622568448
Joe,@JoeyCannon_,2021-01-05T16:42:14.000Z,2021 lifestyle switch up,,,,,,[],https://twitter.com/JoeyCannon_/status/1346497243415793665
Joe,@JoeyCannon_,2021-01-19T17:27:19.000Z,Ownership is important,,,,,,[],https://twitter.com/JoeyCannon_/status/1351582020959432704
Joe,@JoeyCannon_,2021-01-21T23:08:34.000Z,Who know a court open late night?,,,,,,[],https://twitter.com/JoeyCannon_/status/1352392675920637954
Joe,@JoeyCannon_,2021-01-17T02:33:29.000Z,“The year of fuck with who fuck with you” no kizzy,,,,,,[],https://twitter.com/JoeyCannon_/status/1350632305149292546
Joe,@JoeyCannon_,2021-01-13T20:18:48.000Z,Caris Levert’s upside > James Harden’s upside,,,,,1,[],https://twitter.com/JoeyCannon_/status/1349450847370018820
Joe,@JoeyCannon_,2021-01-05T15:55:21.000Z,Kilo for the kicks I’m a real stepper,,,,,,[],https://twitter.com/JoeyCannon_/status/1346485446407290880
Joe,@JoeyCannon_,2021-01-22T18:11:08.000Z,"8am Monday she’s yours, this weekend I lover her",,,,,,[],https://twitter.com/JoeyCannon_/status/1352680210639048705
Joe,@JoeyCannon_,2021-01-19T20:22:35.000Z,They treat you like god when you beat the odds,,,,,,[],https://twitter.com/JoeyCannon_/status/1351626129422082051
Joe,@JoeyCannon_,2021-01-12T16:27:17.000Z,"Even when I take a L still gotta score,  I feel like Melo on the Knicks",,,,,,[],https://twitter.com/JoeyCannon_/status/1349030199107735552
