UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joseph Greenlee,@JosephGreenle10,2021-01-20T16:52:54.000Z,"Thank you
#Ripplestreet
#CanonIVY
#Sponsored
I can't wait to try these!",,❤ ❤ ❤ ❤ ❤,,,,['https://pbs.twimg.com/media/EsMKZR3XcAAjXV2?format=jpg&name=small'],https://twitter.com/JosephGreenle10/status/1351935745422987264
Joseph Greenlee,@JosephGreenle10,2021-01-03T07:04:11.000Z,Enter the Garnier Watermelon Treat Giveaway! https://campaign.rtm.com/realtimesocial/share.aspx?promotionId=10160&shareGuid=4ef1c14d-7038-4196-a5f6-f9be92923f6d…,,,,,,[],https://twitter.com/JosephGreenle10/status/1345626997272301568
Joseph Greenlee,@JosephGreenle10,2021-01-30T09:56:43.000Z,"@RippleStreetFun
 
Thank you
Ripplestreet
#CanonIVY
#Sponsored
My sons love this camera!!! The sticker pictures are really cool and you can also use your phone or computer with the CanonIVY app to take pictures or use your photo albums to print pictures.",,,,,1,['https://pbs.twimg.com/media/Es-LChhXUAUVsbZ?format=jpg&name=small'],https://twitter.com/JosephGreenle10/status/1355454891037220865
Joseph Greenlee,@JosephGreenle10,2021-01-25T17:20:09.000Z,Friends who trade together - get paid together. Click my link to download the dough app and we'll both get a free share of stock!,"Referrals
dough is what investing should be: unlimited commission-free stock trading, zero account minimums, and an easy to use mobile app filled with smart ideas.
dough.com",,,,2,[],https://twitter.com/JosephGreenle10/status/1353754543075557379
Joseph Greenlee,@JosephGreenle10,2021-01-22T19:20:10.000Z, There’s a special referral event going on in the Webull mobile app  Participate to win awesome prizes!,"Spin the Webull Wheel
act.webull.com",✨ 😍,,,1,[],https://twitter.com/JosephGreenle10/status/1352697581617479685
Joseph Greenlee,@JosephGreenle10,2021-01-14T13:22:25.000Z,"Trade Stocks, ETFs, Options and Cryptos all from one account with 0 commissions! Sign up, open an account and make your first deposit and get 4 free stocks!","Don't miss the chance to get your free stock(s)!
act.webull.com",,,,1,['https://pbs.twimg.com/card_img/1398860842523897857/csQWeLMF?format=png&name=small'],https://twitter.com/JosephGreenle10/status/1349708448255135748
Joseph Greenlee,@JosephGreenle10,2021-01-23T17:13:34.000Z,Is it about the stock market?,,,,,1,[],https://twitter.com/JosephGreenle10/status/1353028110413934594
Donnie Wahlberg,@DonnieWahlberg,2021-01-23T17:03:42.000Z,"#loveeternal 

(and I mean forever).

(and ever).

(and every ever after that).",GIF,❤,919,300,3.8K,['https://pbs.twimg.com/tweet_video_thumb/EsbpokBXEAA2C5P.jpg'],https://twitter.com/DonnieWahlberg/status/1353025627239165952
Joseph Greenlee,@JosephGreenle10,2021-01-23T17:16:25.000Z,"Love you bro,you are one of the best actors of all time. Coolest M*FER in the business!",,❤ ❤ ❤ ❤ ❤,,,,[],https://twitter.com/JosephGreenle10/status/1353028828692672512
Pulte,@pulte,2021-01-15T23:59:18.000Z,I see you,,,5.9K,1.3K,23.3K,[],https://twitter.com/pulte/status/1350231115638972417
Joseph Greenlee,@JosephGreenle10,2021-01-16T00:00:49.000Z,I can see you too,,👋,,,,[],https://twitter.com/JosephGreenle10/status/1350231498440527873
Joseph Greenlee,@JosephGreenle10,2021-01-25T16:00:59.000Z,"Hey! I’ve been using Cash App to send money and spend using the Cash Card. Try it using my code and you’ll get $5. QSFCTZV 
https://cash.app/app/QSFCTZV",,,,,1,[],https://twitter.com/JosephGreenle10/status/1353734622803324929
Joseph Greenlee,@JosephGreenle10,2021-01-28T16:00:43.000Z,"Replying to 
@fermalife","No,he won't see his shadow.",,,,,[],https://twitter.com/JosephGreenle10/status/1354821716908797960
Joseph Greenlee,@JosephGreenle10,2021-01-19T18:07:41.000Z,"Now is the time to get in,stocks are really moving!
Lets get this money together!
Free stocks for everyone who uses my link!!!
Friends who trade together - get paid together. Click my link to download the dough app and we'll both get a free share of stock!","Referrals
dough is what investing should be: unlimited commission-free stock trading, zero account minimums, and an easy to use mobile app filled with smart ideas.
dough.com",,,,,[],https://twitter.com/JosephGreenle10/status/1351592180129914883
Amazon Music,@amazonmusic,2021-01-10T14:58:45.000Z,Describe your music taste with one song ,,⬇,269,76,251,[],https://twitter.com/amazonmusic/status/1348283140134023168
Joseph Greenlee,@JosephGreenle10,2021-01-10T22:24:12.000Z,If a six was a nine.,,,,,1,[],https://twitter.com/JosephGreenle10/status/1348395244660912130
Joseph Greenlee,@JosephGreenle10,2021-01-21T10:43:15.000Z,"Replying to 
@ParisHilton","I am wishing for peace and love for everyone as well as an autographed picture from 
@ParisHilton",,1,,1,[],https://twitter.com/JosephGreenle10/status/1352205111301459969
Joseph Greenlee,@JosephGreenle10,2021-01-21T11:50:19.000Z,The Sweet Escape,,,,,2,[],https://twitter.com/JosephGreenle10/status/1352221987985371138
Katy Perry Charts,@perryscharts,2021-01-20T14:50:07.000Z,"Apparently, Katy Perry will perform at Joe Biden’s #InaugurationDay TONIGHT, from 8:30 to 10 p.m. ET. ",,⚡,27,130,1K,"['https://pbs.twimg.com/media/EsLuSwjW8AUXRLc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EsLuS6KXIAECuCP?format=jpg&name=360x360']",https://twitter.com/perryscharts/status/1351904848942428164
Joseph Greenlee,@JosephGreenle10,2021-01-20T16:49:58.000Z,"Looking good!
I love you 
@katyperry",,❤ ❤ ❤ ❤ ❤,,,,[],https://twitter.com/JosephGreenle10/status/1351935008957734922
Unapologetically MrsParker,@DevilishlyDP,2021-01-28T16:50:36.000Z,"Replying to 
@pulte
 and 
@stoolpresidente","I’ve been following this on Reddit and I CANNOT get comments to load on #wallstreetbets, anyone know why? Please tell me this is truly a server error. I swear they are trying to stop people from learning.",💙 🗳 💙,2,,1,['https://pbs.twimg.com/media/Es1Wlk_UYAMWoOS?format=jpg&name=medium'],https://twitter.com/DevilishlyDP/status/1354834270393569283
Joseph Greenlee,@JosephGreenle10,2021-01-28T17:00:44.000Z,They are blocking comments on Webull too!!!,,,1,,1,[],https://twitter.com/JosephGreenle10/status/1354836819884568577
Joseph Greenlee,@JosephGreenle10,2021-01-23T10:25:20.000Z,"Replying to 
@fighterslatam
 and 
@xtina","Every single one of them,duh.",❤ ❤ ❤ ❤ ❤,,,,[],https://twitter.com/JosephGreenle10/status/1352925375286939656
Joseph Greenlee,@JosephGreenle10,2021-01-25T17:00:31.000Z,"Replying to 
@pulte","I love what you are doing,keep up the good work

$josephgreenlee363",❤ ❤ ❤ ❤ ❤,,,,[],https://twitter.com/JosephGreenle10/status/1353749601753436162
Joseph Greenlee,@JosephGreenle10,2021-01-22T09:57:07.000Z,,"ACK x PowerPole Gear Giveaway
Enter to win a Gear Pack from PowerPole and ACK.com over $895. This package includes a PowerPole Micro Anchor, PowerPole Micro Anchor Lithium Ion Battery Pak, and PowerPole Micro Anchor 8 Foot Ultra...
woobox.com",,,,,[],https://twitter.com/JosephGreenle10/status/1352555888050102272
