UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Lauty,@LautaroSandy,2021-01-29T02:23:53.000Z,"Replying to 
@valeealgo
 and 
@ClimbingFish_",Ya se,🐍 🐍 🐍,1,,,[],https://twitter.com/LautaroSandy/status/1354978543718043651
Lauty,@LautaroSandy,2021-01-27T16:42:25.000Z,"Los mejores jugadores de argentina
1- Messi
2- Maradona 
3- Kempes
4- Riquelme
5- Di Stefano
6- Bochini
7- Zanetti
8- Batistuta
9- Agüero
10- Passarella",,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1354469823577796610
Lauty,@LautaroSandy,2021-01-27T03:36:59.000Z,"Replying to 
@LautaroSandy
 and 
@FabianPrl","@FabianPrl
 sos un cagón no aceptas que diga la verdad",🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1354272163101077508
Juan Grabois,@JuanGrabois,2021-01-25T17:45:13.000Z,¿En serio MercadoLibre vale un cuarto de la producción anual de la totalidad de los argentinos? O tal vez haya algo muy siniestro en como este sistema le asigna valor y poder a ciertas corporaciones.,,,5.6K,2.7K,4.3K,[],https://twitter.com/JuanGrabois/status/1353760854341267456
Lauty,@LautaroSandy,2021-01-25T19:20:11.000Z,Cuando se te ocurra conseguir un trabajo honesta habla,,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1353784751375732738
Lauty,@LautaroSandy,2021-01-29T02:27:18.000Z,"Replying to 
@marcelopuella",Vos si te postulas solo con otro partido no te vota nadie,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1354979403030286337
AFIPComunica,@AFIPcomunica,2021-01-28T10:44:35.000Z,"Ningún monotributista será dado de baja de oficio del régimen por falta de pago durante enero, febrero y marzo. Además se dispuso suspender hasta abril las exclusiones y todo otro proceso sistémico vinculado al encuadre y categorización de los pequeños contribuyentes.",,,23,55,73,['https://pbs.twimg.com/media/Es0CfyfW4AgIpJv?format=jpg&name=small'],https://twitter.com/AFIPcomunica/status/1354742160223068166
Lauty,@LautaroSandy,2021-01-28T14:45:30.000Z,Cuando van a dejar de robar CHORROS,,🐍 🐍 🐍,,,2,[],https://twitter.com/LautaroSandy/status/1354802790250369032
Aníbal Fernández,@FernandezAnibal,2021-01-29T21:43:47.000Z,"LA DERECHA PAGA
Denunciarán a Fernando Iglesias por es espectacular incremento de su patrimonio

El diputado macrista multiplicó doce veces sus bienes en 4 años. Viajes por el mundo, autos de lujo y una denuncia que le traerá varios dolores de cabeza.","Denuncian a Fer Iglesias por SU espectacular incremento patrimonial
Multiplicó doce veces sus bienes en 4 años. Viajes por el mundo, autos de lujo y una denuncia que le traerá varios dolores de cabeza.
portaldenoticias.com.ar",,293,1K,2.2K,[],https://twitter.com/FernandezAnibal/status/1355270440940425217
Agus,@AgusGarridx,2021-01-28T21:05:06.000Z,"-Espert:Te salva el mercado, no el Estado.

*Un mes después*
Espert llora y pide intervención del Estado.

Cómo se llama la obra?",,,195,760,2.5K,"['https://pbs.twimg.com/media/Es2Q1kSWMAI1Qlg?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Es2Q1zEXcAg6QQa?format=jpg&name=360x360']",https://twitter.com/AgusGarridx/status/1354898319974268930
Lauty,@LautaroSandy,2021-01-29T00:17:47.000Z,El sector hotelero fue y es de la más golpeados por la cuanrentena y la pandemia estuvieron cerrados 6 meses y por 2 meses no pudieron albergar gente,,🐍 🐍 🐍,,,2,[],https://twitter.com/LautaroSandy/status/1354946808083001353
Lauty,@LautaroSandy,2021-01-25T23:25:36.000Z,"Replying to 
@Juanitocamina13",Y si a mí se me cortó 2 veces en los 4 años y en el de Cristina todos lo veranos 5 o 6 cortes de 3 a 4 o 6 días de duración,🐍 🐍 🐍,,,2,[],https://twitter.com/LautaroSandy/status/1353846513089323008
Prol. Humor Gráfico,@FabianPrl,2021-01-26T22:31:38.000Z,"A pesar de todas las velas, rezos e invocaciones mágicas de Lilita, y de los hectolitros de lavandina vertidos por Canosa, en una hora y media parte el tercer vuelo de Aerolíneas Argentinas con destino a Moscú.
¡¡¡Dios nos guarede!!!",,,11,42,113,['https://pbs.twimg.com/media/EssRdNDXcAAbASp?format=jpg&name=small'],https://twitter.com/FabianPrl/status/1354195318712229895
Lauty,@LautaroSandy,2021-01-27T00:07:20.000Z,"El problema es lo que dijo Alberto no la vacuna dijo que iba a vacunar a 10.000.000 de argentinos y vacuno a 300.000, después dijo que entre enero y febrero iba a traer 10.000.000 de docis y por ahorra trajo 900.000",,🐍 🐍 🐍,2,,5,[],https://twitter.com/LautaroSandy/status/1354219403462799360
Lauty,@LautaroSandy,2021-01-30T01:55:58.000Z,"Replying to 
@omegabalrog__
 and 
@penguinKiller56",Y que tiene que ver? es con lo único que me podes atacar porque no tenes argumentos,🐍 🐍 🐍,1,,,[],https://twitter.com/LautaroSandy/status/1355333903054229508
Sergio,@SergioVal61,2021-01-27T21:44:13.000Z,"Replying to 
@LautaroSandy
 and 
@FabianPrl","No te hagas problema por la cantidad,a los simios no les hace falta vacunarse, en octubre 19 recibieron la mayor vacuna de la historia,creo que con esa alcanzan la imunidad de manada.",,1,,,[],https://twitter.com/SergioVal61/status/1354545776228261891
Lauty,@LautaroSandy,2021-01-27T23:02:07.000Z,Los simios son ustedes no viste la asunción de Alberto se estaban bañando en la fuente,,🐍 🐍 🐍,1,,,[],https://twitter.com/LautaroSandy/status/1354565379469824002
Maritha53,@Maritha531,2021-01-25T22:34:49.000Z,"Replying to 
@hijo_de_obrero",Qué lindo es ser peronista y cuando veo ésto aún mas,✌,7,,10,[],https://twitter.com/Maritha531/status/1353833731174375424
Lauty,@LautaroSandy,2021-01-26T00:19:19.000Z,Con Cristina se cortaba todos los veranos más de 6 veces y por largos periodos de tiempo,,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1353860030446116864
Marco,@IkariBonaerense,2021-01-27T22:53:48.000Z,"Replying to 
@Filantropuss",Mirá si me voy a poner a argumentar contra el deficitario mental del dipy,,4,,3,[],https://twitter.com/IkariBonaerense/status/1354563284184215553
Lauty,@LautaroSandy,2021-01-28T12:48:50.000Z,Creo que sos vos el deficitario porque defendes al peor modelo económico de la historia,,🐍 🐍 🐍,,,2,[],https://twitter.com/LautaroSandy/status/1354773430374191109
Lauty,@LautaroSandy,2021-01-23T17:34:50.000Z,"Replying to 
@TheRonamones1
 @pachipal
 and 
@jonalomu2",No sé juega con las personas ciegas,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1353033465340571649
EL OMEGUI,@omegabalrog__,2021-01-29T22:51:57.000Z,"Replying to 
@LautaroSandy
 and 
@penguinKiller56","Desinformando siempre las viboritas
Socialdemocracia no tiene nada que ver con Socialismo",,1,,,[],https://twitter.com/omegabalrog__/status/1355287596507791360
Lauty,@LautaroSandy,2021-01-30T00:24:34.000Z,Es lo mismo los socialdemócrata son socialistas amarillos. Pero el kirchnerismo es socialiamo marxista los que si son socialdemocratas son los KAMBIEMITAS,,🐍 🐍 🐍,3,1,,[],https://twitter.com/LautaroSandy/status/1355310904380944388
Espertma del 41%,@Espertma_,2021-01-27T21:32:11.000Z,"Abro hilo de personajes de la política argentina totalmente infravalorados y maltratados

Empiezo yo

Domingo Felipe Cavallo",,,8,9,81,['https://pbs.twimg.com/media/EsxNcpWXIAY5CSA?format=jpg&name=small'],https://twitter.com/Espertma_/status/1354542744841170945
Lauty,@LautaroSandy,2021-01-28T00:32:57.000Z,Yamil Santoro,,🐍 🐍 🐍,,,1,[],https://twitter.com/LautaroSandy/status/1354588235872268291
Pablo Altamirano,@Pablodalt,2021-01-26T18:02:43.000Z,"Mauri había hecho este logo para su fundación, pero le avisaron que no era conveniente y copio el de gmail a último momento",,,22,53,238,['https://pbs.twimg.com/media/EsrT6GIXIAEj0Ms?format=jpg&name=small'],https://twitter.com/Pablodalt/status/1354127643872997384
Cris Bavera,@CrisBavera,2021-01-27T18:36:02.000Z,"Replying to 
@MikeLuca7","Ninguna queja, es lo ridículo nomás.",☀,2,,,[],https://twitter.com/CrisBavera/status/1354498415217025024
Lauty,@LautaroSandy,2021-01-28T00:13:19.000Z,Lo ridículo es que la fundación Eva Perón fue un mafia si no le dabas los juguetes que te pedían la pasabas mal,,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1354583297863675905
El bole,@LucasCostanzo74,2021-01-28T22:56:48.000Z,"Replying to 
@PabloUsandivar3
 and 
@juanjomalvinas","Ejemplo muy nefasto el que pusiste, el aborto legal no es matar bebes, es para que una mujer decida si quiere ser madre o no porque admito que a veces no se saben cuidar pero tambien hay personas que se cuidaron y salio mal, ya que no hay un metodo anticonceptivo 100 efectivo",,3,,1,[],https://twitter.com/LucasCostanzo74/status/1354926429587304451
Lauty,@LautaroSandy,2021-01-29T00:36:50.000Z,Mientras no lo financiemos con impuestos todo bien,,🐍 🐍 🐍,1,,,[],https://twitter.com/LautaroSandy/status/1354951604072493065
Mariela Luca,@marielaluca,2021-01-29T13:24:19.000Z,"Replying to 
@Monique_C123","Dejen de sumar mentiras, sólo inscriben y es hora de que se dejen de boludear y colaboren, #OPOopa",,1,,,[],https://twitter.com/marielaluca/status/1355144744087801856
Lauty,@LautaroSandy,2021-01-29T22:12:08.000Z,"Y también es hora de que dejes de creer que las viejas berretas de plaza de mayo les importa algo ellas solo quieren plata, si les importara estarían encontra de la dictadura cubana y el régimen venezolano",,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1355277574738468868
Marcela Elena.,@_Elenapacheco,2021-01-25T23:10:17.000Z,"Replying to 
@javilo79
 and 
@todonoticias","La dueña dijo _ "" es bueno después de 4 años que elmoresidenye vuelva a salir a la calle y tenga contacto con la gente""",💚 ✌,2,,,[],https://twitter.com/_Elenapacheco/status/1353842657290809344
Lauty,@LautaroSandy,2021-01-26T00:23:11.000Z,Trump es peronista y lo demostró en la asunción de Bien al no ir,,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1353861004015362049
Alfredo Figueras Cuis Music Dachshund,@FiguerasAlfredo,2021-01-25T03:15:01.000Z,"Replying to 
@eldestapeweb
 and 
@crist_carrillo","-En muchísimos países (más de 1000) existe la pena de muerte para quienes aumentan sin permiso y se excusan con el cuento de la factura ya impresa. 
-¿Eso bajó la delincuencia empresarial? 
-Nopi, aumentó la mortalidad. Entregan un empleado por mes engordado para la ocasión.",🦕 🦆 🦡 🐽 🐉,4,1,2,[],https://twitter.com/FiguerasAlfredo/status/1353541859587592192
Lauty,@LautaroSandy,2021-01-25T13:58:08.000Z,No hay más de mil países y tampoco hay pena de muerte por aumentos,,🐍 🐍 🐍,,,,[],https://twitter.com/LautaroSandy/status/1353703706697605120
