UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
LmdTv_,@LmdLiam,2021-01-15T16:36:18.000Z,#TwitchRecap thx you everyone support me. the grind never stops,,,,,1,['https://pbs.twimg.com/media/EryWXfuXMAMr3WM?format=jpg&name=small'],https://twitter.com/LmdLiam/status/1350119628538830848
LmdTv_,@LmdLiam,2021-01-15T16:43:03.000Z,it's a sign I need to go back to the warzone,,,,,,['https://pbs.twimg.com/media/EryYKa9XUAI3s7-?format=png&name=small'],https://twitter.com/LmdLiam/status/1350121328821612545
LmdTv_,@LmdLiam,2021-01-13T10:54:26.000Z,New stream schedule,,,,,1,['https://pbs.twimg.com/media/Erm1MhpW8AAiGBv?format=png&name=360x360'],https://twitter.com/LmdLiam/status/1349308822771408900
LmdTv_,@LmdLiam,2021-01-13T18:03:34.000Z,"Playing some #Minecraft 

 https://twitch.tv/lmdtv_ 

#twitchaffiliate","LmdTv_ - Twitch
I mainly play FPS games I am not competitive I am just a casual player, I test guns and I do challenges. I am learning mouse and keyboard.
twitch.tv",,,,1,['https://pbs.twimg.com/card_img/1429578793686085632/fco5zgki?format=png&name=240x240'],https://twitter.com/LmdLiam/status/1349416814439227394
LmdTv_,@LmdLiam,2021-01-14T12:07:46.000Z,do you like the #VALORANT content,"yes
100%
no
0%
1 vote
·
Final results",,,,,[],https://twitter.com/LmdLiam/status/1349689663087378433
LmdTv_,@LmdLiam,2021-01-14T18:48:15.000Z,playing some #VALORANT,"LmdTv_ - Twitch
I mainly play FPS games I am not competitive I am just a casual player, I test guns and I do challenges. I am learning mouse and keyboard.
twitch.tv",,1,,,['https://pbs.twimg.com/card_img/1429578793686085632/fco5zgki?format=png&name=240x240'],https://twitter.com/LmdLiam/status/1349790447602982917
LmdTv_,@LmdLiam,2021-01-11T21:34:00.000Z,"LIVE from 
@Twitch",,,,,,['https://pbs.twimg.com/media/Ere0amEXYAgfAwq?format=jpg&name=small'],https://twitter.com/LmdLiam/status/1348744997244440576
LmdTv_,@LmdLiam,2021-01-14T01:19:56.000Z,join my discord,"Discord - A New Way to Chat with Friends & Communities
Discord is the easiest way to communicate over voice, video, and text. Chat, hang out, and stay close with your friends and communities.
discord.com",,,,,['https://pbs.twimg.com/card_img/1374720156681781250/Ut8DMxtH?format=jpg&name=small'],https://twitter.com/LmdLiam/status/1349526632273379328
LmdTv_,@LmdLiam,2021-01-11T21:25:40.000Z,"@TheGrefg
 congrats",GIF,,,,1,['https://pbs.twimg.com/tweet_video_thumb/Ereyg7nXMAIUxTd.jpg'],https://twitter.com/LmdLiam/status/1348742899924688899
LmdTv_,@LmdLiam,2021-01-15T19:32:31.000Z,sorry i am late i be LIVE soon,,,1,,1,[],https://twitter.com/LmdLiam/status/1350163974944415746
