UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
MayaCyndi,@MayaNixon3,2021-01-08T23:09:11.000Z,So I started a small buisness,"The following media includes potentially sensitive content. Change settings
View",,1,4,5,[],https://twitter.com/MayaNixon3/status/1347681786629918721
MayaCyndi,@MayaNixon3,2021-01-28T19:06:21.000Z,LMFAOOOOOOOOOOOO,"Moderna Boss
@flexxclusive_
 · Jan 28
LMAOOOOOOO Y’all ain gin believe this one.",,,,,"['https://pbs.twimg.com/profile_images/1424587070580969478/03gBC5jO_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1354851915448918031/pu/img/I9krZ8Zs9VEIIeFD.jpg']",https://twitter.com/MayaNixon3/status/1354868435616935937
MayaCyndi,@MayaNixon3,2021-01-08T23:09:12.000Z,,"The following media includes potentially sensitive content. Change settings
View",,,1,1,[],https://twitter.com/MayaNixon3/status/1347681791197503493
MayaCyndi,@MayaNixon3,2021-01-02T04:44:59.000Z,"Replying to 
@petty__aa",,🤣 🤣,,,,[],https://twitter.com/MayaNixon3/status/1345229577501736960
MayaCyndi,@MayaNixon3,2021-02-20T06:23:37.000Z,LMFAOOOO,"@DangMarquis
 · Feb 19
Why she standing like Randy Orton twitter.com/2sandz/status/…
Show this thread",🐘,,,,['https://pbs.twimg.com/profile_images/1320843516587724801/AoCsguhJ_mini.jpg'],https://twitter.com/MayaNixon3/status/1363011407487397889
MayaCyndi,@MayaNixon3,2021-03-01T23:16:30.000Z,Telling you,"Irenic
@ExoticChocolat6
 · Mar 1
How you mad cause my man love me?",🦋,,,,['https://pbs.twimg.com/profile_images/1355915028386488321/Xny_icLL_mini.jpg'],https://twitter.com/MayaNixon3/status/1366527799679455234
MayaCyndi,@MayaNixon3,2021-03-11T23:41:44.000Z,Pretty and Prepared ,"The following media includes potentially sensitive content. Change settings
View",✨ ✅,,,22,[],https://twitter.com/MayaNixon3/status/1370158027928694787
MayaCyndi,@MayaNixon3,2021-03-31T16:20:49.000Z,Bui I dying,"Berto
@BigZoe614
 · Mar 31
Her ass said, “I don’t know why you’re saying I’m still legally married. We didn’t have a legal marriage. We had a spiritual wedding.” Now I’m like why did I even text this hoe? . So I asked “ what yaw had a spiritual divorce?” Her ass said yeah 
Show this thread",🤣 🤣 🤣 🤣 😭 😭 😭 😭 😭 😭 😭 😭 😭,,,,['https://pbs.twimg.com/profile_images/1412099229913423877/f8CIkTcN_mini.jpg'],https://twitter.com/MayaNixon3/status/1377294824408297474
MayaCyndi,@MayaNixon3,2021-04-30T00:09:29.000Z,Updating my this her picture ,"The following media includes potentially sensitive content. Change settings
View",✨ ✨ 🤍,,2,26,[],https://twitter.com/MayaNixon3/status/1387922015160516608
MayaCyndi,@MayaNixon3,2021-04-15T22:36:20.000Z,"Replying to 
@YoungTez",Aight bet!,,,2,,[],https://twitter.com/MayaNixon3/status/1382825144004046855
Des,@ArieAlisha69,2021-04-30T12:40:10.000Z,As you should ,"The following media includes potentially sensitive content. Change settings
View",💋,1,,1,[],https://twitter.com/ArieAlisha69/status/1388110929481584641
MayaCyndi,@MayaNixon3,2021-04-30T12:51:45.000Z,Love youuu,,🤍,,,1,[],https://twitter.com/MayaNixon3/status/1388113844682301442
MayaCyndi,@MayaNixon3,2021-05-28T14:57:23.000Z,Real,"Suga Water
@OnlyHanz_
 · May 28
At this point my person is me twitter.com/doseofanna/sta…",,,,,['https://pbs.twimg.com/profile_images/1419423823913443328/jEQoAy1J_mini.jpg'],https://twitter.com/MayaNixon3/status/1398292323440726023
MayaCyndi,@MayaNixon3,2021-05-25T14:52:56.000Z,both,"@YoDevChill
 · May 25
Spoiled females...  Temper tantrum or silent treatment?",✨ ✨ 🤔,,,,['https://pbs.twimg.com/profile_images/1396095105568813056/n8H_morQ_mini.jpg'],https://twitter.com/MayaNixon3/status/1397204039989878789
MayaCyndi,@MayaNixon3,2021-05-25T14:51:37.000Z,LMAOOO wth,"enyol
@engxl
 · May 24
can’t stop thinking about this lmfaooooooo",🤣,,,,"['https://pbs.twimg.com/profile_images/1429567947547283459/-d2ZM4r1_mini.jpg', 'https://pbs.twimg.com/media/E2KGQQ3X0AYs7YQ?format=jpg&name=medium']",https://twitter.com/MayaNixon3/status/1397203706626588684
MayaCyndi,@MayaNixon3,2021-05-06T15:44:00.000Z,Someone Said June12,"OneWay Baleb
@King_Pen_
 · May 4
Dawg when its ya birthday you really dont be givin a fuck
Show this thread",🤣 🎈 😭 😭 😭 😭 😭,,,,"['https://pbs.twimg.com/profile_images/1413901768984043526/3TF7yPmc_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1389358914530054146/pu/img/v54TbSeJh0Xy9lwA.jpg']",https://twitter.com/MayaNixon3/status/1390331522838933507
MayaCyndi,@MayaNixon3,2021-05-28T05:09:36.000Z,At this point .... I wouldn’t be surprised if Sara ass still alive,,,,,,[],https://twitter.com/MayaNixon3/status/1398144404381126656
MayaCyndi,@MayaNixon3,2021-05-29T01:15:34.000Z,A constant struggle in my life ,"𝘭𝘪𝘭 𝘴𝘸𝘦𝘦𝘵𝘺
@queenprimia
 · May 29
my weight is fluctuate so much i stop caring. one day the pants dropping off me, the next day the pants too tight. i give up",🤣,,,,['https://pbs.twimg.com/profile_images/1419333136727658497/lyUZdgnV_mini.jpg'],https://twitter.com/MayaNixon3/status/1398447894483582982
