UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Rinn,@Messxrsmoony_,2021-01-13T12:27:37.000Z,Hello  #LGBTQIAfamily ,,🍄 💫 😳 💜,,,,"['https://pbs.twimg.com/media/ErnKi7-XcAgoHZ4?format=jpg&name=small', 'https://pbs.twimg.com/media/ErnKi8AXAAUleqB?format=jpg&name=small', 'https://pbs.twimg.com/media/ErnKi8EXMAAtQLO?format=jpg&name=small']",https://twitter.com/Messxrsmoony_/status/1349332269522104321
Rinn,@Messxrsmoony_,2021-01-11T19:54:12.000Z,stolen  please answer I’m curious,,🍄 💫 😌,,,,['https://pbs.twimg.com/media/EredlOdXMAkOIlW?format=jpg&name=900x900'],https://twitter.com/Messxrsmoony_/status/1348719880762257409
Rinn,@Messxrsmoony_,2021-01-11T17:47:16.000Z,Actually feel kinda cute for once ,,🍄 💫 😳,1,,1,['https://pbs.twimg.com/media/EreAh4vXIAEfTsV?format=jpg&name=small'],https://twitter.com/Messxrsmoony_/status/1348687938448666624
Rinn,@Messxrsmoony_,2021-01-16T21:45:46.000Z,OMG EEFS SKIN I- why. But also... amazing,,🍄 💫,,,,[],https://twitter.com/Messxrsmoony_/status/1350559898996797444
Moonlight,@moonlightbayby,2021-01-18T08:46:44.000Z,your last saved pic is the father,,,12.9K,14.8K,16.4K,['https://pbs.twimg.com/media/EsAH7I-XEAA_YQX?format=jpg&name=small'],https://twitter.com/moonlightbayby/status/1351088623647662082
Rinn,@Messxrsmoony_,2021-01-18T23:50:10.000Z,Great...,,🍄 💫,,,,['https://pbs.twimg.com/media/EsDWuKUXUAEgAdO?format=jpg&name=900x900'],https://twitter.com/Messxrsmoony_/status/1351315981822545920
Rinn,@Messxrsmoony_,2021-01-25T09:21:43.000Z,I wanna be a costume designer for musical theatre specifically history based musicals! ,,🍄 💫 ☺,,,,[],https://twitter.com/Messxrsmoony_/status/1353634142676799495
ally | SHANG CHI!!,@wintqrsbarnes,2021-01-18T13:40:20.000Z,"tw // self harm
-
-
-
-
-
-
-
-
-
-
-
-
-
:DD",,,5,,8,['https://pbs.twimg.com/media/EsBLIzvU0AAaNfp?format=jpg&name=900x900'],https://twitter.com/wintqrsbarnes/status/1351162508518764545
Rinn,@Messxrsmoony_,2021-01-18T13:45:09.000Z,Proud of you!!!! Congrats dude you got this <3 :D,,🍄 💫 ☺,,,1,[],https://twitter.com/Messxrsmoony_/status/1351163721549307904
Rinn,@Messxrsmoony_,2021-01-13T16:06:17.000Z,Y’know my mum just came in and shouted at me for getting ABOVE AVERAGE on my school report because it wasn’t good enough for her expectations *laughs in amity blight kinnie*,,🍄 💫,,,1,[],https://twitter.com/Messxrsmoony_/status/1349387299931512834
