UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Kattie Tarvid,@Metallikate,2021-01-27T03:32:02.000Z,"I’m feeling like a turtle today & there’s no option for that. 
Discriminatory, racist, fascists!!!",,,,,,['https://pbs.twimg.com/media/EstWONRXcAIou4E?format=jpg&name=900x900'],https://twitter.com/Metallikate/status/1354270918965604357
Kattie Tarvid,@Metallikate,2021-01-27T14:07:34.000Z,I just earned $56 with RewardsFeed under 30 minutes... Sounds too good,,,,,,[],https://twitter.com/Metallikate/status/1354430854529953795
Kattie Tarvid,@Metallikate,2021-01-28T03:32:28.000Z,"Check out An Interview with Matt Ox | January 27, 2021 | !q&a","theneedledrop - Twitch
Anthony Fantano, the Internet's busiest music nerd, is here on Twitch! Reviewing and reacting to music with you! Wow! Crazy!
twitch.tv",,,,,['https://pbs.twimg.com/card_img/1432055206909337600/LQvdr-kg?format=png&name=240x240'],https://twitter.com/Metallikate/status/1354633415899885575
Kattie Tarvid,@Metallikate,2021-01-29T18:56:38.000Z,Hey I’m watching Roseanne. Check it out now on Prime Video!,"Roseanne
The story of a working class family struggling with life's essential problems: Marriage, Children, Money and Parents in Law.
amazon.com",,,,,[],https://twitter.com/Metallikate/status/1355228375598686214
Kattie Tarvid,@Metallikate,2021-01-27T13:59:46.000Z,"I earned $116 just using my phone from my couch! You can earn too!  
Sign up now to get $25 bonus: https://sharerewardsfeed.com/?coupon=t5k-kattie… 
This is the best and easiest way to make money online! Start earning for FREE!  
PS  - Bonus for Limited Time Only ","RewardsFeed
OMG this has to be the best way to earn money online! Guaranteed Payouts; 225,000+ Happy Members
sharerewardsfeed.com",💸 🤑 😊 🔥 ⌛,,,,[],https://twitter.com/Metallikate/status/1354428890765254660
Michelle Whitzel,@MichelleWhitzel,2021-01-28T20:56:31.000Z,AOC is the equivalent of a reality T.V. star trying to be an a-list actress with no talent and her popularity gained only through people loving to hate her.,"Candace Owens
@RealCandaceO
 · Jan 28
Quick reminder of that time @AOC staged a photoshop at the U.S border, said ICE agents were operating “concentration camps”—which led to ANTIFA attacking ICE detention centers as a result. 

This is why @tedcruz ignores her 15 year-old temper tantrums. 

She is a clown. twitter.com/AOC/status/135…",,1,,1,['https://pbs.twimg.com/profile_images/1369699898753486854/7LyTBbgC_mini.jpg'],https://twitter.com/MichelleWhitzel/status/1354896156124454914
Kattie Tarvid,@Metallikate,2021-01-28T22:22:25.000Z,I like that! Accurate. She’s so gross.,,,,,,[],https://twitter.com/Metallikate/status/1354917777371525122
Kattie Tarvid,@Metallikate,2021-01-26T10:35:03.000Z,"Replying to 
@ChiSports1981
 @DavidStern11206
 and 
@HershyMarton",He’s whining about instigating & that’s all he’s done. The Stern zombie. Not President Trump.,,,,,[],https://twitter.com/Metallikate/status/1354014984510947328
Shiekashi,@Skiekashi,2021-01-27T16:31:54.000Z,"Replying to 
@saltstorm007
 @Metallikate
 and 3 others",The first step act was good and I'm not gonna deny that. But he pushed the war on drugs just like Reagan and Bush have and his incomitance with the pandemic affected minority communities way worse than the middle class.,,2,,,[],https://twitter.com/Skiekashi/status/1354467177496240130
Kattie Tarvid,@Metallikate,2021-01-27T21:29:35.000Z,And he still won’t believe it. He’ll either keep trying to fight. Or he’ll run to his safe space.,,,,,1,[],https://twitter.com/Metallikate/status/1354542090240323588
D Stern,@DavidStern11206,2021-01-26T03:27:47.000Z,"Replying to 
@ChuckyTimbre
 and 
@HershyMarton",What right thing? Denying 82 mill people their votes ??,,4,,,[],https://twitter.com/DavidStern11206/status/1353907458025119745
Kattie Tarvid,@Metallikate,2021-01-26T10:36:50.000Z, 82 million people WERE DENIED THEIR VOTE!!!! And the enemy cheated their moron in chief Trojan horse in.,,🤣 🤣 🤣 🤣 🤣 🤣,,,,[],https://twitter.com/Metallikate/status/1354015435772067841
Kattie Tarvid,@Metallikate,2021-01-26T10:32:38.000Z,"Replying to 
@DavidStern11206
 and 
@HershyMarton",The msm shoved lies down your throat for 4+ years. Every minute of every day. And you obviously sat there & ate it up. No reading.  I questioning. No research of your own. You’re the fool. It’s the left that’s causing all this. They had to make him look bad for them to look good,,1,,,[],https://twitter.com/Metallikate/status/1354014379017179136
Kattie Tarvid,@Metallikate,2021-01-26T18:45:37.000Z,Not not super douchable to remark this way. Got it.,,,,,1,[],https://twitter.com/Metallikate/status/1354138441664049154
Late Great,@max_late,2021-01-27T21:59:13.000Z,"Replying to 
@thongboy67
 @KingJames
 and 
@morethanavote","Sure thing. But first, how about your thoughts on the actual tweet? You know, where it’s pointing out that the administration that JUST LOST is looking to disenfranchise the black community? You know, since you seem so sincere in your interest in helping the black community?",,1,,5,[],https://twitter.com/max_late/status/1354549548836913152
Kattie Tarvid,@Metallikate,2021-01-27T23:33:40.000Z,We ain’t doing nothing to you. FFS. y’all so blind. If I didn’t know any better I’d swear you had chains on you Biden slaves,,,1,,,[],https://twitter.com/Metallikate/status/1354573317206925314
Kattie Tarvid,@Metallikate,2021-01-27T21:19:31.000Z,"Replying to 
@Skiekashi
 @McAustin_5
 and 3 others",You don’t get to tell me what I have to do to prove that I care about anybody. You can keep that virtue signaling to yourself.,,,,1,[],https://twitter.com/Metallikate/status/1354539560185831440
David Plouffe,@davidplouffe,2021-01-27T17:22:52.000Z,"You don’t move on from the U.S. Capitol falling, insurrection, an attempted coup, murder, planned assassinations or voting to throw out millions of black votes. Not today. Not tomorrow. Not ever.",,,337,8.6K,26.9K,[],https://twitter.com/davidplouffe/status/1354480001748398080
