UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Emily Furr,@Mrs_Furr25,2021-01-03T01:26:34.000Z,"Replying to 
@AlaneAdamsBooks
 @mezzopwr
 and 
@DonorsChoose","I am so close to my project being met! I have $225 to go and 43 days to meet that match!! My project is for novel sets for my 6th graders! #amongthehidden and #numberthestars 

https://donorschoose.org/project/get-lost-in-a-good-book/5240147/?utm_source=dc&utm_medium=directlink&utm_campaign=teacherhub&utm_term=teacher_6628894&rf=directlink-dc-2021-01-teacherhub-teacher_6628894&challengeid=21445973…",,,2,3,[],https://twitter.com/Mrs_Furr25/status/1345542033100988422
Emily Furr,@Mrs_Furr25,2021-01-18T00:42:53.000Z,"I only have 30 days to complete this project. Only $180 to go. Retweets appreciated! 
@FurryFriendsDC
 #teachertwitter #ela #ohio #novels","Emily Furr
@Mrs_Furr25
 · Jan 8
Who remembers a book they loved while in school? I have so many that are favorites of mine. My students love these novels we read but they are falling apart. This #donorschoose project will help replace these high interest novels we read. @FurryFriendsDC
https://donorschoose.org/project/get-lost-in-a-good-book/5240147/?challengeid=21619335&utm_source=dc&utm_medium=page&utm_campaign=project&utm_term=teacher_6628894&rf=page-dc-2021-01-project-teacher_6628894…",,,4,5,['https://pbs.twimg.com/profile_images/1423091857437888513/nY-GGQqK_mini.jpg'],https://twitter.com/Mrs_Furr25/status/1350966856866279426
Ashley Boone,@MrsBoone757,2021-01-08T21:17:12.000Z," #teachertwitter where y’all at?? Let me see those 
@donorschoose
 projects and 
@amazon
 wishlists 

Let’s help each other out!  I will be sending some #sprinkles out and rt all projects commented below  
#BetterTogether #friyay #clearthelist","Let's Stick Together -Part 1, a project from Mrs. Boone
Help me give my students personal magnet science kits to use while learning from home. This will be my fourth year of teaching and 2nd year in 2nd grade. My school has a big military presence. Many...
donorschoose.org",🗣 👀 🥰,45,28,37,['https://pbs.twimg.com/card_img/1432063557345353728/Y9VWp4J-?format=jpg&name=small'],https://twitter.com/MrsBoone757/status/1347653604287647746
Emily Furr,@Mrs_Furr25,2021-01-09T13:13:27.000Z,"Thanks! My project is to replace old novels in our classroom with these high interest novels.  So close to being funded.  #ela #novels 
https://donorschoose.org/project/get-lost-in-a-good-book/5240147/?challengeid=21619335&rf=page-dc-2021-01-project-teacher_6628894&utm_source=dc&utm_medium=page&utm_campaign=project&utm_term=teacher_6628894…",GIF,,,2,1,['https://pbs.twimg.com/tweet_video_thumb/ErSurUzXAAAPoam.jpg'],https://twitter.com/Mrs_Furr25/status/1347894254820065280
Emily Furr,@Mrs_Furr25,2021-01-09T13:16:36.000Z,"Wow! Thanks so much! My top item I'd love is the microscope for your phone. My students were so excited to use microscopes this year but with being virtual they can't so I want to give them that experience and this will help. 
https://amzn.to/2TqsGVy",GIF,,,,,['https://pbs.twimg.com/tweet_video_thumb/ErSvZd5W8AAymw-.jpg'],https://twitter.com/Mrs_Furr25/status/1347895047283470336
Emily Furr,@Mrs_Furr25,2021-01-24T19:05:42.000Z,"Replying to 
@mssummer444","Wow!! This is amazing!! Teaching is tough these days and things like this bring me joy!! 72,000 in student loans  and $3,000 in CC debt! Anything is always a blessing $EmilyFurr",,1,,,[],https://twitter.com/Mrs_Furr25/status/1353418720543191042
Emily Furr,@Mrs_Furr25,2021-01-23T03:16:27.000Z,"Replying to 
@AlaneAdamsBooks","Just registered!! I love how much you give back to teachers!! Anything off my list is always so appreciative! I pick everything out with great intentions of using it.
https://amzn.to/2TqsGVy",,,1,,[],https://twitter.com/Mrs_Furr25/status/1352817444776267778
Emily Furr,@Mrs_Furr25,2021-01-24T19:13:58.000Z,"Replying to 
@Mrs_Furr25
 and 
@BeegunJackie",Thanks!! Man I should proof read better next time. Typing faster than my  can catch up.,🧠,,,,[],https://twitter.com/Mrs_Furr25/status/1353420797201833992
karebear,@mrsgrosscup12,2021-01-09T21:30:20.000Z,honeymoon is officially all booked ,,💓 🥰 🌊 ❤,1,,6,[],https://twitter.com/mrsgrosscup12/status/1348019300477661186
Emily Furr,@Mrs_Furr25,2021-01-09T22:56:36.000Z,Where ya going?,,,1,,1,[],https://twitter.com/Mrs_Furr25/status/1348041010052526081
