UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Parzival,@Parzival2118,2021-01-29T03:03:37.000Z,Yes it is.,,,1,,,[],https://twitter.com/Parzival2118/status/1354988543588921345
Parzival,@Parzival2118,2021-01-06T12:49:56.000Z,I hate depression ,,😞,,,,[],https://twitter.com/Parzival2118/status/1346801172611530753
Parzival,@Parzival2118,2021-01-23T16:15:27.000Z,I can't handle this.,,,,,,[],https://twitter.com/Parzival2118/status/1353013485941239891
Parzival,@Parzival2118,2021-01-11T11:46:17.000Z,Its poker day night boys lol this came in yesterday just forgot to tweet it.,,,,,2,['https://pbs.twimg.com/media/Erct6N0XEAEjHjd?format=jpg&name=small'],https://twitter.com/Parzival2118/status/1348597094345543682
Parzival,@Parzival2118,2021-01-12T19:17:27.000Z,Catcar :D,"WolfSkullJack
@WolfSkullJack
 · Jan 11
Finally once of my cards for the Magic the Gathering Kaldheim set has been revealed! Looking forward to sharing more!

AD- Tom Jenkot
#MTGKHM #mtg
Show this thread",,,,,"['https://pbs.twimg.com/profile_images/1350749836816093184/RnbemQvq_mini.jpg', 'https://pbs.twimg.com/media/Erd3858W8AIyn_6?format=jpg&name=small']",https://twitter.com/Parzival2118/status/1349073019235405828
Parzival,@Parzival2118,2021-01-28T19:40:11.000Z,Omg!!!! Congrats!!!,"Bridgette Feuerstein
@Bridge_FIT
 · Jan 28
We’re pregnant !! The hardest kept secret of my life
Show this thread",,,,,"['https://pbs.twimg.com/profile_images/1201288602933694476/g1ytDzpd_mini.jpg', 'https://pbs.twimg.com/media/Es0uuvOW4AgtgSq?format=jpg&name=small']",https://twitter.com/Parzival2118/status/1354876947759849472
Parzival,@Parzival2118,2021-01-13T21:01:00.000Z,So many memories!,"Pokémon
@Pokemon
 · Jan 13
The games.  
The cards.  
The series. 
The memories.  

Sometimes you start out catching Pokémon…but you end up catching feelings. 
 
We’re kicking off our 25th anniversary celebration with a walk down memory lane! Spot anything familiar?

http://bit.ly/39qZGUF
#Pokemon25",😉,,,,"['https://pbs.twimg.com/profile_images/1410993782405754881/z3FYYu5v_mini.jpg', 'https://pbs.twimg.com/media/ErnhhcUXEAIvOo4.jpg']",https://twitter.com/Parzival2118/status/1349461468413108226
Parzival,@Parzival2118,2021-01-23T14:12:27.000Z,"Ugh here we go again. Let's fight right when I wake up. I just finished my first 40 hour week of my new job. And now there fighting. Great. 
*sighs* ill be upstairs locked away fuck this.",,,,,,[],https://twitter.com/Parzival2118/status/1352982533642874883
Parzival,@Parzival2118,2021-01-11T11:40:13.000Z,Get it girl!,"Renee Paquette
@ReneePaquette
 · Jan 11
I know I keep tweeting about my cookbook and how much I love it and how proud I am of this....but I just saw what will basically be the final version and I am so freaking pumped for you guys to get yours. https://amazon.com/dp/1682619389/ref=cm_sw_r_cp_api_glc_fabc_vO6-FbJWTPQRH…",,,,,['https://pbs.twimg.com/profile_images/1304236289475203072/TtjWvRhT_mini.jpg'],https://twitter.com/Parzival2118/status/1348595565223882757
Parzival,@Parzival2118,2021-01-18T15:28:50.000Z,So far this job has been relaxing and fun. Just setting up vms and accounts meeting the rest of the training crew. On a break right now. So relaxing for a bit.,,,1,,1,[],https://twitter.com/Parzival2118/status/1351189814243176459
Parzival,@Parzival2118,2021-01-29T22:10:21.000Z,"Replying to 
@schwarm
 @MothmanHusband
 and 8 others",Not to much sadly ,😔,,,1,[],https://twitter.com/Parzival2118/status/1355277126660984833
Parzival,@Parzival2118,2021-01-28T19:36:42.000Z,Third time a damn time. I finally got my license! I'm so damn happy.,,,1,,2,[],https://twitter.com/Parzival2118/status/1354876070122696705
Parzival,@Parzival2118,2021-01-07T09:49:55.000Z,Why am I waking up earlier and earlier yesterday was 5 the day before was 6 today was 4 all am wtf also I taste blood when I swallow wtf is happening to me.,,,,,1,[],https://twitter.com/Parzival2118/status/1347118255530532866
Parzival,@Parzival2118,2021-01-13T20:59:53.000Z,Well I now have a full time help desk technician job. Ill be starting on the 18th. So I feel good ill keep moving and make my dreams a reality.,,,,,2,[],https://twitter.com/Parzival2118/status/1349461188090990593
Parzival,@Parzival2118,2021-01-06T12:55:25.000Z,Many prayers sent Dre is an idol of mine and has paved a wave for me of music. I hope he's ok.,"Crypt
@CryptTheRapper
 · Jan 6
Prayers up for Dre man.",,,,,['https://pbs.twimg.com/profile_images/1357171405238984714/FDTWS9YU_mini.jpg'],https://twitter.com/Parzival2118/status/1346802553238020096
jb,@networkdinosaur,2021-01-18T15:33:17.000Z,"Replying to 
@Parzival2118",Glad to hear you’re enjoying it ,👍,1,,,[],https://twitter.com/networkdinosaur/status/1351190935745536000
Parzival,@Parzival2118,2021-01-18T17:24:35.000Z,:D definitely,,,,,1,[],https://twitter.com/Parzival2118/status/1351218944410054664
Parzival,@Parzival2118,2021-01-17T12:27:02.000Z,I'm waiting to maybe go to church lol or to order some Chinese food I really want some for today then do my homework and then plan for tomorrow clothes notepad everything. This week is training but still need to be professional and ready. :) let's do this!,,,1,,2,[],https://twitter.com/Parzival2118/status/1350781676167815168
Parzival,@Parzival2118,2021-01-17T12:27:02.000Z,This is the step in the right direction I'm going to raise through the ranks quickly I hope and enjoy my job it's what I love to do. I still don't have my degree yet and I've gotten a cyber security job and an IT job in under 5 mins twice. I feel proud of myself and my skills.,,,1,,2,[],https://twitter.com/Parzival2118/status/1350781675110887424
Parzival,@Parzival2118,2021-01-11T11:48:45.000Z,I'm really just in a bad place I wish I could play magic tournaments again I wish I could train mma again. I wish I could fine a new job since the job of my dreams I fucked up. I'm just.. fuck mental health man.,,,,,,[],https://twitter.com/Parzival2118/status/1348597714007826432
Parzival,@Parzival2118,2021-01-11T11:48:45.000Z,Fuck my mental health. For two weeks now I wake up super early super depressed full of anxiety and just unhappy. The only good thing is school starts back up today. I was gonna try to pick up my math class that I dropped but it's full now so guess it's 2 classes for me.,,,1,,,[],https://twitter.com/Parzival2118/status/1348597713051516929
Parzival,@Parzival2118,2021-01-07T09:51:43.000Z,Man struggling with my mental disorders is enough and dealing with my depression and anxiety has just become so much. I just feel like shit right now over my own fucking country what was my job and my own family issues. I feel like I don't need to be here anymore...,,,1,,,[],https://twitter.com/Parzival2118/status/1347118709102538752
Zuber,@TechwithZuber,2021-01-29T18:21:43.000Z,"Replying to 
@Parzival2118
 and 
@NetworkChuck",Thanks,,1,,,[],https://twitter.com/TechwithZuber/status/1355219589840429059
Parzival,@Parzival2118,2021-01-30T18:42:03.000Z,Anytime. :),,,,,,[],https://twitter.com/Parzival2118/status/1355587093670592513
Parzival,@Parzival2118,2021-01-07T09:34:59.000Z,This honestly feels like my life right now. I don't mean to take away from your tweet or how you feel but I definitely share this emotion :(,"@UmbreonLover29_
 · Jan 7
@UmbreonLover29_'s account is temporarily unavailable because it violates the Twitter Media Policy. https://Learn more.",,,,,[],https://twitter.com/Parzival2118/status/1347114501099966464
