UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Purple Dragon,@PurpleDragon123,2021-07-19T20:03:51.000Z,1 Verified Musician & 1 Verified Content Creator Is Following Us This Is Awesome!,,,,1,8,"['https://pbs.twimg.com/media/E6r0RA3XEAQNHKM?format=jpg&name=small', 'https://pbs.twimg.com/media/E6r0Rd6XoAEcUtH?format=jpg&name=small']",https://twitter.com/PurpleDragon123/status/1417213616542175234
ana.｡.:*☆,@alqsiana,2021-07-28T21:10:52.000Z,show proof of notis for a follow back and chance of a shoutout on my YT 30K+,,,57,1,226,[],https://twitter.com/alqsiana/status/1420491973018865664
Purple Dragon,@PurpleDragon123,2021-07-29T03:04:31.000Z,I dont wanna a shout Out But I am following,,,,,,['https://pbs.twimg.com/media/E7bq3LUWQAEo4eh?format=jpg&name=900x900'],https://twitter.com/PurpleDragon123/status/1420580970709848064
Purple Dragon,@PurpleDragon123,2021-07-20T14:55:26.000Z,"Officially Sponsored By 
@TheRogueEnergy
! Use Code EngageWar",,,1,1,7,[],https://twitter.com/PurpleDragon123/status/1417498390951342089
Purple Dragon,@PurpleDragon123,2021-07-25T21:27:12.000Z,Oh well close enough to say the least,,,,,,[],https://twitter.com/PurpleDragon123/status/1419408918413991947
Purple Dragon,@PurpleDragon123,2021-07-27T18:06:34.000Z,"10%-30% Of All Of Our Earnings will Go Straight To Charity, This Includes: Homeless,Cancer Research, Autism, And World Hunger!",,,,,7,[],https://twitter.com/PurpleDragon123/status/1420083203587649536
Saved You A Click Video Games,@SYACVG,2021-07-19T23:10:42.000Z,"T""he Elder Scrolls 6 won't be out until 2024 at the earliest""",,,264,633,8.1K,['https://pbs.twimg.com/media/E6sfCm_XsAMqwJQ?format=jpg&name=small'],https://twitter.com/SYACVG/status/1417260639211425792
tweaks,@tweaaks,2021-07-27T13:24:40.000Z,who’s the best fortnite player of all time,,,335,18,1.4K,[],https://twitter.com/tweaaks/status/1420012262400479232
Purple Dragon,@PurpleDragon123,2021-07-28T16:06:05.000Z,"Tfue, Maybe",,,,,,[],https://twitter.com/PurpleDragon123/status/1420415273258176516
Purple Dragon,@PurpleDragon123,2021-07-20T03:35:25.000Z,"Replying to 
@DannyDeVito","Discord Is Pretty Much An App, That Allows You to Call Your Friends, And Make A Server For Your Games, Community, YouTube Channel, & More!",,,,,[],https://twitter.com/PurpleDragon123/status/1417327255865417728
Kehlani,@Kehlani,2021-07-20T04:46:44.000Z,OH NAW WE JUST CAUGHT A TARANTULA AT MY HOUSE BITCH PLEASE FREE ME FROM THE WILD,,,327,867,22.1K,[],https://twitter.com/Kehlani/status/1417345204181377026
Purple Dragon,@PurpleDragon123,2021-07-20T12:10:38.000Z,"Snakes Are Worse, I hate snakes",,,,,,[],https://twitter.com/PurpleDragon123/status/1417456918029869057
