UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
J Cole Rickenbacker,@RickenbackerCG,2021-08-27T01:13:15.000Z,Dink,,,,,1,['https://pbs.twimg.com/media/E9wnf03XEAMfEZB?format=jpg&name=small'],https://twitter.com/RickenbackerCG/status/1431062218733498369
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T13:32:49.000Z,Woman are the churches sacred cow. Prove me wrong.,,,,,,[],https://twitter.com/RickenbackerCG/status/1430161171622072321
J Cole Rickenbacker,@RickenbackerCG,2021-08-25T22:59:16.000Z,"Ethereum Classic: Urgent Warning To Investors!  https://youtu.be/3UScMusGq8o via 
@YouTube","Ethereum Classic: Warning To Investors!
Is Ethereum Classic a huge investment opportunity or something to be avoided at all costs? Find out in today's video!You will likely know that Ethereum ETH i...
youtube.com",⚠ ⚠,,,,['https://pbs.twimg.com/card_img/1433138816848732165/b3qSnqUC?format=jpg&name=240x240'],https://twitter.com/RickenbackerCG/status/1430666112988065792
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T14:23:43.000Z,Serious question: at what point do we begin to pray for the death of these enemies of King Jesus and His elect?,,,,,,[],https://twitter.com/RickenbackerCG/status/1430173984524541970
"Examining Doug Wilson & Moscow, Idaho",@ExaminingMoscow,2021-08-24T13:28:18.000Z,"Bring in the elders if she’s not doing the dishes? He’s not kidding. Note this article from the Spiritual Sounding Board blog:

Leaders at Doug Wilson’s Christ Church Put Woman in Abusive Marriage Under Church Discipline
https://spiritualsoundingboard.com/2018/01/25/breaking-leaders-at-doug-wilsons-christ-church-put-woman-in-abusive-marriage-under-church-discipline/comment-page-1/…",,,6,,13,['https://pbs.twimg.com/media/E9jy-E-XEAMZleW?format=jpg&name=900x900'],https://twitter.com/ExaminingMoscow/status/1430160038132436995
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T13:30:14.000Z,Trying to find out what I should be upset about.,,,1,,,[],https://twitter.com/RickenbackerCG/status/1430160522767372298
Edward Snowden,@Snowden,2021-08-26T09:54:00.000Z,"How long do we have left before the iPhone in your pocket begins quietly filing reports about encountering “extremist” political material, or about your presence at a ""civil disturbance""?","The All-Seeing ""i"": Apple Just Declared War on Your Privacy
“Under His Eye,” she says. The right farewell. “Under His Eye,” I reply, and she gives a little nod.
edwardsnowden.substack.com",,578,5.7K,14K,['https://pbs.twimg.com/card_img/1433275248237940738/c2ctfE2C?format=jpg&name=small'],https://twitter.com/Snowden/status/1430830880944103432
"Examining Doug Wilson & Moscow, Idaho",@ExaminingMoscow,2021-08-24T13:57:28.000Z,"Replying to 
@RickenbackerCG","Interesting. So would your solution be to try to subjugate women? There’s a Taliban in full swing that you could join in Afghanistan if that’s your desire. They have that subjugation thing of women perfected. Conversely, you could honor women as Imago Dei, & respect & love them.",,1,,3,[],https://twitter.com/ExaminingMoscow/status/1430167375916290052
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T14:00:06.000Z,"It’s not subjugation, it’s putting them in their biblical roll. What a better world we’d be in if Hillary Clinton was in the kitchen and not on the world stage.",,,2,,,[],https://twitter.com/RickenbackerCG/status/1430168041367683085
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T13:31:51.000Z,"Replying to 
@ExaminingMoscow",We wouldn’t be in this dystopian hell if we followed scripture like Doug Wilson. Women are a huge problem in this country.,,3,,,[],https://twitter.com/RickenbackerCG/status/1430160928973238286
Justin Billau,@photogbillau,2021-08-24T13:37:33.000Z,Breaking ground for Oregon Fire Station # 41 doesn’t require shovels. Firefighters use axes. #OregonFireAndRescue,,,1,2,18,"['https://pbs.twimg.com/media/E9j1FePWQA0J3YJ?format=jpg&name=small', 'https://pbs.twimg.com/media/E9j1FeQWQAEn_L1?format=jpg&name=small']",https://twitter.com/photogbillau/status/1430162366092742667
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T14:17:44.000Z,But a shovel would be a whole lot better.,,,,,,[],https://twitter.com/RickenbackerCG/status/1430172476084994055
C.A.Smith,@DebtorToGrace,2021-08-24T14:22:53.000Z,"Replying to 
@RickenbackerCG
 and 
@ExaminingMoscow",God have mercy on your wife and children.,,1,,2,[],https://twitter.com/DebtorToGrace/status/1430173773085515781
J Cole Rickenbacker,@RickenbackerCG,2021-08-24T14:28:58.000Z,You’d really hate the Steelites then.,,,,,,[],https://twitter.com/RickenbackerCG/status/1430175302269943821
Morgan Artyukhina,@LavenderNRed,2021-08-24T15:06:03.000Z,"Due to a ban on """"""helping Hamas,"""""" basically none of these vaccines will make it to #Gaza, which needs it the most. But then the US has never been interested in saving the lives of Gazans, it signed a $735 million weapons deal while Israel was bombing Gaza in May.","Secretary Antony Blinken
@SecBlinken
United States government official
 · Aug 24
We were pleased to provide 500,000 doses of the Moderna vaccine to help save Palestinian lives.",,7,90,149,"['https://pbs.twimg.com/profile_images/1363277550928158722/LzlIxuhQ_mini.jpg', 'https://pbs.twimg.com/semantic_core_img/1290392753013002240/mWq1iE5L?format=png&name=orig', 'https://pbs.twimg.com/media/E9jt5-GWEBEIU6i?format=jpg&name=small', 'https://pbs.twimg.com/media/E9jt6AFWUAAzo9a?format=jpg&name=360x360', 'https://pbs.twimg.com/media/E9jt7JnXoAEwvJX?format=jpg&name=360x360']",https://twitter.com/LavenderNRed/status/1430184637939257346
J Cole Rickenbacker,@RickenbackerCG,2021-08-25T13:06:40.000Z,Why would they want to inject poison?,,,,,,[],https://twitter.com/RickenbackerCG/status/1430516981342556161
Matt Chandler,@MattChandler,2021-08-24T14:14:32.000Z,"Five quick photo tips from 
@abbytheodros
 and 
@ChiaroscuroTV
! #WBTVandMe","2-minute video: Tips on taking A+ photos on the first day of school
In addition to everything you need to know before the new school year starts, we’re talking about how to take prime first-day photos of your A+ student.
wbtv.com",,1,3,1,['https://pbs.twimg.com/card_img/1432710588459896839/BGosIBi1?format=jpg&name=small'],https://twitter.com/MattChandler/status/1430171672426987531
