UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Robin Chadwick,@RobinChadwick8,2021-01-19T01:41:34.000Z,I entered the Rocket Mortgage® Super Bowl Squares Sweepstakes and you can too! Enter for your chance to win big during Super Bowl LV! $50K every score change PLUS two $500K grand prizes. Enter for free today! #RocketMortgageSquares https://rocketmortgagesquares.com/?ruid=026ee35b-c8d4-4180-8e98-cf3c0cd434db&rs=TW…,,,,,,[],https://twitter.com/RobinChadwick8/status/1351344016554668032
Robin Chadwick,@RobinChadwick8,2021-01-13T11:52:39.000Z,"Replying to 
@SweepsAtlas",The flinstones,,,,,[],https://twitter.com/RobinChadwick8/status/1349323473387204608
Robin Chadwick,@RobinChadwick8,2021-01-16T17:18:45.000Z,https://woobox.com/z2vh86/namol2,,,,,,[],https://twitter.com/RobinChadwick8/status/1350492700404031495
Robin Chadwick,@RobinChadwick8,2021-01-02T07:56:06.000Z,"Replying to 
@PaversShoes","@Brittanychadwi3
 @awhitley22722
 #WIN",,,,,[],https://twitter.com/RobinChadwick8/status/1345277675150204928
Robin Chadwick,@RobinChadwick8,2021-01-09T20:33:48.000Z,"Replying to 
@TikTechOfficial","@awhitley22722
 @Brittanychadwi3
 #NewYearRes",,,,,[],https://twitter.com/RobinChadwick8/status/1348005071741722626
Robin Chadwick,@RobinChadwick8,2021-01-17T13:33:21.000Z,"Replying to 
@GiveawaysEagle",@Brittanychadwi3,,,,,[],https://twitter.com/RobinChadwick8/status/1350798363776720897
Robin Chadwick,@RobinChadwick8,2021-01-09T20:37:24.000Z,"Replying to 
@StellaRoseVoice",@cdw129,,,,,[],https://twitter.com/RobinChadwick8/status/1348005977593966602
Robin Chadwick,@RobinChadwick8,2021-01-09T20:37:08.000Z,"Replying to 
@StellaRoseVoice",@awhitley22722,,,,,[],https://twitter.com/RobinChadwick8/status/1348005908710875136
Robin Chadwick,@RobinChadwick8,2021-01-09T20:30:58.000Z,"Replying to 
@GiveawaysEagle
 and 
@PremiTeam",@cdw129,,,,,[],https://twitter.com/RobinChadwick8/status/1348004358814900226
Robin Chadwick,@RobinChadwick8,2021-01-09T20:30:47.000Z,"Replying to 
@GiveawaysEagle
 and 
@PremiTeam",@Brittanychadwi3,,,,,[],https://twitter.com/RobinChadwick8/status/1348004312987934721
Robin Chadwick,@RobinChadwick8,2021-01-09T20:34:49.000Z,"Replying to 
@SingleCare","@Brittanychadwi3
 @awhitley22722",,,,,[],https://twitter.com/RobinChadwick8/status/1348005327233576960
