UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Steven Dupont,@S___Dupont,2021-01-26T07:24:37.000Z,"Replying to 
@UplandMe
 and 
@DappRadar","@CryptoKitties
 @MOBOX_Official
 @nba_topshot",,,,,[],https://twitter.com/S___Dupont/status/1353967060561354753
Kiki,@kiaraakitty,2021-02-04T04:35:08.000Z,I want a boyfriend,,,382,167,12.6K,[],https://twitter.com/kiaraakitty/status/1357185899889496064
Steven Dupont,@S___Dupont,2021-02-06T14:33:15.000Z,I want a wife ,,🤗,,,,[],https://twitter.com/S___Dupont/status/1358061197111787521
BubblyBoyoung,@bubblyboyoung,2021-04-20T09:26:57.000Z,Me in a 4 hours of bus ride... AHHHHHHHHHHHHH,,,5,2,48,['https://pbs.twimg.com/media/EzaDaP4VEAEVnP6?format=jpg&name=small'],https://twitter.com/bubblyboyoung/status/1384438429480480768
Steven Dupont,@S___Dupont,2021-04-20T14:30:17.000Z,Back to Max ,,🐶,,,2,[],https://twitter.com/S___Dupont/status/1384514764873814017
BubblyBoyoung,@bubblyboyoung,2021-03-31T07:58:46.000Z,The reason why I'm scared of human beings,"CeFaan Kim
@CeFaanKim
 · Mar 30
NYPD says 65-year-old Asian American woman was walking to church this morning when suspect assaulted her and said “f*** you, you don’t belong here.” Happened in front of 360 W. 43rd St. 11:40am. Sources say building security guard not only failed to render her aid... 1/2",,8,2,19,"['https://pbs.twimg.com/profile_images/868147326745022464/tJMeTN99_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1376698672591872000/pu/img/33zuCYBX8bEVIkhC.jpg']",https://twitter.com/bubblyboyoung/status/1377168479497805824
Steven Dupont,@S___Dupont,2021-04-01T15:48:36.000Z,This makes me sad i protect you Boyoung ,,🥲,,,,[],https://twitter.com/S___Dupont/status/1377649105808265218
EXBC,@EXBCtv,2021-04-30T00:04:28.000Z,"No stream today. I have sprained wrist (injured when i punched the punch machine), I can’t move my right hand(I need to go to clinic) and am gonna watch nba. C u tomorrow!",GIF,,10,2,42,['https://pbs.twimg.com/tweet_video_thumb/E0LijRPVUAIiClD.jpg'],https://twitter.com/EXBCtv/status/1387920753815736320
Steven Dupont,@S___Dupont,2021-04-30T01:23:22.000Z,Does Esco have?,"NBA Top Shot
Witness history. Own the plays.
nbatopshot.com",,,,,['https://pbs.twimg.com/card_img/1431711752006291464/d1GE74I_?format=jpg&name=small'],https://twitter.com/S___Dupont/status/1387940606912221184
Hello!!,@luvs_julia78,2021-03-27T19:29:58.000Z,"Replying to 
@NoHaileeNo",You too!!!,,1,,4,['https://pbs.twimg.com/tweet_video_thumb/ExgnRVFVcAA_Y_O.jpg'],https://twitter.com/luvs_julia78/status/1375892875368484866
Steven Dupont,@S___Dupont,2021-04-20T14:44:50.000Z,"My gif i made of my Queen 
@S___Dupont
 Loves 
@NoHaileeNo
 ",,👑 🥰,,,2,[],https://twitter.com/S___Dupont/status/1384518425943420928
Chris Moneymaker,@CMONEYMAKER,2021-04-23T20:26:28.000Z,"Replying to 
@RealKidPoker
 and 
@PokerGO",when was the last time you won a heads up match?,⭕,9,,27,[],https://twitter.com/CMONEYMAKER/status/1385691562621870081
Steven Dupont,@S___Dupont,2021-04-23T20:47:27.000Z,"I would have a harder time against 
@RealKidPoker
 then i would against 
@DougPolkPoker
 pretty sure i use to beat the rage against the machine avatar on pokerstars many moons ago...",,,,,,[],https://twitter.com/S___Dupont/status/1385696845956108291
Unannounced Fart,@UnannouncedFart,2021-04-21T01:13:13.000Z,"@EXBCtv
 the state of twitch... and how many esco's can you find? ",,👀,6,4,52,['https://pbs.twimg.com/media/EzdbpSIUUAAB5cx?format=jpg&name=small'],https://twitter.com/UnannouncedFart/status/1384676563799592962
Steven Dupont,@S___Dupont,2021-04-22T10:58:22.000Z,Omg so true ,,🤣,,,,[],https://twitter.com/S___Dupont/status/1385186209782243328
Steven Dupont,@S___Dupont,2021-04-28T18:21:33.000Z,"Replying to 
@mfaboston",,🏞 🗽 🏞,,,,[],https://twitter.com/S___Dupont/status/1387472069101752323
Steven Dupont,@S___Dupont,2021-05-30T16:53:07.000Z,Pink Star of Diamonds  x Mona Lisa 500 greyscale x Dupont blue  #Pink #Star #Diamonds #Mona #Lisa #monalisa #Dupont #Blue #Diamond,,♦ 💎,,,9,['https://pbs.twimg.com/media/E2ppH5ZWYAkUK5y?format=jpg&name=900x900'],https://twitter.com/S___Dupont/status/1399046223382843396
Steven Dupont,@S___Dupont,2021-05-20T20:36:35.000Z,Feels excited! Cant wait a Queen is coming!,,,1,1,5,['https://pbs.twimg.com/media/E128YEEXIAsvedY?format=jpg&name=900x900'],https://twitter.com/S___Dupont/status/1395478584706404353
Sasha Grey,@SashaGrey,2021-05-03T01:15:22.000Z,"The face you make when you push go live 
http://twitch.tv/sashagrey",,,39,63,2.3K,['https://pbs.twimg.com/media/E0bPh5RX0Ac-E6G?format=png&name=small'],https://twitter.com/SashaGrey/status/1389025757863858177
Steven Dupont,@S___Dupont,2021-05-03T01:36:53.000Z,I can try and push live you might see some Art in progress...,,,,,,[],https://twitter.com/S___Dupont/status/1389031173846880257
Steven Dupont,@S___Dupont,2021-05-13T17:20:32.000Z,Heart Beat produced by DjDuPont,"Heart beat
Heart Beat Produced by DjDuPont Album artwork By Steven Dupont
soundcloud.com",,,,2,['https://pbs.twimg.com/card_img/1432180750867120136/Go2Gns1u?format=jpg&name=240x240'],https://twitter.com/S___Dupont/status/1392892529603923971
Steven Dupont,@S___Dupont,2021-05-27T21:50:27.000Z,Be kind. Be useful. Be Thankful. Be Loving. Be Strong. Be Respectful. Be honorable. Never fear. Stay happy. Stay healthy. Stay faithful. ,,💯,,,2,[],https://twitter.com/S___Dupont/status/1398033885020184579
Steven Dupont,@S___Dupont,2021-05-30T16:56:19.000Z,"Replying to 
@MuseumModernArt",,,,,,['https://pbs.twimg.com/media/E2pp2rkXIA0DNbW?format=jpg&name=900x900'],https://twitter.com/S___Dupont/status/1399047027368120320
Steven Dupont,@S___Dupont,2021-05-30T16:57:30.000Z,"Replying to 
@mfaboston",,,,,1,['https://pbs.twimg.com/media/E2pqIERWEAUZTnh?format=jpg&name=900x900'],https://twitter.com/S___Dupont/status/1399047325432037380
Angela,@dainty_angela,2021-04-30T06:32:48.000Z,"Replying to 
@EXBCtv",,🌸 💜,1,,2,['https://pbs.twimg.com/tweet_video_thumb/E0M7cryVgAEhLfJ.jpg'],https://twitter.com/dainty_angela/status/1388018481640075266
