UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Sade K*,@SadeKin33320883,2021-07-26T20:46:03.000Z,"#KentuckyFriedFalcon 
I gotta have chicken and the sides ","Wired Productions
@WiredP
 · Jul 26
The Falconeer launches in 10 days!

Want to #Win this PlayStation 5 and a bucket of KFF goodies?

Just Follow & RT with #KentuckyFriedFalcon + tell us your favourite gaming food!

… it’s Trigger Lickin’ Good - Look out for daily entries!",🤤 🤤,,,1,"['https://pbs.twimg.com/profile_images/1423582164600360963/6dElPaWb_mini.jpg', 'https://pbs.twimg.com/media/E7OT8jOXMAE_UGi?format=jpg&name=small']",https://twitter.com/SadeKin33320883/status/1419760951084130310
Sade K*,@SadeKin33320883,2021-07-21T22:21:22.000Z,I need all 3 ,"sunshinekicks
@sunshinekickss
 · Jul 21
Which one would you go for 
Show this thread",🙄 🙄 🙄 👟 👀,,,,"['https://pbs.twimg.com/profile_images/1270330834051096577/DMfoBZNE_mini.jpg', 'https://pbs.twimg.com/media/E62NECJWYAEqmGj?format=jpg&name=small']",https://twitter.com/SadeKin33320883/status/1417973000050200582
Sade K*,@SadeKin33320883,2021-07-21T22:53:01.000Z,I love food ,"Dominex Eggplant
@eggplantpeople
 · Jul 21
It's #WinitWednesday & #junkfoodday.  Tell us your go-to junk food & be entered to win #Dominex products & an eggplant-colored platter.  Make #Frychos your new snack of choice.  Get inspired by Eggplant Fry Recipes on http://DominexRecipes.com.  Like & retweet for extra entries.",🙄 🙄,,,,"['https://pbs.twimg.com/profile_images/838823655895244800/7cKGb2oX_mini.jpg', 'https://pbs.twimg.com/media/E62FGBuX0AAhz7w?format=jpg&name=small']",https://twitter.com/SadeKin33320883/status/1417980965398499330
Sade K*,@SadeKin33320883,2021-07-22T16:02:36.000Z,I need this ,"COHORTED
@cohorted
 · Jul 22
chocolate covered strawberries ",🤤 🤤 🤤 🍓 🍓,,,,"['https://pbs.twimg.com/profile_images/704714835938971648/UeYpY93t_mini.jpg', 'https://pbs.twimg.com/media/E66ZVv0XoAY8stf?format=jpg&name=small']",https://twitter.com/SadeKin33320883/status/1418240069320720385
Sade K*,@SadeKin33320883,2021-07-21T22:05:22.000Z,…. Still get hype off that song ,"iamcardib
@iamcardib
 · Jul 21
Haaaaaannnn  twitter.com/chartdata/stat…",🤣 🤣 🤣 🤣 🙄 🙄,1,,1,"['https://pbs.twimg.com/profile_images/1429553591103197189/Kec431JN_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1417959134813556736/pu/img/7jcuRnjG-xr7zSFa.jpg']",https://twitter.com/SadeKin33320883/status/1417968972968992769
B&M Stores,@bmstores,2021-07-27T15:05:11.000Z," #COMPETITION TIME 

We've launched this NEW #Breville Iced Coffee machine and we're giving away the chance for FOUR lucky winners to #WIN one PLUS £50 worth of B&M vouchers!

For a chance to WIN, simply FLW/RT/COMMENT WHAT you'd spend your vouchers on!

Comp ends 9am 3/8/21",,🧉 🧉,1.4K,1.5K,1.2K,['https://pbs.twimg.com/media/E7T8oc5XoAQ9Ek3?format=jpg&name=small'],https://twitter.com/bmstores/status/1420037557878992905
Sade K*,@SadeKin33320883,2021-07-28T00:01:37.000Z,I’ll spend the voucher on coffee ,,☕ ☕,,,,[],https://twitter.com/SadeKin33320883/status/1420172556498255872
MoneyGram International,@MoneyGram,2021-07-26T05:01:00.000Z,"Let's put that MoneyGram app to use today. $250 can be yours 

To enter, all you need to do is tweet #MoneyGramMonday and tag 
@MoneyGram
. 

http://bit.ly/DownloadMGApp",,❗ 💰,1K,791,1K,[],https://twitter.com/MoneyGram/status/1419523121246138373
Sade K*,@SadeKin33320883,2021-07-26T17:22:18.000Z,Buying baby gear ….,,,,,,[],https://twitter.com/SadeKin33320883/status/1419709674857828352
Pepsi,@pepsi,2021-07-22T18:30:04.000Z,"Carne asada would be incomplete without:

Complete the sentence:
 ",,👇 👇 👇,194,34,214,[],https://twitter.com/pepsi/status/1418277177351622659
Sade K*,@SadeKin33320883,2021-07-27T02:36:49.000Z,Wild cherry pepsi ,,🤤 🤤 🤤,,,,[],https://twitter.com/SadeKin33320883/status/1419849226473902081
Licia Michelle,@MissMiles517,2021-07-28T00:00:57.000Z,"Replying to 
@SadeKin33320883",After you drop my God son it’s lit sis ,🔥,1,,1,[],https://twitter.com/MissMiles517/status/1420172387652358152
Sade K*,@SadeKin33320883,2021-07-28T00:05:24.000Z,Girlll you know this,,,,,1,[],https://twitter.com/SadeKin33320883/status/1420173508353613837
Millions,@Millions,2021-07-27T16:00:01.000Z,"What would you do with an extra $100?  
@Millions
 will pick a lucky follower that RTs and grant their wish ",,💵,966,2K,1.5K,['https://pbs.twimg.com/ext_tw_video_thumb/1420042520709505027/pu/img/ryyBFzl4mfGre2V9.jpg'],https://twitter.com/Millions/status/1420051357495566338
Sade K*,@SadeKin33320883,2021-07-27T16:01:31.000Z,Buy baby diapers and clothes,,,,,,[],https://twitter.com/SadeKin33320883/status/1420051735909896195
